instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
B_n140_022_a75_066,B,140,0.75,1,0,5178.0,5178,0.0,0,0.0,0.0,UB_PROVEN_INIT
EB_n150_028_a75_084,EB,150,0.75,1,0,5329.0,5337,0.14989694584972832,2,302.6377792999847,302.63781980006024,OBJ+7 tier->0
ED_n080_044_a75_132,ED,80,0.75,1,0,3322.0,3326,0.12026458208057728,1,301.4945326000452,301.4945807000622,OBJ+15 tier->0
B_n150_027_a50_080,B,150,0.5,1,0,5275.0,5323,0.9017471350742063,2,300.06292369996663,300.062966199941,OBJ+1 tier->0
B_n150_027_a50_080,B,150,0.5,2,0,5275.0,5288,0.24583963691376703,2,301.72638620005455,601.7894158000126,UB_TIGHT→GAP<0.3%
B_n140_023_a50_068,B,140,0.5,1,1,4942.0,4970,0.5633802816901409,2,302.3482417999767,302.34827600000426,STALL→tier0→1 d_max=29
B_n140_023_a50_068,B,140,0.5,2,1,4942.0,4949,0.14144271570014144,2,301.60526759992354,604.9975004999433,UB_TIGHT→GAP<0.3%
D_n065_026_a50_077,D,65,0.5,1,0,1848.0,1848,0.0,1,302.3551775999367,302.355211099959,UB_TIGHT→GAP<0.3%
D_n080_041_a50_122,D,80,0.5,1,0,2229.0,2235,0.2684563758389262,1,300.5556370000122,300.55568889994174,UB_TIGHT→GAP<0.3%
B_n150_027_a75_081,B,150,0.75,1,1,5420.0,5421,0.018446781036709093,2,300.0028600000078,300.0028997999616,STALL→tier0→1 d_max=36
D_n070_035_a50_104,D,70,0.5,1,1,2350.0,2403,2.2055763628797336,1,306.8449148000218,306.8449571999954,STALL→tier0→1 d_max=13
D_n070_035_a50_104,D,70,0.5,2,2,2350.0,2382,1.343408900083963,1,307.0297577000456,614.477864000015,STALL→tier1→2 d_max=18
D_n070_035_a50_104,D,70,0.5,3,3,2350.0,2368,0.7601351351351352,1,300.3788895999314,915.384693,TIERS_EXHAUSTED
EB_n130_018_a75_054,EB,130,0.75,1,0,4577.0,4584,0.15270506108202442,3,300.4869897000026,300.4870225000195,OBJ+16 tier->0
B_n130_017_a75_051,B,130,0.75,1,0,4646.0,4646,0.0,0,0.0,0.0,UB_PROVEN_INIT
EB_n140_022_a50_065,EB,140,0.5,1,0,4900.0,4985,1.7051153460381143,3,300.29419699998107,300.2942240999546,OBJ+24 tier->0
EB_n140_022_a50_065,EB,140,0.5,2,1,4900.0,4939,0.7896335290544645,3,300.2148849000223,600.5091664999491,STALL→tier0→1 d_max=25
EB_n140_022_a50_065,EB,140,0.5,3,2,4900.0,4926,0.5278116118554608,2,301.6491544999881,903.9042238999391,STALL→tier1→2 d_max=34
EB_n140_022_a50_065,EB,140,0.5,4,3,4900.0,4925,0.5076142131979695,2,302.25719939998817,1207.9369712999323,TIERS_EXHAUSTED
