instance_id,family,n,alpha,num_processors_total,max_required_processors_per_job,max_jobs_per_processor,mean_jobs_per_processor,bpc_status,bpc_gap_pct,bpc_time_seconds,included_in_main_study,included_in_ablation_30,included_in_sensitivity_30,included_in_hard_tail_70
B_n100_001_a25_001,B,100,0.25,55,,11,3.7,optimal,0.0,0.0,True,True,True,False
B_n100_001_a50_002,B,100,0.5,55,,11,3.7,optimal,0.0,0.5,True,False,False,False
B_n100_001_a75_003,B,100,0.75,55,,11,3.7,optimal,0.0,0.0,True,False,False,False
B_n100_002_a25_004,B,100,0.25,55,,10,3.77,optimal,0.0,0.0,True,False,False,False
B_n100_002_a50_005,B,100,0.5,55,,10,3.77,optimal,0.0,0.5,True,False,False,False
B_n100_002_a75_006,B,100,0.75,55,,10,3.77,optimal,0.0,0.0,True,False,False,False
B_n100_003_a25_007,B,100,0.25,55,,9,3.7,optimal,0.0,0.0,True,False,False,False
B_n100_003_a50_008,B,100,0.5,55,,9,3.7,optimal,0.0,0.5,True,False,False,False
B_n100_003_a75_009,B,100,0.75,55,,9,3.7,optimal,0.0,0.0,True,False,False,False
B_n100_004_a25_010,B,100,0.25,55,,8,3.64,optimal,0.0,0.0,True,False,False,False
B_n100_004_a50_011,B,100,0.5,55,,8,3.64,optimal,0.0,0.5,True,False,False,False
B_n100_004_a75_012,B,100,0.75,55,,8,3.64,optimal,0.0,0.0,True,False,False,False
B_n100_005_a25_013,B,100,0.25,55,,8,3.77,optimal,0.0,0.0,True,False,False,False
B_n100_005_a50_014,B,100,0.5,55,,8,3.77,optimal,0.0,0.5,True,False,False,False
B_n100_005_a75_015,B,100,0.75,55,,8,3.77,optimal,0.0,0.0,True,False,False,False
B_n110_006_a25_016,B,110,0.25,55,,12,4.0,optimal,0.0,0.2,True,False,False,True
B_n110_006_a50_017,B,110,0.5,55,,12,4.0,optimal,0.0,0.8,True,True,True,False
B_n110_006_a75_018,B,110,0.75,55,,12,4.0,optimal,0.0,1.1,True,False,False,False
B_n110_007_a25_019,B,110,0.25,55,,10,4.15,optimal,0.0,0.2,True,False,False,False
B_n110_007_a50_020,B,110,0.5,55,,10,4.15,optimal,0.0,0.8,True,False,False,False
B_n110_007_a75_021,B,110,0.75,55,,10,4.15,optimal,0.0,1.1,True,False,False,False
B_n110_008_a25_022,B,110,0.25,55,,10,4.0,optimal,0.0,0.2,True,False,False,False
B_n110_008_a50_023,B,110,0.5,55,,10,4.0,optimal,0.0,0.8,True,False,False,False
B_n110_008_a75_024,B,110,0.75,55,,10,4.0,optimal,0.0,1.1,True,False,False,False
B_n110_009_a25_025,B,110,0.25,55,,9,4.0,optimal,0.0,0.2,True,False,False,False
B_n110_009_a50_026,B,110,0.5,55,,9,4.0,optimal,0.0,0.8,True,False,False,False
B_n110_009_a75_027,B,110,0.75,55,,9,4.0,optimal,0.0,1.1,True,False,False,False
B_n110_010_a25_028,B,110,0.25,55,,9,4.07,optimal,0.0,0.2,True,False,False,False
B_n110_010_a50_029,B,110,0.5,55,,9,4.07,optimal,0.0,0.8,True,False,False,False
B_n110_010_a75_030,B,110,0.75,55,,9,4.07,optimal,0.0,1.1,True,False,False,False
B_n120_011_a25_031,B,120,0.25,55,,13,4.36,incumbent,0.07,721.0,True,False,False,True
B_n120_011_a50_032,B,120,0.5,55,,13,4.36,optimal,0.0,2.5,True,False,False,False
B_n120_011_a75_033,B,120,0.75,55,,13,4.36,optimal,0.0,4.2,True,True,True,False
B_n120_012_a25_034,B,120,0.25,55,,12,4.36,incumbent,0.07,721.0,True,False,False,True
