instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
D_n065_027_a50_080,D,65,0.5,027,,1788.0,2810.0,0.732845,NA,1788.0,1801,0.7218,0,3,TIERS_EXHAUSTED,978.2,1801.4775,2,600,0,0.0,,NA
D_n070_035_a50_104,D,70,0.5,035,,2348.0,5482.0,1.178451,NA,2350.0,2368,0.7601,0,3,TIERS_EXHAUSTED,1067.6,2368.4917,2,600,0,2.0,,NA
EB_n140_022_a50_065,EB,140,0.5,022,4503.0,4898.0,3926.0,1.75509,BEAT,4900.0,4926,0.5278,0,3,TIERS_EXHAUSTED,1093.2,4926.0136,2,557,0,2.0,397.0,BEAT
D_n075_039_a50_116,D,75,0.5,039,,3071.0,2795.0,0.711284,NA,3071.0,3082,0.3569,0,3,TIERS_EXHAUSTED,1111.7,3082.1909,1,600,0,0.0,,NA
D_n075_040_a50_119,D,75,0.5,040,,2568.0,2838.0,0.876211,NA,2568.0,2585,0.6576,0,3,TIERS_EXHAUSTED,1131.3,2585.0169,2,600,0,0.0,,NA
ED_n080_045_a75_135,ED,80,0.75,045,,2932.0,2703.0,0.704416,NA,2933.0,2942,0.3059,0,3,TIERS_EXHAUSTED,1176.3,2942.3949,1,587,0,1.0,,NA
D_n080_044_a50_131,D,80,0.5,044,,3261.0,2652.0,0.760803,NA,3252.0,3272,0.6112,0,3,TIERS_EXHAUSTED,1174.3,3272.6520,2,600,0,-9.0,,NA
B_n140_024_a25_070,B,140,0.25,024,4264.0,4264.0,2528.0,1.186504,TIE,4264.0,4315,1.1819,0,3,TIERS_EXHAUSTED,991.8,4315.4783,1,600,0,0.0,0.0,TIE
ED_n075_039_a50_116,ED,75,0.5,039,,3048.0,2634.0,0.894164,NA,3041.0,3051,0.3278,0,3,TIERS_EXHAUSTED,1095.7,3051.7781,2,600,0,-7.0,,NA
B_n150_028_a25_082,B,150,0.25,028,,3888.0,2536.0,1.954356,NA,3890.0,3907,0.4351,0,3,TIERS_EXHAUSTED,1066.1,3907.0099,3,600,0,2.0,,NA
ED_n075_040_a75_120,ED,75,0.75,040,,2730.0,2649.0,0.745319,NA,2731.0,2740,0.3285,0,3,TIERS_EXHAUSTED,1203.6,2740.5587,2,584,0,1.0,,NA
D_n080_045_a50_134,D,80,0.5,045,,2749.0,2632.0,0.765288,NA,2749.0,2771,0.7939,0,3,TIERS_EXHAUSTED,1274.4,2771.5334,2,600,0,0.0,,NA
EC_n080_032_a50_095,EC,80,0.5,032,,2275.0,2452.0,0.576873,NA,2275.0,2286,0.4812,0,3,TIERS_EXHAUSTED,980.4,2286.9922,2,600,0,0.0,,NA
ED_n070_035_a25_103,ED,70,0.25,035,,1479.0,2293.0,1.090082,NA,1479.0,1489,0.6716,0,3,TIERS_EXHAUSTED,994.8,1489.9016,2,600,0,0.0,,NA
B_n140_023_a25_067,B,140,0.25,023,3781.0,3781.0,2103.0,0.630749,TIE,3781.0,3798,0.4476,0,3,TIERS_EXHAUSTED,1066.1,3798.2270,2,600,0,0.0,0.0,TIE
ED_n060_025_a50_074,ED,60,0.5,025,2014.0,2014.0,1900.0,1.40983,TIE,2014.0,2034,0.9833,0,3,TIERS_EXHAUSTED,1000.7,2034.8363,2,600,0,0.0,0.0,TIE
ED_n070_032_a75_096,ED,70,0.75,032,,2083.0,2033.0,0.941602,NA,2083.0,2096,0.6202,0,3,TIERS_EXHAUSTED,1091.8,2096.0631,2,600,0,0.0,,NA
EC_n080_035_a50_104,EC,80,0.5,035,,2667.0,1776.0,0.425627,NA,2667.0,2678,0.4108,0,3,TIERS_EXHAUSTED,949.5,2678.1027,2,600,0,0.0,,NA
D_n070_032_a75_096,D,70,0.75,032,,2105.0,1713.0,0.142315,NA,2098.0,2106,0.3799,0,3,TIERS_EXHAUSTED,1041.5,2106.2402,1,600,0,-7.0,,NA
D_n080_042_a25_124,D,80,0.25,042,,1537.0,1629.0,1.240121,NA,1537.0,1551,0.9026,0,3,TIERS_EXHAUSTED,1110.4,1551.7480,2,505,0,0.0,,NA
B_n150_026_a25_076,B,150,0.25,026,,3246.0,1580.0,1.895004,NA,3246.0,3314,2.0519,0,3,TIERS_EXHAUSTED,1095.0,3314.6682,2,431,0,0.0,,NA
D_n075_040_a25_118,D,75,0.25,040,,1820.0,1581.0,1.097707,NA,1820.0,1828,0.4376,0,3,TIERS_EXHAUSTED,1132.2,1828.4784,2,575,0,0.0,,NA
D_n080_045_a25_133,D,80,0.25,045,,1910.0,1564.0,1.200083,NA,1910.0,1924,0.7277,0,3,TIERS_EXHAUSTED,1130.3,1924.2495,2,576,0,0.0,,NA
ED_n080_045_a25_133,ED,80,0.25,045,,1680.0,1556.0,0.562297,NA,1681.0,1687,0.3557,0,3,TIERS_EXHAUSTED,1107.3,1687.7589,2,599,0,1.0,,NA
D_n070_032_a25_094,D,70,0.25,032,,1196.0,1471.0,1.385224,NA,1196.0,1202,0.4992,0,3,TIERS_EXHAUSTED,966.8,1202.0280,2,600,0,0.0,,NA
D_n065_030_a50_089,D,65,0.5,030,,2337.0,1399.0,0.890585,NA,2337.0,2350,0.5532,0,3,TIERS_EXHAUSTED,1036.5,2350.1984,2,600,0,0.0,,NA
ED_n055_019_a50_056,ED,55,0.5,019,1897.0,1897.0,1104.0,0.877835,TIE,1897.0,1907,0.5244,0,3,TIERS_EXHAUSTED,936.7,1907.3690,2,600,0,0.0,0.0,TIE
D_n070_032_a50_095,D,70,0.5,032,,1908.0,1124.0,0.63535,NA,1908.0,1919,0.5732,0,3,TIERS_EXHAUSTED,1016.4,1919.7646,2,600,0,0.0,,NA
