instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
D_n065_027_a50_080,D,65,0.5,1,1,1788.0,1828,2.1881838074398248,1,302.8705881999995,302.8706235000009,STALL→tier0→1 d_max=10
D_n065_027_a50_080,D,65,0.5,2,2,1788.0,1803,0.8319467554076538,1,300.98933729999953,610.5645088000001,STALL→tier1→2 d_max=14
D_n065_027_a50_080,D,65,0.5,3,3,1788.0,1801,0.7218212104386451,1,313.09045139999944,927.6895029999996,TIERS_EXHAUSTED
D_n070_035_a50_104,D,70,0.5,1,1,2350.0,2403,2.2055763628797336,1,302.3982279000011,302.3982655999989,STALL→tier0→1 d_max=13
D_n070_035_a50_104,D,70,0.5,2,2,2350.0,2382,1.343408900083963,1,316.6122860000014,635.5636326999993,STALL→tier1→2 d_max=18
D_n070_035_a50_104,D,70,0.5,3,3,2350.0,2368,0.7601351351351352,1,323.0165094999993,968.1723834999993,TIERS_EXHAUSTED
EB_n140_022_a50_065,EB,140,0.5,1,1,4900.0,4939,0.7896335290544645,1,300.31589560000066,300.3159198000012,STALL→tier0→1 d_max=25
EB_n140_022_a50_065,EB,140,0.5,2,2,4900.0,4926,0.5278116118554608,1,300.05694030000086,660.6196694999999,STALL→tier1→2 d_max=34
EB_n140_022_a50_065,EB,140,0.5,3,3,4900.0,4926,0.5278116118554608,1,318.9622330000002,1017.399030300001,TIERS_EXHAUSTED
D_n075_039_a50_116,D,75,0.5,1,1,3071.0,3082,0.3569110966904607,1,302.3397378999998,302.33977369999957,STALL→tier0→1 d_max=14
D_n075_039_a50_116,D,75,0.5,2,2,3071.0,3082,0.3569110966904607,1,300.0071047000001,619.0687548999995,STALL→tier1→2 d_max=18
D_n075_039_a50_116,D,75,0.5,3,3,3071.0,3082,0.3569110966904607,1,315.92265080000107,944.8309598999986,TIERS_EXHAUSTED
D_n075_040_a50_119,D,75,0.5,1,1,2568.0,2618,1.9098548510313216,1,301.83848959999887,301.8385247999995,STALL→tier0→1 d_max=14
D_n075_040_a50_119,D,75,0.5,2,2,2568.0,2600,1.2307692307692308,1,306.8273147,643.7146852999995,STALL→tier1→2 d_max=19
D_n075_040_a50_119,D,75,0.5,3,3,2568.0,2585,0.6576402321083172,1,319.04963360000147,983.3349315999985,TIERS_EXHAUSTED
ED_n080_045_a75_135,ED,80,0.75,1,1,2933.0,2942,0.30591434398368456,1,320.1206524999998,320.12067600000046,STALL→tier0→1 d_max=17
ED_n080_045_a75_135,ED,80,0.75,2,2,2933.0,2942,0.30591434398368456,1,301.2439040999998,667.3255406000007,STALL→tier1→2 d_max=23
ED_n080_045_a75_135,ED,80,0.75,3,3,2933.0,2942,0.30591434398368456,1,302.18337240000074,1001.3944838000007,TIERS_EXHAUSTED
D_n080_044_a50_131,D,80,0.5,1,1,3252.0,3273,0.6416131989000917,1,300.8541041999997,300.85413340000014,STALL→tier0→1 d_max=14
D_n080_044_a50_131,D,80,0.5,2,2,3252.0,3272,0.6112469437652812,1,304.5746092999998,629.2851572,STALL→tier1→2 d_max=19
D_n080_044_a50_131,D,80,0.5,3,3,3252.0,3272,0.6112469437652812,1,313.54303769999933,966.4382341,TIERS_EXHAUSTED
B_n140_024_a25_070,B,140,0.25,1,1,4264.0,4319,1.2734429266033804,1,300.0284319000002,300.0284574999987,STALL→tier0→1 d_max=17
B_n140_024_a25_070,B,140,0.25,2,2,4264.0,4315,1.1819235225955969,1,305.23433229999864,625.5420708000001,STALL→tier1→2 d_max=23
B_n140_024_a25_070,B,140,0.25,3,3,4264.0,4315,1.1819235225955969,1,307.5147333999994,959.0959214999984,TIERS_EXHAUSTED
ED_n075_039_a50_116,ED,75,0.5,1,1,3041.0,3052,0.36041939711664484,1,303.2373120000011,303.2393778000005,STALL→tier0→1 d_max=13
ED_n075_039_a50_116,ED,75,0.5,2,2,3041.0,3051,0.32776138970829233,1,301.28911309999967,622.6223993000003,STALL→tier1→2 d_max=17
ED_n075_039_a50_116,ED,75,0.5,3,3,3041.0,3051,0.32776138970829233,1,318.84971939999923,958.9858667000008,TIERS_EXHAUSTED
B_n150_028_a25_082,B,150,0.25,1,1,3890.0,3929,0.9926189870195978,1,308.16345699999874,308.16347959999985,STALL→tier0→1 d_max=16
B_n150_028_a25_082,B,150,0.25,2,2,3890.0,3917,0.6893030380393158,1,303.403111900001,655.2846697999994,STALL→tier1→2 d_max=21
B_n150_028_a25_082,B,150,0.25,3,3,3890.0,3907,0.43511645764013307,1,300.41633100000035,1009.4851010999992,TIERS_EXHAUSTED
ED_n075_040_a75_120,ED,75,0.75,1,1,2731.0,2741,0.36483035388544327,1,303.17886179999914,303.1788886000013,STALL→tier0→1 d_max=16
ED_n075_040_a75_120,ED,75,0.75,2,2,2731.0,2740,0.3284671532846715,1,300.284551499999,650.3165729000011,STALL→tier1→2 d_max=22
ED_n075_040_a75_120,ED,75,0.75,3,3,2731.0,2740,0.3284671532846715,1,323.7759783999991,1034.3258418000005,TIERS_EXHAUSTED
D_n080_045_a50_134,D,80,0.5,1,1,2749.0,2803,1.9265073135925792,1,326.84915009999895,326.8491823000004,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,2,2,2749.0,2785,1.2926391382405744,1,336.5223681999996,708.715783399999,STALL→tier1→2 d_max=19
D_n080_045_a50_134,D,80,0.5,3,3,2749.0,2771,0.7939372067845544,1,312.1174353999995,1074.6539656999994,TIERS_EXHAUSTED
EC_n080_032_a50_095,EC,80,0.5,1,1,2275.0,2316,1.770293609671848,1,301.49021639999955,301.4902648999996,STALL→tier0→1 d_max=15
EC_n080_032_a50_095,EC,80,0.5,2,2,2275.0,2295,0.8714596949891068,1,304.6855813000002,621.8163879999993,STALL→tier1→2 d_max=20
EC_n080_032_a50_095,EC,80,0.5,3,3,2275.0,2286,0.4811898512685914,1,305.77260019999994,942.6369212999998,TIERS_EXHAUSTED
ED_n070_035_a25_103,ED,70,0.25,1,1,1479.0,1511,2.1178027796161483,1,301.9552906000008,301.9553197999994,STALL→tier0→1 d_max=7
