instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
EB_n140_022_a50_065,EB,140,0.5,022,4503.0,4898.0,3926.0,1.75509,BEAT,4900.0,4985,1.7051,0,3,TIERS_EXHAUSTED,924.9,4985.0000,0,0,1,2.0,397.0,BEAT
D_n065_027_a50_080,D,65,0.5,027,,1788.0,2810.0,0.732845,NA,1788.0,1801,0.7218,0,3,TIERS_EXHAUSTED,939.8,1801.0000,0,0,1,0.0,,NA
ED_n080_045_a75_135,ED,80,0.75,045,,2932.0,2703.0,0.704416,NA,2933.0,2952,0.6436,0,3,TIERS_EXHAUSTED,1011.8,2952.0000,0,0,1,1.0,,NA
D_n075_040_a50_119,D,75,0.5,040,,2568.0,2838.0,0.876211,NA,2568.0,2590,0.8494,0,3,TIERS_EXHAUSTED,1015.0,2590.0000,0,0,1,0.0,,NA
D_n070_035_a50_104,D,70,0.5,035,,2348.0,5482.0,1.178451,NA,2350.0,2376,1.0943,0,3,TIERS_EXHAUSTED,1026.5,2376.0000,0,0,1,2.0,,NA
D_n075_039_a50_116,D,75,0.5,039,,3071.0,2795.0,0.711284,NA,3071.0,3093,0.7113,0,3,TIERS_EXHAUSTED,1051.8,3093.0000,0,0,1,0.0,,NA
B_n150_028_a25_082,B,150,0.25,028,,3888.0,2536.0,1.954356,NA,3890.0,3965,1.8916,0,3,TIERS_EXHAUSTED,911.3,3965.0000,0,0,1,2.0,,NA
B_n140_024_a25_070,B,140,0.25,024,4264.0,4264.0,2528.0,1.186504,TIE,4264.0,4315,1.1819,0,3,TIERS_EXHAUSTED,909.6,4315.0000,0,0,1,0.0,0.0,TIE
ED_n075_040_a75_120,ED,75,0.75,040,,2730.0,2649.0,0.745319,NA,2731.0,2750,0.6909,0,3,TIERS_EXHAUSTED,1045.2,2750.0000,0,0,1,1.0,,NA
D_n080_044_a50_131,D,80,0.5,044,,3261.0,2652.0,0.760803,NA,3252.0,3286,1.0347,0,3,TIERS_EXHAUSTED,1102.6,3286.0000,0,0,1,-9.0,,NA
ED_n075_039_a50_116,ED,75,0.5,039,,3048.0,2634.0,0.894164,NA,3041.0,3075,1.1057,0,3,TIERS_EXHAUSTED,1024.5,3075.0000,0,0,1,-7.0,,NA
D_n080_045_a50_134,D,80,0.5,045,,2749.0,2632.0,0.765288,NA,2749.0,2770,0.7581,0,3,TIERS_EXHAUSTED,1080.6,2770.0000,0,0,1,0.0,,NA
EC_n080_032_a50_095,EC,80,0.5,032,,2275.0,2452.0,0.576873,NA,2275.0,2288,0.5682,0,3,TIERS_EXHAUSTED,919.2,2288.0000,0,0,1,0.0,,NA
ED_n070_035_a25_103,ED,70,0.25,035,,1479.0,2293.0,1.090082,NA,1479.0,1495,1.0702,0,3,TIERS_EXHAUSTED,917.5,1495.0000,0,0,1,0.0,,NA
B_n140_023_a25_067,B,140,0.25,023,3781.0,3781.0,2103.0,0.630749,TIE,3781.0,3805,0.6307,0,3,TIERS_EXHAUSTED,915.4,3805.0000,0,0,1,0.0,0.0,TIE
ED_n060_025_a50_074,ED,60,0.5,025,2014.0,2014.0,1900.0,1.40983,TIE,2014.0,2042,1.3712,0,3,TIERS_EXHAUSTED,951.5,2042.0000,0,0,1,0.0,0.0,TIE
EC_n080_035_a50_104,EC,80,0.5,035,,2667.0,1776.0,0.425627,NA,2667.0,2678,0.4108,0,3,TIERS_EXHAUSTED,913.9,2678.0000,0,0,1,0.0,,NA
ED_n070_032_a75_096,ED,70,0.75,032,,2083.0,2033.0,0.941602,NA,2083.0,2102,0.9039,0,3,TIERS_EXHAUSTED,998.2,2102.0000,0,0,1,0.0,,NA
D_n080_042_a25_124,D,80,0.25,042,,1537.0,1629.0,1.240121,NA,1537.0,1556,1.2211,0,3,TIERS_EXHAUSTED,930.4,1556.0000,0,0,1,0.0,,NA
D_n070_032_a75_096,D,70,0.75,032,,2105.0,1713.0,0.142315,NA,2098.0,2108,0.4744,0,3,TIERS_EXHAUSTED,970.4,2108.0000,0,0,1,-7.0,,NA
D_n075_040_a25_118,D,75,0.25,040,,1820.0,1581.0,1.097707,NA,1820.0,1840,1.0870,0,3,TIERS_EXHAUSTED,954.2,1840.0000,0,0,1,0.0,,NA
B_n150_026_a25_076,B,150,0.25,026,,3246.0,1580.0,1.895004,NA,3246.0,3308,1.8742,0,3,TIERS_EXHAUSTED,908.6,3308.0000,0,0,1,0.0,,NA
ED_n080_045_a25_133,ED,80,0.25,045,,1680.0,1556.0,0.562297,NA,1681.0,1689,0.4737,0,3,TIERS_EXHAUSTED,928.9,1689.0000,0,0,1,1.0,,NA
D_n080_045_a25_133,D,80,0.25,045,,1910.0,1564.0,1.200083,NA,1910.0,1933,1.1899,0,3,TIERS_EXHAUSTED,954.0,1933.0000,0,0,1,0.0,,NA
D_n070_032_a25_094,D,70,0.25,032,,1196.0,1471.0,1.385224,NA,1196.0,1212,1.3201,0,3,TIERS_EXHAUSTED,909.1,1212.0000,0,0,1,0.0,,NA
B_n140_021_a25_061,B,140,0.25,021,3142.0,3142.0,1258.0,1.649607,TIE,3142.0,3194,1.6281,0,3,TIERS_EXHAUSTED,907.5,3194.0000,0,0,1,0.0,0.0,TIE
D_n065_030_a50_089,D,65,0.5,030,,2337.0,1399.0,0.890585,NA,2337.0,2358,0.8906,0,3,TIERS_EXHAUSTED,962.2,2358.0000,0,0,1,0.0,,NA
ED_n075_040_a25_118,ED,75,0.25,040,,1588.0,1207.0,0.929565,NA,1588.0,1602,0.8739,0,3,TIERS_EXHAUSTED,928.2,1602.0000,0,0,1,0.0,,NA
ED_n055_019_a50_056,ED,55,0.5,019,1897.0,1897.0,1104.0,0.877835,TIE,1897.0,1913,0.8364,0,3,TIERS_EXHAUSTED,922.8,1913.0000,0,0,1,0.0,0.0,TIE
D_n070_032_a50_095,D,70,0.5,032,,1908.0,1124.0,0.63535,NA,1908.0,1920,0.6250,0,3,TIERS_EXHAUSTED,967.6,1920.0000,0,0,1,0.0,,NA
