instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
EB_n140_022_a50_065,EB,140,0.5,1,1,4900.0,4985,1.7051153460381143,1,300.2157990000014,300.21582639999906,STALL→tier0→1 d_max=25
EB_n140_022_a50_065,EB,140,0.5,2,2,4900.0,4985,1.7051153460381143,1,303.6542913999983,603.870156500001,STALL→tier1→2 d_max=34
EB_n140_022_a50_065,EB,140,0.5,3,3,4900.0,4985,1.7051153460381143,1,306.97993530000167,910.8501290000022,TIERS_EXHAUSTED
D_n065_027_a50_080,D,65,0.5,1,1,1788.0,1801,0.7218212104386451,1,300.41411889999654,300.4141383999995,STALL→tier0→1 d_max=10
D_n065_027_a50_080,D,65,0.5,2,2,1788.0,1801,0.7218212104386451,1,300.7351682999979,601.1493711000003,STALL→tier1→2 d_max=14
D_n065_027_a50_080,D,65,0.5,3,3,1788.0,1801,0.7218212104386451,1,300.3192701000007,901.4686762999991,TIERS_EXHAUSTED
ED_n080_045_a75_135,ED,80,0.75,1,1,2933.0,2952,0.6436314363143631,1,301.23978350000107,301.2398103000014,STALL→tier0→1 d_max=17
ED_n080_045_a75_135,ED,80,0.75,2,2,2933.0,2952,0.6436314363143631,1,300.9716000999979,602.2114622000008,STALL→tier1→2 d_max=23
ED_n080_045_a75_135,ED,80,0.75,3,3,2933.0,2952,0.6436314363143631,1,303.8032123000012,906.014718399998,TIERS_EXHAUSTED
D_n075_040_a50_119,D,75,0.5,1,1,2568.0,2590,0.8494208494208495,1,300.5599960999971,300.56003090000013,STALL→tier0→1 d_max=14
D_n075_040_a50_119,D,75,0.5,2,2,2568.0,2590,0.8494208494208495,1,323.7364258000016,624.2964992000016,STALL→tier1→2 d_max=19
D_n075_040_a50_119,D,75,0.5,3,3,2568.0,2590,0.8494208494208495,1,302.2819372999984,926.5784924,TIERS_EXHAUSTED
D_n070_035_a50_104,D,70,0.5,1,1,2350.0,2376,1.0942760942760943,1,319.29790680000224,319.29794649999894,STALL→tier0→1 d_max=13
D_n070_035_a50_104,D,70,0.5,2,2,2350.0,2376,1.0942760942760943,1,326.63435980000213,645.9323485999994,STALL→tier1→2 d_max=18
D_n070_035_a50_104,D,70,0.5,3,3,2350.0,2376,1.0942760942760943,1,317.3120263000019,963.2444082000002,TIERS_EXHAUSTED
D_n075_039_a50_116,D,75,0.5,1,1,3071.0,3093,0.7112835434852893,1,309.7160087000011,309.71603470000264,STALL→tier0→1 d_max=14
