instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
B_n120_014_a25_040,B,120,0.25,1,0,3242.0,3294,0,1,1.5786278081360048,4,1909,6,98,932,"[4.5224, 5.5411, 4.7177]","[6.3497, 6.2262, 2.7039, 3.0035]","[6.5888, 9.4436, 7.1246]","[9.346, 9.6461, 5.8726, 5.8486]","[575, 737, 596]","[584, 575, 382, 367]","[42, 123, 456, 789]","[500, 500, 500, 409]",42,6,0.9,27.62,0.0,300.72900959989056,300.7290287001524,OBJ+250 tier->0
B_n120_014_a25_040,B,120,0.25,2,1,3242.0,3333,1,0,2.7302730273027302,4,1841,0,77,774,"[4.8524, 6.0273, 4.6244]","[5.5663, 7.0785, 2.8763, 3.6215]",,,"[545, 673, 622]","[572, 619, 323, 326]","[42, 123, 456, 789]","[500, 500, 500, 341]",,0,,,3.29,300.04702290007845,604.0686512000393,STALL→tier0→1 d_max=14
B_n120_014_a25_040,B,120,0.25,3,2,3242.0,3299,2,0,1.7277963019096696,4,1771,0,99,654,"[3.9263, 6.439, 4.6448]","[6.3003, 6.9091, 3.1334, 3.2915]",,,"[519, 703, 548]","[634, 505, 322, 309]","[42, 123, 456, 789]","[500, 500, 500, 271]",,0,,,3.4,300.35130890016444,907.8159642999526,STALL→tier1→2 d_max=18
B_n120_014_a25_040,B,120,0.25,4,3,3242.0,3294,3,0,1.5786278081360048,4,1568,0,97,492,"[2.1143, 3.8421, 2.6111]","[3.9385, 3.42, 2.8375, 1.5667]",,,"[457, 608, 502]","[515, 460, 308, 284]","[42, 123, 456, 789]","[500, 500, 500, 68]",,0,,,3.43,300.01792359980755,1211.2617965000682,TIERS_EXHAUSTED
B_n120_012_a25_034,B,120,0.25,1,0,2871.0,2885,0,1,0.48526863084922006,4,1549,7,59,830,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[5.6843, 11.2487, 8.4655]","[10.7729, 10.4054, 7.1645, 8.3791]","[455, 617, 476]","[450, 431, 348, 319]","[42, 123, 456, 789]","[500, 500, 500, 49]",42,7,0.4,41.2,0.0,300.5116027998738,300.51162809995003,OBJ+142 tier->0
B_n120_012_a25_034,B,120,0.25,2,1,2871.0,2900,1,0,1.0,3,1470,0,52,649,"[3.7719, 5.2134, 4.3605]","[6.2391, 5.3084, 3.2, 1.8502]",,,"[372, 617, 480]","[488, 426, 274, 281]","[42, 123, 456]","[500, 500, 470]",,0,,,9.77,300.10270699998364,610.3802565999795,STALL→tier0→1 d_max=15
B_n120_012_a25_034,B,120,0.25,3,2,2871.0,2883,2,0,0.41623309053069724,3,1400,0,59,489,"[3.3911, 5.2453, 3.6303]","[5.24, 5.4268, 1.8812, 2.7804]",,,"[401, 559, 439]","[496, 397, 240, 266]","[42, 123, 456]","[500, 500, 400]",,0,,,6.78,300.0023821000941,917.1655844000634,STALL→tier1→2 d_max=21
B_n120_012_a25_034,B,120,0.25,4,3,2871.0,2883,3,0,0.41623309053069724,3,1416,0,86,444,"[3.5282, 4.5909, 2.6623]","[5.3947, 4.1869, 1.6203, 2.4546]",,,"[398, 629, 388]","[492, 390, 223, 310]","[42, 123, 456]","[500, 500, 416]",,0,,,3.41,300.04674610006623,1220.6203999000136,TIERS_EXHAUSTED
B_n110_006_a25_016,B,110,0.25,1,0,2434.0,2473,0,1,1.5770319450060657,6,2856,7,102,1693,"[4.5579, 8.306, 5.1194]","[8.1473, 6.8165, 4.4558, 4.7925]","[7.9678, 11.6262, 9.223]","[10.7216, 10.8959, 7.6058, 8.9862]","[843, 1156, 856]","[931, 782, 564, 578]","[42, 123, 456, 789, 1337, 2024]","[500, 500, 500, 500, 500, 356]",42,7,1.63,19.65,0.0,300.3002416000236,300.30026550008915,OBJ+143 tier->0
B_n110_006_a25_016,B,110,0.25,2,1,2434.0,2477,1,0,1.7359709325797335,5,2457,0,80,1200,"[3.3342, 7.4859, 4.8607]","[6.3828, 7.3946, 2.2591, 3.8448]",,,"[697, 998, 761]","[736, 757, 468, 495]","[42, 123, 456, 789, 1337]","[500, 500, 500, 500, 457]",,0,,,8.1,300.28069699998014,608.6775857000612,STALL→tier0→1 d_max=12
