instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
B_n140_023_a25_067,B,140,0.25,1,1,3781.0,3821,1,0,1.0468463752944255,2,789,0,24,385,"[3.9805, 6.7794, 5.2547]","[7.9256, 5.3776, 3.8942, 2.4639]",,,"[181, 320, 287]","[254, 224, 177, 133]","[42, 123]","[500, 289]",,0,,,15.88,300.45484460005537,316.33106709993444,STALL→tier0→1 d_max=16
B_n140_023_a25_067,B,140,0.25,2,2,3781.0,3804,2,0,0.6046267087276551,2,852,0,32,347,"[2.8886, 5.4924, 4.0718]","[6.9105, 3.8583, 2.5522, 2.2533]",,,"[260, 333, 258]","[325, 220, 153, 153]","[42, 123]","[500, 352]",,0,,,15.68,301.9041464999318,633.9103218000382,STALL→tier1→2 d_max=21
B_n140_023_a25_067,B,140,0.25,3,3,3781.0,3798,3,0,0.44760400210637175,2,800,0,43,278,"[3.978, 6.5054, 5.0221]","[7.5967, 5.7524, 2.7974, 2.1786]",,,"[222, 295, 282]","[287, 231, 147, 134]","[42, 123]","[500, 300]",,0,,,15.64,301.00876929983497,950.5588704999536,TIERS_EXHAUSTED
D_n075_039_a50_116,D,75,0.5,1,1,3071.0,3082,1,0,0.3569110966904607,1,116,0,18,74,"[4.5413, 5.618, 4.4644]","[5.9367, 5.2347, 3.9455, 3.9156]",,,"[37, 38, 40]","[36, 30, 27, 22]",[42],[116],,0,,,6.85,301.1935768998228,308.03929190011695,STALL→tier0→1 d_max=14
D_n075_039_a50_116,D,75,0.5,2,2,3071.0,3082,2,0,0.3569110966904607,1,117,0,20,72,"[3.9114, 6.1155, 3.6197]","[5.6152, 5.44, 4.015, 3.673]",,,"[31, 44, 41]","[32, 33, 22, 29]",[42],[117],,0,,,6.44,305.0999281001277,619.5799179000314,STALL→tier1→2 d_max=18
D_n075_039_a50_116,D,75,0.5,3,3,3071.0,3082,3,0,0.3569110966904607,1,94,0,14,50,"[2.4667, 3.7294, 2.925]","[3.5556, 2.9833, 3.04, 2.2182]",,,"[36, 31, 26]","[28, 22, 23, 20]",[42],[94],,0,,,6.59,301.65919080004096,927.8309190999717,TIERS_EXHAUSTED
D_n080_044_a50_131,D,80,0.5,1,1,3252.0,3273,1,0,0.6416131989000917,1,82,0,3,57,"[2.3889, 3.5167, 2.4762]","[3.5, 2.8, 2.1867, 1.9143]",,,"[28, 22, 31]","[22, 24, 24, 11]",[42],[82],,0,,,8.49,301.8944206999149,310.38644849997945,STALL→tier0→1 d_max=14
D_n080_044_a50_131,D,80,0.5,2,2,3252.0,3272,2,0,0.6112469437652812,1,105,0,14,68,"[3.42, 5.9055, 3.8041]","[5.1788, 5.031, 3.9945, 3.89]",,,"[23, 44, 37]","[33, 28, 19, 24]",[42],[105],,0,,,7.86,300.19657209981233,618.4430271999445,STALL→tier1→2 d_max=19
D_n080_044_a50_131,D,80,0.5,3,3,3252.0,3272,3,0,0.6112469437652812,1,94,0,18,47,"[1.8625, 3.96, 2.1867]","[3.0353, 2.6667, 2.275, 2.8571]",,,"[25, 41, 27]","[26, 26, 17, 24]",[42],[94],,0,,,8.05,301.04258359991945,927.5346074998379,TIERS_EXHAUSTED
EB_n140_022_a50_065,EB,140,0.5,1,1,4900.0,4939,1,0,0.7896335290544645,1,422,0,37,141,"[2.8954, 5.0065, 4.1884]","[5.9148, 4.4488, 2.2781, 3.0249]",,,"[91, 185, 145]","[148, 130, 73, 70]",[42],[422],,0,,,25.31,300.0255932,325.3370683998801,STALL→tier0→1 d_max=25
