instance,family,n,alpha,group_id,bks,bpc_oa_gap_pct,bpc_n_solved,bpc_group_count,bpc_class,bpc_class_label,bpc_note,master_obj,master_cert_gap_pct,master_rt_s,master_status,alns_obj,alns_runtime_s,best_ub,final_cert_gap_pct,alns_lag_proven_optimal,beta_stop_reason,beta_phases,beta_ec_gain,beta_vs_bks,beta_status,beta_vs_master,baseline_ub,baseline_cert_gap_pct,refine_s,refined_source,selfseed_ub,selfseed_gap_pct,selfseed_refine_s
B_n100_001_a25_001,B,100,0.25,001,2142,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2142,1.162791,494.0,TIE,2142.0,376.1,2142,0.0000,1,GAP<0.3%,1,0,0.0,TIE,0.0,2144,0.0933,75.5,refined,2142,0.0000,
B_n100_001_a50_002,B,100,0.5,001,3025,0.0,5,5,1,optimal,,3025,0.056167,978.0,TIE,3025.0,377.8,3025,0.0000,1,GAP<0.3%,1,0,0.0,TIE,0.0,3026,0.0330,76.6,refined,3025,0.0000,
B_n100_001_a75_003,B,100,0.75,001,3119,0.0,5,5,1,optimal,,3119,0.0,734.0,TIE,3119.0,0.4,3119,0.0000,True,UB,1,0,0.0,TIE,0.0,3119,0.0000,,baseline,3119,0.0,
B_n100_002_a25_004,B,100,0.25,002,2364,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2364,1.89243,488.0,TIE,2364.0,625.9,2364,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,2366,0.0845,25.1,refined,2364,0.0000,
B_n100_002_a50_005,B,100,0.5,002,3173,0.0,5,5,1,optimal,,3173,1.066351,899.0,TIE,3173.0,601.3,3173,0.0000,True,GAP<0.3%,2,0,0.0,TIE,0.0,3173,0.0000,,baseline,3173,0.0000,
B_n100_002_a75_006,B,100,0.75,002,3329,0.0,5,5,1,optimal,,3329,0.0,990.0,TIE,3329.0,0.2,3329,0.0000,True,UB,1,0,0.0,TIE,0.0,3329,0.0000,,baseline,3329,0.0,
B_n100_003_a25_007,B,100,0.25,003,2312,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2312,1.654685,536.0,TIE,2312.0,625.4,2312,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,2313,0.0432,24.6,refined,2312,0.0000,
B_n100_003_a50_008,B,100,0.5,003,3179,0.0,5,5,1,optimal,,3179,0.025159,610.0,TIE,3179.0,0.5,3179,0.0000,True,UB,1,0,0.0,TIE,0.0,3179,0.0000,,baseline,3179,0.0000,
B_n100_003_a75_009,B,100,0.75,003,3277,0.0,5,5,1,optimal,,3277,0.003051,831.0,TIE,3277.0,0.7,3277,0.0000,True,UB,1,0,0.0,TIE,0.0,3277,0.0000,,baseline,3277,0.0000,
B_n100_004_a25_010,B,100,0.25,004,2831,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2831,1.701389,504.0,TIE,2831.0,615.9,2831,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,2839,0.2818,15.0,refined,2831,0.0000,
B_n100_004_a50_011,B,100,0.5,004,4102,0.0,5,5,1,optimal,,4102,0.0,599.0,TIE,4102.0,0.7,4102,0.0000,True,UB,1,0,0.0,TIE,0.0,4102,0.0000,,baseline,4102,0.0,
B_n100_004_a75_012,B,100,0.75,004,4174,0.0,5,5,1,optimal,,4174,0.0,895.0,TIE,4174.0,0.2,4174,0.0000,True,UB,1,0,0.0,TIE,0.0,4174,0.0000,,baseline,4174,0.0,
B_n100_005_a25_013,B,100,0.25,005,2241,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2241,1.433849,466.0,TIE,2241.0,614.3,2241,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,2242,0.0446,13.7,refined,2241,0.0000,
