family,instance,stratum,arm_id,best_ub,obj,cert_gap_pct,own_ub,cert_gap_own_pct,stop_reason,phases,ec_gain,total_rt_s,seeds_used,best_seed,n_seed_restarts,tier_final,stall_run_final,commit,source_dirty,error
B,B_n120_014_a25_040,hard_tail,A0,3287.0000,3242.0,1.369030,3287.0000,1.369030,RT_CAP,1,0,60.8,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B1,3287.0000,3242.0,1.369030,3287.0000,1.369030,RT_CAP,1,0,61.1,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B2,3287.0000,3233.0,1.642835,3287.0000,1.642835,RT_CAP,1,0,60.8,"42,123,456,789,1337,2024",42,2,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B3,3287.0000,3242.0,1.369030,3287.0000,1.369030,RT_CAP,1,0,61.0,"42,123,456,789,1337,2024",42,2,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B4,3287.0000,2993.0,8.944326,3287.0000,8.944326,RT_CAP,1,0,60.6,"42,123,456,789,1337,2024",42,3,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B5,3287.0000,3242.0,1.369030,3287.0000,1.369030,RT_CAP,1,0,61.2,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B6,3287.0000,3242.0,1.369030,3287.0000,1.369030,RT_CAP,1,0,61.6,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B7,3287.0000,3242.0,1.369030,3287.0000,1.369030,RT_CAP,1,0,62.0,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,S,3287.0000,2993.0,8.944326,3287.0000,8.944326,RT_CAP,1,0,60.0,42,42,3,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n120_014_a25_040,hard_tail,B8,3287.0000,3242.0,1.369030,3287.0000,1.369030,RT_CAP,1,0,62.1,42,42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,A0,3072.0000,3033.0,1.269531,3072.0000,1.269531,RT_CAP,1,0,61.4,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B1,3072.0000,3042.0,0.976562,3072.0000,0.976562,RT_CAP,1,0,61.6,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B2,3072.0000,3050.0,0.716146,3072.0000,0.716146,RT_CAP,1,0,61.6,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B3,3072.0000,3042.0,0.976562,3072.0000,0.976562,RT_CAP,1,0,61.5,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B5,3072.0000,3033.0,1.269531,3072.0000,1.269531,RT_CAP,1,0,60.1,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B4,3072.0000,2899.0,5.631510,3128.0000,7.320972,RT_CAP,1,0,87.9,"42,123,456,789,1337,2024",,2,1,1,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B6,3072.0000,3033.0,1.269531,3072.0000,1.269531,RT_CAP,1,0,61.3,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B7,3072.0000,3033.0,1.269531,3072.0000,1.269531,RT_CAP,1,0,61.6,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n130_017_a25_049,hard_tail,B8,3072.0000,3033.0,1.269531,3072.0000,1.269531,RT_CAP,1,0,61.4,42,42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
B,B_n110_006_a50_017,closing,A0,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,20.7,"42,123,456,789,1337,2024",42,1,0,0,78dc2aeadb987138e01a2ba156de63351e928812,True,
