family,instance,arm_id,best_ub,warm_mu,obj,cert_gap_pct,stop_reason,phases,ec_gain,total_rt_s,error
B,B_n100_001_a25_001,A0,2144.0000,0,2142.0,0.093284,GAP<threshold,1,0,300.8,
B,B_n110_006_a50_017,A0,3475.0000,0,3465.0,0.287770,GAP<threshold,1,0,305.2,
B,B_n120_011_a75_033,A0,4074.0000,0,4073.0,0.024546,GAP<threshold,1,0,308.3,
B,B_n140_021_a25_061,A0,3195.0000,0,3142.0,1.658842,TIERS_EXHAUSTED,4,0,1374.8,
B,B_n150_026_a50_077,A0,4982.0000,0,4971.0,0.220795,GAP<threshold,1,1,315.7,
C,C_n050_001_a25_001,A0,735.0000,0,735.0,0.000000,UB,1,0,0.4,
C,C_n060_011_a50_032,A0,1664.0000,0,1664.0,0.000000,UB,1,0,79.1,
C,C_n065_016_a75_048,A0,1924.0000,0,1924.0,0.000000,UB,1,0,276.6,
C,C_n070_021_a25_061,A0,1317.0000,0,1314.0,0.227790,GAP<threshold,1,0,300.8,
C,C_n080_031_a50_092,A0,2288.0000,0,2285.0,0.131119,GAP<threshold,1,0,308.3,
D,D_n040_001_a25_001,A0,715.0000,0,715.0,0.000000,UB,1,0,0.3,
D,D_n050_011_a50_032,A0,1418.0000,0,1418.0,0.000000,UB,1,0,61.7,
D,D_n060_021_a75_063,A0,1700.0000,0,1699.0,0.058824,GAP<threshold,1,2,369.7,
D,D_n070_031_a25_091,A0,1276.0000,0,1275.0,0.078370,GAP<threshold,1,0,305.4,
D,D_n080_041_a50_122,A0,2235.0000,0,2230.0,0.223714,TIERS_EXHAUSTED,5,2,1774.5,
EB,EB_n100_001_a25_001,A0,1611.0000,0,1609.0,0.124146,GAP<threshold,1,0,300.5,
EB,EB_n110_006_a50_017,A0,3259.0000,0,3252.0,0.214790,GAP<threshold,1,0,304.7,
EB,EB_n120_011_a75_033,A0,4072.0000,0,4071.0,0.024558,GAP<threshold,1,0,306.2,
EB,EB_n140_021_a25_061,A0,2544.0000,0,2538.0,0.235849,GAP<threshold,1,0,302.2,
EB,EB_n150_026_a50_077,A0,4822.0000,0,4809.0,0.269598,GAP<threshold,1,0,314.9,
EC,EC_n050_001_a25_001,A0,421.0000,0,421.0,0.000000,UB,1,0,0.2,
EC,EC_n060_011_a50_032,A0,1662.0000,0,1662.0,0.000000,UB,1,0,47.1,
EC,EC_n065_016_a75_048,A0,1922.0000,0,1921.0,0.052029,GAP<threshold,1,0,305.2,
EC,EC_n070_021_a25_061,A0,869.0000,0,868.0,0.115075,GAP<threshold,1,0,300.6,
EC,EC_n080_031_a50_092,A0,2181.0000,0,2180.0,0.045851,GAP<threshold,1,0,307.3,
ED,ED_n040_001_a25_001,A0,412.0000,0,412.0,0.000000,UB,1,0,0.1,
ED,ED_n050_011_a50_032,A0,1307.0000,0,1306.0,0.076511,GAP<threshold,1,0,308.3,
ED,ED_n060_021_a75_063,A0,1699.0000,0,1698.0,0.058858,GAP<threshold,1,0,332.1,
ED,ED_n070_031_a25_091,A0,878.0000,0,878.0,0.000000,UB,1,0,145.9,
ED,ED_n080_041_a50_122,A0,2232.0000,0,2227.0,0.224014,GAP<threshold,3,1,1005.6,
B,B_n100_001_a25_001,A1,2144.0000,0,2142.0,0.093284,GAP<threshold,1,0,300.8,
B,B_n100_001_a25_001,A2,2144.0000,0,2142.0,0.093284,GAP<threshold,1,0,301.2,
B,B_n100_001_a25_001,A3,2144.0000,0,2142.0,0.093284,GAP<threshold,1,0,301.7,
B,B_n100_001_a25_001,A4,2144.0000,0,2142.0,0.093284,GAP<threshold,1,0,301.1,
B,B_n100_001_a25_001,A5,2144.0000,0,2142.0,0.093284,GAP<threshold,1,0,301.4,
B,B_n110_006_a50_017,A1,3475.0000,0,3465.0,0.287770,GAP<threshold,1,0,305.1,
B,B_n110_006_a50_017,A2,3475.0000,0,3465.0,0.287770,GAP<threshold,1,0,308.0,
B,B_n110_006_a50_017,A3,3475.0000,0,3465.0,0.287770,GAP<threshold,1,0,304.8,
B,B_n110_006_a50_017,A4,3475.0000,0,3465.0,0.287770,GAP<threshold,1,0,308.6,
B,B_n110_006_a50_017,A5,3475.0000,0,3465.0,0.287770,GAP<threshold,1,0,307.8,
B,B_n120_011_a75_033,A1,4074.0000,0,4073.0,0.024546,GAP<threshold,1,0,309.6,
B,B_n120_011_a75_033,A2,4074.0000,0,4073.0,0.024546,GAP<threshold,1,0,304.1,
B,B_n120_011_a75_033,A3,4074.0000,0,4073.0,0.024546,GAP<threshold,1,0,307.6,
B,B_n120_011_a75_033,A4,4074.0000,0,4073.0,0.024546,GAP<threshold,1,0,306.6,
B,B_n120_011_a75_033,A5,4074.0000,0,4073.0,0.024546,GAP<threshold,1,0,305.1,
B,B_n140_021_a25_061,A1,3195.0000,0,3142.0,1.658842,TIERS_EXHAUSTED,6,0,1864.0,
B,B_n140_021_a25_061,A2,3195.0000,0,3142.0,1.658842,RT_CAP,6,0,1864.7,
B,B_n140_021_a25_061,A3,3195.0000,0,3142.0,1.658842,TIERS_EXHAUSTED,4,0,1207.3,
B,B_n140_021_a25_061,A4,3195.0000,0,3142.0,1.658842,TIERS_EXHAUSTED,4,0,1375.7,
B,B_n140_021_a25_061,A5,3195.0000,0,3142.0,1.658842,RT_CAP,6,0,1804.9,
B,B_n150_026_a50_077,A1,4982.0000,0,4971.0,0.220795,GAP<threshold,2,1,616.2,
B,B_n150_026_a50_077,A2,4982.0000,0,4971.0,0.220795,GAP<threshold,1,1,314.2,
B,B_n150_026_a50_077,A3,4982.0000,0,4971.0,0.220795,GAP<threshold,1,1,320.7,
B,B_n150_026_a50_077,A4,4982.0000,0,4971.0,0.220795,GAP<threshold,1,1,317.9,
B,B_n150_026_a50_077,A5,4982.0000,0,4971.0,0.220795,GAP<threshold,1,1,318.8,
C,C_n050_001_a25_001,A1,735.0000,0,735.0,0.000000,UB,1,0,8.4,
C,C_n050_001_a25_001,A2,735.0000,0,735.0,0.000000,UB,1,0,0.4,
C,C_n050_001_a25_001,A3,735.0000,0,735.0,0.000000,UB,1,0,0.4,
C,C_n050_001_a25_001,A4,735.0000,0,735.0,0.000000,UB,1,0,0.4,
C,C_n050_001_a25_001,A5,735.0000,0,735.0,0.000000,UB,1,0,0.4,
C,C_n060_011_a50_032,A1,1664.0000,0,1664.0,0.000000,UB,1,0,188.9,
C,C_n060_011_a50_032,A2,1664.0000,0,1664.0,0.000000,UB,1,0,81.6,
C,C_n060_011_a50_032,A3,1664.0000,0,1664.0,0.000000,UB,1,0,82.1,
C,C_n060_011_a50_032,A4,1664.0000,0,1664.0,0.000000,UB,1,0,81.5,
C,C_n060_011_a50_032,A5,1664.0000,0,1664.0,0.000000,UB,1,0,82.0,
C,C_n065_016_a75_048,A1,1924.0000,0,1923.0,0.051975,GAP<threshold,1,0,306.2,
C,C_n065_016_a75_048,A2,1924.0000,0,1924.0,0.000000,UB,1,0,288.8,
C,C_n065_016_a75_048,A3,1924.0000,0,1924.0,0.000000,UB,1,0,289.6,
C,C_n065_016_a75_048,A4,1924.0000,0,1923.0,0.051975,GAP<threshold,1,0,307.1,
C,C_n065_016_a75_048,A5,1924.0000,0,1923.0,0.051975,GAP<threshold,1,0,308.0,
C,C_n070_021_a25_061,A1,1317.0000,0,1314.0,0.227790,GAP<threshold,1,0,300.7,
C,C_n070_021_a25_061,A2,1317.0000,0,1314.0,0.227790,GAP<threshold,1,0,300.7,
C,C_n070_021_a25_061,A3,1317.0000,0,1314.0,0.227790,GAP<threshold,1,0,300.9,
C,C_n070_021_a25_061,A4,1317.0000,0,1314.0,0.227790,GAP<threshold,1,0,300.8,
C,C_n070_021_a25_061,A5,1317.0000,0,1314.0,0.227790,GAP<threshold,1,0,300.7,
C,C_n080_031_a50_092,A1,2288.0000,0,2287.0,0.043706,GAP<threshold,1,0,309.2,
C,C_n080_031_a50_092,A2,2288.0000,0,2285.0,0.131119,GAP<threshold,1,0,306.5,
