instance,family,seed,iters,obj_adaptive,obj_frozen,delta,s_adaptive,s_frozen,d_weights_adaptive,r_weights_adaptive,d_usage_adaptive,r_usage_adaptive,d_usage_frozen,r_usage_frozen,acc_worse_adaptive,acc_worse_frozen,isolation_leak,error
B_n110_006_a25_016,B,42,200,2424.0,2424.0,0.0,29.37,33.69,"[5.531, 7.5162, 6.6187]","[7.0352, 6.8425, 4.906, 6.2062]","[74, 67, 59]","[50, 55, 43, 52]","[60, 74, 66]","[46, 49, 53, 52]",155,153,,
B_n110_006_a25_016,B,123,200,2423.0,2424.0,-1.0,26.61,27.16,"[4.948, 7.1787, 6.7088]","[7.3028, 6.8309, 4.9651, 5.8581]","[61, 74, 65]","[78, 46, 39, 37]","[68, 67, 65]","[70, 48, 36, 46]",164,168,,
B_n110_006_a25_016,B,456,200,2423.0,2404.0,19.0,29.3,28.29,"[5.5288, 7.0392, 4.9578]","[6.9751, 6.6587, 4.5333, 5.4011]","[67, 78, 55]","[52, 55, 48, 45]","[72, 63, 65]","[58, 48, 43, 51]",143,151,,
B_n110_006_a25_016,B,789,200,2424.0,2434.0,-10.0,31.35,32.8,"[5.3676, 7.1804, 6.566]","[7.0841, 7.1996, 4.6386, 6.4097]","[60, 70, 70]","[60, 50, 50, 40]","[75, 75, 50]","[55, 54, 49, 42]",156,162,,
B_n110_006_a25_016,B,1337,200,2336.0,2291.0,45.0,31.35,33.81,"[5.6362, 6.9008, 6.7384]","[6.9833, 6.9818, 5.837, 6.1601]","[64, 72, 64]","[51, 50, 54, 45]","[60, 64, 76]","[54, 54, 50, 42]",173,165,,
B_n110_006_a25_016,B,2024,200,2424.0,2423.0,1.0,28.66,42.46,"[6.0366, 7.1827, 4.9679]","[7.0062, 7.0116, 4.7229, 5.4629]","[55, 72, 73]","[61, 49, 50, 40]","[70, 59, 71]","[41, 50, 69, 40]",156,157,,
B_n120_011_a25_031,B,42,200,2525.0,2525.0,0.0,41.11,46.62,"[5.8925, 7.1662, 6.2475]","[7.4552, 7.2503, 5.5575, 4.8232]","[59, 75, 66]","[59, 58, 46, 37]","[62, 72, 66]","[41, 55, 57, 47]",158,136,,
B_n120_011_a25_031,B,123,200,2516.0,2514.0,2.0,47.73,41.55,"[5.8009, 7.1887, 5.179]","[7.4214, 7.6425, 4.8798, 4.8521]","[63, 87, 50]","[48, 52, 56, 44]","[61, 75, 64]","[46, 44, 57, 53]",148,149,,
B_n120_011_a25_031,B,456,200,2503.0,2503.0,0.0,41.11,42.44,"[5.3228, 7.5198, 5.8163]","[7.4897, 7.4818, 4.9886, 5.2713]","[64, 80, 56]","[56, 58, 49, 37]","[64, 71, 65]","[47, 53, 51, 49]",147,144,,
B_n120_011_a25_031,B,789,200,2513.0,2513.0,0.0,48.71,47.56,"[5.2875, 7.5263, 5.5324]","[7.0219, 7.2178, 5.1155, 5.5035]","[59, 79, 62]","[51, 48, 54, 47]","[69, 68, 63]","[39, 45, 55, 61]",145,143,,
B_n120_011_a25_031,B,1337,200,2503.0,2514.0,-11.0,41.27,44.2,"[4.5432, 7.525, 6.319]","[7.3493, 6.9043, 5.1893, 5.6622]","[59, 66, 75]","[47, 61, 57, 35]","[60, 62, 78]","[50, 43, 67, 40]",146,135,,
B_n120_011_a25_031,B,2024,200,2526.0,2526.0,0.0,42.93,47.76,"[5.6879, 7.4794, 6.0248]","[7.4539, 7.2637, 5.3342, 4.4516]","[61, 75, 64]","[46, 75, 42, 37]","[64, 62, 74]","[40, 58, 58, 44]",149,142,,
