family,instance,A0,A1,A2,A3,A4,A5,A1_d,A2_d,A3_d,A4_d,A5_d,A0_stop
B,B_n100_001_a25_001,0.0933,0.0933,0.0933,0.0933,0.0933,0.0933,0.0,0.0,0.0,0.0,0.0,GAP<threshold
B,B_n110_006_a50_017,0.2878,0.2878,0.2878,0.2878,0.2878,0.2878,0.0,0.0,0.0,0.0,0.0,GAP<threshold
B,B_n120_011_a75_033,0.0245,0.0245,0.0245,0.0245,0.0245,0.0245,0.0,0.0,0.0,0.0,0.0,GAP<threshold
B,B_n140_021_a25_061,1.6588,1.6588,1.6588,1.6588,1.6588,1.6588,0.0,0.0,0.0,0.0,0.0,TIERS_EXHAUSTED
B,B_n150_026_a50_077,0.2208,0.2208,0.2208,0.2208,0.2208,0.2208,0.0,0.0,0.0,0.0,0.0,GAP<threshold
C,C_n050_001_a25_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UB
C,C_n060_011_a50_032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UB
C,C_n065_016_a75_048,0.0,0.052,0.0,0.0,0.052,0.052,0.052,0.0,0.0,0.052,0.052,UB
C,C_n070_021_a25_061,0.2278,0.2278,0.2278,0.2278,0.2278,0.2278,0.0,0.0,0.0,0.0,0.0,GAP<threshold
C,C_n080_031_a50_092,0.1311,0.0437,0.1311,0.1311,0.1311,0.1311,-0.0874,0.0,0.0,0.0,0.0,GAP<threshold
D,D_n040_001_a25_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UB
D,D_n050_011_a50_032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UB
D,D_n060_021_a75_063,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0,0.0,0.0,0.0,0.0,GAP<threshold
D,D_n070_031_a25_091,0.0784,0.0784,0.0784,0.0784,0.0784,0.0784,0.0,0.0,0.0,0.0,0.0,GAP<threshold
D,D_n080_041_a50_122,0.2237,0.3579,0.2237,0.2237,0.2237,0.2237,0.1342,0.0,0.0,0.0,0.0,TIERS_EXHAUSTED
EB,EB_n100_001_a25_001,0.1241,0.1241,0.1241,0.1241,0.1241,0.1241,0.0,0.0,0.0,0.0,0.0,GAP<threshold
EB,EB_n110_006_a50_017,0.2148,0.4909,0.2148,0.2148,0.2148,0.2148,0.2762,0.0,0.0,0.0,0.0,GAP<threshold
EB,EB_n120_011_a75_033,0.0246,0.0,0.0246,0.0246,0.0246,0.0246,-0.0246,0.0,0.0,0.0,0.0,GAP<threshold
EB,EB_n140_021_a25_061,0.2358,0.2752,0.2358,0.2358,0.2358,0.2358,0.0393,0.0,0.0,0.0,0.0,GAP<threshold
EB,EB_n150_026_a50_077,0.2696,0.2903,0.2696,0.2696,0.2696,0.2696,0.0207,0.0,0.0,0.0,0.0,GAP<threshold
EC,EC_n050_001_a25_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UB
EC,EC_n060_011_a50_032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UB
EC,EC_n065_016_a75_048,0.052,0.052,0.052,0.052,0.052,0.052,0.0,0.0,0.0,0.0,0.0,GAP<threshold
EC,EC_n070_021_a25_061,0.1151,0.1151,0.1151,0.1151,0.1151,0.1151,0.0,0.0,0.0,0.0,0.0,GAP<threshold
EC,EC_n080_031_a50_092,0.0459,0.1376,0.0459,0.0459,0.0459,0.0459,0.0917,0.0,0.0,0.0,0.0,GAP<threshold
ED,ED_n040_001_a25_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UB
ED,ED_n050_011_a50_032,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0,0.0,0.0,0.0,0.0,GAP<threshold
ED,ED_n060_021_a75_063,0.0589,0.0589,0.0589,0.0589,0.0589,0.0589,0.0,0.0,0.0,0.0,0.0,GAP<threshold
ED,ED_n070_031_a25_091,0.0,0.1139,0.0,0.0,0.0,0.0,0.1139,0.0,0.0,0.0,0.0,UB
ED,ED_n080_041_a50_122,0.224,0.2688,0.2688,0.224,0.224,0.224,0.0448,0.0448,0.0,0.0,0.0,GAP<threshold
