instance,family,bks,greedy,ub_bks,s_bks,ub_greedy,s_greedy
B_n100_004_a50_011,B,4102.0,4091.0,4102.000000000001,0.4,4102.007344981526,0.8
B_n100_001_a75_003,B,3119.0,3114.0,3119.000000014642,4.2,3119.2763727070896,4.3
C_n065_018_a25_052,C,1386.0,1367.0,1390.4186490594066,1.0,1389.853152318697,1.0
C_n055_006_a50_017,C,1540.0,1529.0,1540.0000106531575,0.4,1540.5749969629953,0.3
C_n055_010_a75_030,C,2048.0,2047.0,2048.0000001068183,0.3,2048.2057246530685,0.3
D_n040_001_a25_001,D,715.0,715.0,715.0000057402178,0.3,715.0000057402178,0.3
D_n045_009_a50_026,D,1528.0,1516.0,1540.8076018746528,0.5,1532.3322382067847,0.5
D_n060_024_a75_072,D,2387.0,2384.0,2387.0000000200002,3.3,2387.212346139876,2.7
EB_n100_002_a75_006,EB,3327.0,3324.0,3327.000000014744,1.4,3327.2461521235414,1.4
EC_n060_013_a25_037,EC,1082.0,1062.0,1082.0000023580103,0.9,1082.5159155364508,0.9
EC_n060_015_a50_044,EC,2102.0,2101.0,2102.0001416386417,0.4,2102.2037252016116,0.4
EC_n050_003_a75_009,EC,1584.0,1583.0,1583.9999999999995,0.1,1584.0000000000002,0.1
ED_n040_001_a25_001,ED,412.0,412.0,411.9999999999999,0.1,411.9999999999999,0.1
ED_n040_003_a75_009,ED,1138.0,1128.0,1138.0000093098347,0.3,1140.494766581792,0.2
B_n120_015_a50_044,B,4004.0,3991.0,4004.000778321154,2.9,4005.612883412648,2.9
B_n110_007_a75_021,B,3780.0,3779.0,3779.999999999999,0.2,3779.999999999999,0.1
C_n055_006_a25_016,C,975.0,973.0,975.0,0.2,974.9999999999999,0.2
C_n070_021_a75_063,C,2035.0,2033.0,2035.0017555469842,1.3,2035.7313354817552,1.2
D_n040_002_a25_004,D,352.0,352.0,352.0000000341589,0.3,352.0000000341589,0.2
D_n060_025_a75_075,D,2269.0,2257.0,2269.00000737808,4.3,2270.925400916343,4.2
EB_n110_009_a75_027,EB,4693.0,4690.0,4693.000000054454,2.1,4693.422669495878,1.9
EC_n050_002_a25_004,EC,355.0,355.0,355.0000000000001,0.1,355.0000000000001,0.1
EC_n060_012_a50_035,EC,1710.0,1699.0,1709.9999999999998,0.3,1710.4679427347642,1.0
EC_n070_022_a75_066,EC,2099.0,2088.0,2099.000001189716,2.9,2100.529729866426,3.5
ED_n045_007_a25_019,ED,253.0,253.0,253.00000000000009,0.0,253.00000000000009,0.0
ED_n040_001_a75_003,ED,1201.0,1200.0,1201.0000000315365,0.4,1201.1203082412994,0.4
B_n100_005_a75_015,B,3512.0,3500.0,3512.0000008276393,0.9,3512.590868683885,1.2
C_n065_017_a75_051,C,1971.0,1969.0,1970.9999999999998,0.1,1971.0000000000002,0.0
D_n040_004_a25_010,D,723.0,723.0,723.8727038439321,0.3,723.8727038439321,0.4
D_n045_009_a75_027,D,1651.0,1649.0,1651.0000004413928,1.2,1651.215878955824,1.2
EB_n100_004_a75_012,EB,4170.0,4169.0,4170.002738410355,1.3,4170.175741410677,1.6
EC_n055_007_a25_019,EC,375.0,375.0,375.0000000000001,0.2,375.0000000000001,0.2
EC_n060_013_a75_039,EC,2017.0,2014.0,2017.0000000000007,0.3,2016.9999999999995,0.5
ED_n040_004_a25_010,ED,422.0,422.0,422.000000018686,0.6,422.000000018686,0.7
ED_n040_005_a75_015,ED,1466.0,1465.0,1466.000000051404,0.6,1466.2898479815528,0.7
B_n130_017_a75_051,B,4635.0,4644.0,4646.0,30.1,4646.0,34.7
C_n050_005_a75_015,C,1737.0,1736.0,1737.0000000294763,0.6,1737.1387872840903,0.5
D_n050_014_a75_042,D,2061.0,2059.0,2061.0000008886627,1.3,2061.2145864973027,1.1
EB_n110_010_a75_030,EB,3842.0,3828.0,3842.0000001494504,2.2,3844.2252627101116,1.9
EC_n070_024_a75_072,EC,3008.0,3005.0,3008.000000020228,1.2,3008.2754715416904,1.0
ED_n050_012_a25_034,ED,354.0,353.0,354.00000000000017,0.6,354.00000000000006,0.3
ED_n040_004_a75_012,ED,1526.0,1515.0,1525.9999999999989,0.1,1526.0000000000005,0.1
B_n140_024_a75_072,B,5663.0,5661.0,5662.999999999998,0.5,5662.999999999999,0.3
C_n070_024_a75_072,C,3009.0,3007.0,3009.0000000131836,1.2,3009.291838873648,1.2
D_n040_002_a75_006,D,1137.0,1135.0,1137.0000000118455,0.3,1137.278022529787,0.3
EB_n120_015_a75_045,EB,4268.0,4246.0,4268.0000000386335,3.7,4269.042689061942,3.0
EC_n055_008_a75_024,EC,1606.0,1603.0,1606.0000000233752,1.3,1606.207441406736,0.9
