stage,run_id,output_csv,cmd
A,A1_control,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_A1_control_20260825_0937.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag A1_control --no-bpc-cut-destroy --no-bpc-cut-repair --no-bpc-cut-hard-filter --no-bpc-cut-soft-penalty
A,A2_hard_only,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_A2_hard_only_20260825_0942.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag A2_hard_only --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --no-bpc-cut-soft-penalty
A,A3_soft_only,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_A3_soft_only_20260825_0947.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag A3_soft_only --bpc-cut-destroy --bpc-cut-repair --no-bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B01,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B01_20260825_0952.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B01 --sep-freq-phase 1 --max-cuts-per-round 5 --epsilon-violation 1e-05 --epsilon-reject 0.0001 --lambda-cut 0.1 --cut-age-limit 2 --sep-budget-s-per-phase 5 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B02,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B02_20260825_0957.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B02 --sep-freq-phase 1 --max-cuts-per-round 10 --epsilon-violation 1e-05 --epsilon-reject 0.0001 --lambda-cut 0.25 --cut-age-limit 4 --sep-budget-s-per-phase 5 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B03,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B03_20260825_1002.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B03 --sep-freq-phase 1 --max-cuts-per-round 20 --epsilon-violation 1e-06 --epsilon-reject 0.0001 --lambda-cut 0.5 --cut-age-limit 8 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B04,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B04_20260825_1007.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B04 --sep-freq-phase 2 --max-cuts-per-round 5 --epsilon-violation 1e-05 --epsilon-reject 0.001 --lambda-cut 0.1 --cut-age-limit 2 --sep-budget-s-per-phase 5 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B05,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B05_20260825_1012.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B05 --sep-freq-phase 2 --max-cuts-per-round 10 --epsilon-violation 1e-05 --epsilon-reject 0.0001 --lambda-cut 0.25 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B06,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B06_20260825_1016.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B06 --sep-freq-phase 2 --max-cuts-per-round 20 --epsilon-violation 1e-06 --epsilon-reject 0.0001 --lambda-cut 0.5 --cut-age-limit 8 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B07,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B07_20260825_1021.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B07 --sep-freq-phase 3 --max-cuts-per-round 5 --epsilon-violation 0.0001 --epsilon-reject 0.001 --lambda-cut 0.1 --cut-age-limit 2 --sep-budget-s-per-phase 5 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
