stage,run_id,n,mean_delta_obj,mean_delta_rt_s,mean_delta_gap_pp,mean_final_gap_pct,max_final_gap_pct,within_0p2_pct,obj_wins,obj_losses,rt_wins,rt_losses,gap_wins,gap_losses,stops
A,A1_control,30,-3.3,-387.335133,0.455817,0.594497,6.395696,60.0,21,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
A,A2_hard_only,30,-4.066667,-384.743,0.745469,0.884149,7.974138,56.667,20,0,21,9,3,23,GAP<0.3%:16;RT_CAP:10;UB:4
A,A3_soft_only,30,-3.333333,-390.1855,0.491033,0.629713,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:17;RT_CAP:9;UB:4
B,B01,30,-3.3,-388.3234,0.488096,0.626776,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:17;RT_CAP:9;UB:4
B,B02,30,-4.1,-382.346167,0.742398,0.881078,7.974138,56.667,21,0,21,9,3,23,GAP<0.3%:17;RT_CAP:9;UB:4
B,B03,30,-3.3,-386.921433,0.541926,0.680606,6.724447,60.0,20,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
B,B04,30,-3.3,-387.673833,0.477131,0.615811,6.724447,60.0,20,0,21,9,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
B,B05,30,-3.333333,-386.9858,0.478441,0.617121,6.724447,60.0,21,0,21,9,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
B,B06,30,-3.333333,-390.073967,0.528856,0.667536,6.724447,60.0,20,0,22,8,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
B,B07,30,-3.733333,-386.598833,0.528434,0.667114,6.724447,56.667,20,0,21,9,3,23,GAP<0.3%:16;RT_CAP:10;UB:4
B,B08,30,-3.3,-387.664133,0.476152,0.614832,6.724447,60.0,20,0,21,9,3,23,GAP<0.3%:17;RT_CAP:9;UB:4
B,B09,30,-3.3,-387.239967,0.468845,0.607525,6.724447,60.0,20,0,21,9,3,23,GAP<0.3%:17;RT_CAP:9;UB:4
B,B10,30,-3.3,-387.1722,0.516823,0.655503,6.724447,60.0,20,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
B,B11,30,-3.3,-387.857767,0.471773,0.610453,6.724447,60.0,20,0,21,9,3,23,GAP<0.3%:17;RT_CAP:9;UB:4
B,B12,30,-4.0,-391.003067,0.548192,0.686872,6.724447,60.0,21,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
C,C01,30,-3.333333,-391.0246,0.485157,0.623837,6.724447,60.0,20,0,21,9,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
C,C02,30,-3.966667,-388.931067,0.554052,0.692732,6.724447,60.0,21,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
C,C03,30,-3.6,-391.047467,0.497218,0.635898,6.724447,60.0,21,0,22,8,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
C,C04,30,-3.966667,-390.219933,0.53042,0.6691,6.724447,60.0,21,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
C,C05,30,-4.0,-391.410633,0.528977,0.667657,6.724447,60.0,21,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
C,C06,30,-4.0,-391.074833,0.543805,0.682485,6.724447,60.0,21,0,21,9,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
C,C07,30,-3.3,-390.4291,0.471773,0.610453,6.724447,60.0,20,0,21,9,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
C,C08,30,-3.6,-392.237367,0.523048,0.661728,6.724447,60.0,21,0,22,8,2,24,GAP<0.3%:17;RT_CAP:9;UB:4
D,D01,30,-3.333333,-392.855867,0.485157,0.623837,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
D,D02,30,-3.333333,-392.8325,0.485157,0.623837,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
D,D03,30,-3.333333,-392.857833,0.485157,0.623837,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
D,D04,30,-3.333333,-393.0075,0.485157,0.623837,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
D,D05,30,-3.333333,-392.870467,0.485157,0.623837,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
D,D06,30,-3.333333,-392.930467,0.485157,0.623837,6.724447,60.0,20,0,22,8,3,23,GAP<0.3%:18;RT_CAP:8;UB:4
