family,n,alpha,bpcE_cpu_oa_s,bpcE_gap_oa,bpcE_solved,bpcN_cpu_oa_s,bpcN_gap_oa,bpcN_solved
B,100,0.25,0.0,0.0,4,0.1,0.0,4
B,100,0.5,0.5,0.0,5,0.7,0.0,5
B,100,0.75,0.0,0.0,5,0.1,0.0,3
B,110,0.25,0.2,0.0,4,0.4,0.0,5
B,110,0.5,0.8,0.0,5,4.7,0.0,5
B,110,0.75,1.1,0.0,5,1.6,0.0,3
B,120,0.25,721.0,0.07,4,721.4,0.07,4
B,120,0.5,2.5,0.0,5,723.2,0.01,3
B,120,0.75,4.2,0.0,5,14.0,0.0,4
B,130,0.25,720.6,0.01,4,722.9,0.07,4
B,130,0.5,1445.3,0.06,3,1450.0,0.09,3
B,130,0.75,1449.9,0.61,3,1453.3,0.14,3
C,55,0.25,0.0,0.0,5,0.0,0.0,5
C,55,0.5,1.4,0.0,5,4.7,0.0,5
C,55,0.75,0.0,0.0,5,0.1,0.0,5
C,60,0.25,0.0,0.0,5,0.0,0.0,5
C,60,0.5,0.4,0.0,5,1.0,0.0,5
C,60,0.75,0.0,0.0,5,0.1,0.0,5
C,65,0.25,0.0,0.0,5,0.0,0.0,5
C,65,0.5,720.9,0.01,4,720.7,0.01,4
C,65,0.75,1.2,0.0,5,1.5,0.0,5
C,70,0.25,0.1,0.0,5,0.2,0.0,5
C,70,0.5,721.9,0.08,4,722.6,0.08,4
C,70,0.75,1.6,0.0,5,1.8,0.0,5
D,45,0.25,0.0,0.0,5,0.0,0.0,5
D,45,0.5,0.0,0.0,5,0.0,0.0,5
D,45,0.75,0.0,0.0,5,0.0,0.0,5
D,50,0.25,0.0,0.0,5,0.0,0.0,5
D,50,0.5,0.0,0.0,5,0.1,0.0,5
D,50,0.75,0.6,0.0,5,0.9,0.0,5
D,55,0.25,0.0,0.0,5,0.2,0.0,5
D,55,0.5,4.0,0.0,5,2.7,0.0,5
D,55,0.75,6.3,0.0,5,30.6,0.0,5
D,60,0.25,0.3,0.0,5,0.4,0.0,5
D,60,0.5,1378.3,0.11,3,1441.9,0.11,3
D,60,0.75,730.7,0.12,4,808.6,0.04,4
EB,100,0.25,0.0,0.0,5,0.1,0.0,5
EB,100,0.5,1156.1,0.0,4,1156.0,0.0,4
EB,100,0.75,1.4,0.0,5,1.1,0.0,5
EB,110,0.25,0.4,0.0,5,0.2,0.0,5
EB,110,0.5,2162.4,0.1,2,2162.1,0.1,2
EB,110,0.75,1.8,0.0,5,2.5,0.0,5
EB,120,0.25,2.5,0.0,5,3.0,0.0,5
EB,120,0.5,1445.7,0.1,3,1445.0,0.1,3
EB,120,0.75,29.7,0.0,5,24.9,0.0,5
EB,130,0.25,0.8,0.0,5,1.9,0.0,5
EB,130,0.5,2163.8,0.2,2,2170.2,0.2,2
EB,130,0.75,1504.6,0.2,3,1453.7,0.2,3
EC,55,0.25,0.0,0.0,5,0.0,0.01,5
EC,55,0.5,293.4,0.0,5,298.5,0.0,5
EC,55,0.75,0.4,0.0,4,0.1,0.01,4
EC,60,0.25,0.0,0.0,5,0.0,0.02,5
EC,60,0.5,0.3,0.01,5,0.5,0.0,5
EC,60,0.75,1889.5,0.01,2,1889.7,0.04,1
EC,65,0.25,1378.5,0.11,3,0.0,0.02,5
EC,65,0.5,1313.5,0.02,5,1441.7,0.11,3
EC,65,0.75,0.0,0.0,3,1313.8,0.02,3
EC,70,0.25,1441.5,0.1,4,60.6,0.02,5
EC,70,0.5,537.6,0.01,4,1441.8,0.1,3
EC,70,0.75,52.6,0.0,4,537.9,0.01,4
ED,45,0.25,0.0,0.0,5,0.0,0.0,5
ED,45,0.5,0.0,0.0,5,0.0,0.0,5
ED,45,0.75,0.0,0.0,5,0.0,0.0,5
ED,50,0.25,0.1,0.0,5,0.1,0.0,5
ED,50,0.5,2152.7,0.14,3,2176.4,0.14,3
ED,50,0.75,0.0,0.0,5,0.1,0.0,5
ED,55,0.25,1.0,0.0,5,1.2,0.0,5
ED,55,0.5,1443.6,0.12,2,1444.5,0.12,2
ED,55,0.75,2166.9,0.11,3,2194.7,0.31,2
ED,60,0.25,0.1,0.0,5,0.1,0.0,5
ED,60,0.5,2164.7,0.44,4,2162.7,0.44,4
ED,60,0.75,2864.3,1.64,1,2890.9,1.49,1
