experiment,family,n,mean_delta_obj,mean_delta_rt_s,mean_delta_gap_pp,mean_final_gap_pct,max_final_gap_pct,within_0p2_pct,obj_wins,obj_losses,rt_wins,rt_losses,gap_wins,gap_losses,stops
dual_control,dual,12,-0.25,-419.415167,0.166347,0.423863,3.323077,50.0,3,1,10,2,5,7,GAP<0.3%:9;RT_CAP:3
dual_full_fb,dual,12,-0.75,-414.47625,0.219009,0.476526,3.323077,41.667,5,0,9,3,2,9,GAP<0.3%:9;RT_CAP:3
dual_full_nofb,dual,12,-1.5,-414.515583,0.256162,0.513678,3.323077,41.667,4,0,9,3,2,9,GAP<0.3%:9;RT_CAP:3
dual_destroy_only,dual,12,-0.333333,-415.0205,0.165848,0.423365,3.323077,50.0,4,0,10,2,3,7,GAP<0.3%:7;RT_CAP:3;UB:2
dual_repair_only,dual,12,-0.666667,-406.283,0.182411,0.439928,3.323077,50.0,4,0,10,2,3,9,GAP<0.3%:10;RT_CAP:2
cut_control,cut,12,-0.25,-418.858833,0.166347,0.423863,3.323077,50.0,3,1,10,2,5,7,GAP<0.3%:9;RT_CAP:3
cut_full_w035,cut,12,-0.25,-421.688833,0.174525,0.432041,3.323077,50.0,2,0,9,3,3,7,GAP<0.3%:8;RT_CAP:3;UB:1
cut_destroy_w035,cut,12,-0.25,-437.99275,0.153395,0.410912,3.323077,50.0,2,0,10,2,4,7,GAP<0.3%:9;RT_CAP:2;UB:1
cut_destroy_w020,cut,12,-0.25,-438.02475,0.153395,0.410912,3.323077,50.0,2,0,10,2,4,7,GAP<0.3%:9;RT_CAP:2;UB:1
cut_repair_w035,cut,12,-0.333333,-422.8115,0.154779,0.412296,3.323077,50.0,3,0,10,2,3,7,GAP<0.3%:7;RT_CAP:3;UB:2
