instance,family,n,alpha,gap_full,gap_norefresh,dgap,refreshes
B_n110_006_a25_016,B,110,0.25,1.577,1.577,0.0,2.0
B_n120_011_a25_031,B,120,0.25,1.9029,1.7885,-0.11440000000000006,2.0
B_n120_012_a25_034,B,120,0.25,0.4162,0.4853,0.0691,1.0
B_n120_014_a25_040,B,120,0.25,1.5786,1.5786,0.0,2.0
B_n130_016_a25_046,B,130,0.25,1.8949,1.8598,-0.03510000000000013,2.0
B_n130_017_a25_049,B,130,0.25,0.3904,0.358,-0.03240000000000004,2.0
B_n130_019_a25_055,B,130,0.25,1.4956,1.4956,0.0,2.0
B_n140_021_a25_061,B,140,0.25,1.7204,1.6281,-0.09229999999999983,2.0
B_n140_023_a25_067,B,140,0.25,0.4476,0.6307,0.18310000000000004,2.0
B_n140_024_a25_070,B,140,0.25,1.1819,1.1819,0.0,1.0
B_n150_026_a25_076,B,150,0.25,2.0519,1.8742,-0.17769999999999975,2.0
B_n150_028_a25_082,B,150,0.25,0.4351,1.8916,1.4565,3.0
C_n070_022_a50_065,C,70,0.5,0.3883,1.2037,0.8154,3.0
C_n070_023_a25_067,C,70,0.25,0.3062,0.3062,0.0,1.0
D_n055_019_a25_055,D,55,0.25,0.8643,1.2059,0.3416,2.0
D_n060_022_a50_065,D,60,0.5,0.7263,0.8924,0.16610000000000003,2.0
D_n065_027_a50_080,D,65,0.5,0.7218,0.7218,0.0,2.0
D_n065_028_a25_082,D,65,0.25,0.3602,0.3602,0.0,1.0
D_n065_030_a25_088,D,65,0.25,0.5272,0.7598,0.23260000000000003,2.0
D_n065_030_a50_089,D,65,0.5,0.5532,0.8906,0.3373999999999999,2.0
D_n070_032_a25_094,D,70,0.25,0.4992,1.3201,0.8209000000000001,2.0
D_n070_032_a50_095,D,70,0.5,0.5732,0.625,0.05179999999999996,2.0
D_n070_032_a75_096,D,70,0.75,0.3799,0.4744,0.09449999999999997,1.0
D_n070_035_a25_103,D,70,0.25,0.4098,1.1047,0.6949000000000001,2.0
D_n070_035_a50_104,D,70,0.5,0.7601,1.0943,0.33420000000000005,2.0
D_n075_036_a25_106,D,75,0.25,0.3615,0.9346,0.5730999999999999,2.0
D_n075_039_a50_116,D,75,0.5,0.3569,0.7113,0.35440000000000005,1.0
D_n075_040_a25_118,D,75,0.25,0.4376,1.087,0.6494,2.0
D_n075_040_a50_119,D,75,0.5,0.6576,0.8494,0.19180000000000008,2.0
D_n080_042_a25_124,D,80,0.25,0.9026,1.2211,0.3185000000000001,2.0
D_n080_044_a50_131,D,80,0.5,0.6112,1.0347,0.4235,2.0
D_n080_045_a25_133,D,80,0.25,0.7277,1.1899,0.46219999999999994,2.0
D_n080_045_a50_134,D,80,0.5,0.7939,0.7581,-0.035800000000000054,2.0
EB_n120_014_a25_040,EB,120,0.25,0.5145,0.8425,0.32800000000000007,2.0
EB_n130_017_a50_050,EB,130,0.5,0.5847,1.339,0.7543,3.0
EB_n130_019_a25_055,EB,130,0.25,0.4257,0.6723,0.24659999999999999,2.0
EB_n140_022_a25_064,EB,140,0.25,0.7176,0.9664,0.24880000000000002,2.0
EB_n140_022_a50_065,EB,140,0.5,0.5278,1.7051,1.1773,2.0
EB_n150_026_a25_076,EB,150,0.25,0.5848,0.7396,0.15480000000000005,2.0
EB_n150_027_a25_079,EB,150,0.25,0.8587,1.0004,0.14169999999999994,2.0
EC_n065_017_a50_050,EC,65,0.5,0.4715,0.5756,0.10410000000000003,1.0
EC_n070_023_a25_067,EC,70,0.25,0.3331,0.4657,0.1326,2.0
EC_n070_023_a50_068,EC,70,0.5,0.4962,0.541,0.04480000000000006,2.0
EC_n075_028_a25_082,EC,75,0.25,0.3523,0.3523,0.0,2.0
EC_n075_030_a50_089,EC,75,0.5,0.3651,0.4055,0.04040000000000005,2.0
