instance,family,a0_obj,a0_ub,a0_stop,a0_phases,a0_rt_s,ap_obj,ap_ub,ap_stop,ap_phases,ap_rt_s,delta,delta_pct,abs_delta_pct,commit,source_dirty,error
D_n055_019_a25_055,D,1147.0,1147,UB,1,0.6,1147.0,1147,UB,1,0.8,0.0,0.0,0.0,b1f6347b49fd,False,
C_n070_023_a25_067,C,1628.0,1633,TIERS_EXHAUSTED,4,1209.0,1628.0,1633,TIERS_EXHAUSTED,4,1210.3,0.0,0.0,0.0,b1f6347b49fd,False,
D_n065_028_a25_082,D,1383.0,1388,TIERS_EXHAUSTED,4,1210.5,1383.0,1388,TIERS_EXHAUSTED,4,1213.1,0.0,0.0,0.0,b1f6347b49fd,False,
D_n070_032_a25_094,D,1196.0,1196,UB,1,28.4,1196.0,1196,UB,1,175.1,0.0,0.0,0.0,818869e624ea,False,
C_n070_022_a50_065,C,2052.0,2060,TIERS_EXHAUSTED,4,1222.5,2052.0,2060,TIERS_EXHAUSTED,4,1218.5,0.0,0.0,0.0,818869e624ea,False,
B_n120_014_a25_040,B,3242.0,3294,TIERS_EXHAUSTED,4,1221.4,3242.0,3294,TIERS_EXHAUSTED,4,1221.5,0.0,0.0,0.0,818869e624ea,False,
B_n130_019_a25_055,B,3359.0,3410,TIERS_EXHAUSTED,4,1226.9,3359.0,3410,TIERS_EXHAUSTED,4,1222.5,0.0,0.0,0.0,818869e624ea,False,
B_n120_012_a25_034,B,2871.0,2883,TIERS_EXHAUSTED,4,1242.9,2871.0,2883,TIERS_EXHAUSTED,4,1237.8,0.0,0.0,0.0,818869e624ea,False,
D_n070_032_a75_096,D,2097.0,2106,TIERS_EXHAUSTED,5,1583.7,2106.0,2106,UB,5,1304.1,-9.0,-0.42735,0.42735,818869e624ea,False,
D_n060_022_a50_065,D,1777.0,1790,TIERS_EXHAUSTED,4,1233.6,1777.0,1790,TIERS_EXHAUSTED,7,2143.0,0.0,0.0,0.0,818869e624ea,False,
D_n075_036_a25_106,D,1378.0,1378,UB,1,180.9,1377.0,1382,TIERS_EXHAUSTED,4,1247.2,1.0,0.072569,0.072569,818869e624ea,False,
B_n140_024_a25_070,B,4264.0,4315,TIERS_EXHAUSTED,4,1242.8,4264.0,4315,TIERS_EXHAUSTED,4,1240.8,0.0,0.0,0.0,818869e624ea,False,
B_n130_017_a25_049,B,3062.0,3073,TIERS_EXHAUSTED,6,1878.1,3061.0,3074,TIERS_EXHAUSTED,4,1280.4,1.0,0.032552,0.032552,818869e624ea,False,
D_n065_030_a25_088,D,1698.0,1707,TIERS_EXHAUSTED,4,1264.3,1698.0,1707,TIERS_EXHAUSTED,4,1263.8,0.0,0.0,0.0,818869e624ea,False,
D_n065_030_a50_089,D,2337.0,2350,TIERS_EXHAUSTED,4,1268.4,2336.0,2349,TIERS_EXHAUSTED,5,1572.4,1.0,0.042717,0.042717,818869e624ea,False,
B_n110_006_a25_016,B,2434.0,2473,TIERS_EXHAUSTED,4,1247.9,2434.0,2473,TIERS_EXHAUSTED,4,1249.1,0.0,0.0,0.0,818869e624ea,False,
D_n075_039_a50_116,D,3063.0,3082,TIERS_EXHAUSTED,6,1934.3,3064.0,3082,TIERS_EXHAUSTED,7,2237.2,-1.0,-0.032446,0.032446,818869e624ea,False,
D_n070_035_a25_103,D,1701.0,1708,TIERS_EXHAUSTED,4,1273.0,1701.0,1708,TIERS_EXHAUSTED,4,1269.8,0.0,0.0,0.0,818869e624ea,False,
ED_n040_004_a50_011,ED,1154.0,1165,TIERS_EXHAUSTED,4,1202.7,1154.0,1165,TIERS_EXHAUSTED,4,1203.0,0.0,0.0,0.0,818869e624ea,False,
