instance,status,final_ub_cert,refine_ub_float,ub_decimal_strict,ub_decimal_with_tol,lag_float,lag_decimal_str,passes_strict,passes_tol,required_eps_safeguard,delta_float,delta_decimal
B_n100_001_a25_001,PASS,2142,2142,2142,2142,2142.003003,2142.003003,True,True,False,0.003003,0.003003
B_n100_001_a50_002,PASS,3025,3025,3025,3025,3025.001952,3025.001952,True,True,False,0.001952,0.001952
B_n100_001_a75_003,PASS,3119,3119,3119,3119,3119.0,3119.000000,True,True,False,0.0,0.0
B_n100_002_a25_004,PASS,2364,2364,2364,2364,2364.0,2364.000000,True,True,False,0.0,0.0
B_n100_002_a50_005,PASS,3173,3173,3173,3173,3173.0,3173.000000,True,True,False,0.0,0.0
B_n100_002_a75_006,PASS,3329,3329,3329,3329,3329.0,3329.000000,True,True,False,0.0,0.0
B_n100_003_a25_007,PASS,2312,2312,2312,2312,2312.506562,2312.506562,True,True,False,0.506562,0.506562
B_n100_003_a50_008,PASS,3179,3179,3179,3179,3179.0,3179.000000,True,True,False,0.0,0.0
B_n100_003_a75_009,PASS,3277,3277,3277,3277,3277.0,3277.000000,True,True,False,0.0,0.0
B_n100_004_a25_010,PASS,2831,2831,2831,2831,2831.0008,2831.000800,True,True,False,0.0008,0.0008
B_n100_004_a50_011,PASS,4102,4102,4102,4102,4102.0,4102.000000,True,True,False,0.0,0.0
B_n100_004_a75_012,PASS,4174,4174,4174,4174,4174.0,4174.000000,True,True,False,0.0,0.0
B_n100_005_a25_013,PASS,2241,2241,2241,2241,2241.0,2241.000000,True,True,False,0.0,0.0
B_n100_005_a50_014,PASS,3344,3344,3344,3344,3344.0,3344.000000,True,True,False,0.0,0.0
B_n100_005_a75_015,PASS,3512,3512,3512,3512,3512.0,3512.000000,True,True,False,0.0,0.0
B_n110_006_a25_016,PASS,2469,2469,2469,2469,2469.24595,2469.245950,True,True,False,0.24595,0.24595
B_n110_006_a50_017,PASS,3465,3465,3465,3465,3465.007739,3465.007739,True,True,False,0.007739,0.007739
B_n110_006_a75_018,PASS,3614,3614,3614,3614,3614.0,3614.000000,True,True,False,0.0,0.0
B_n110_007_a25_019,PASS,2510,2510,2510,2510,2510.005577,2510.005577,True,True,False,0.005577,0.005577
B_n110_007_a50_020,PASS,3603,3603,3603,3603,3603.0,3603.000000,True,True,False,0.0,0.0
B_n110_007_a75_021,PASS_NEEDS_EPS,3780,3780,3779,3780,3780.0,3780.000000,False,True,True,-0.0,-0.0
B_n110_008_a25_022,PASS,2531,2531,2531,2531,2531.513143,2531.513143,True,True,False,0.513143,0.513143
B_n110_008_a50_023,PASS,3700,3700,3700,3700,3700.0,3700.000000,True,True,False,0.0,0.0
B_n110_008_a75_024,PASS,3808,3808,3808,3808,3808.0,3808.000000,True,True,False,0.0,0.0
B_n110_009_a25_025,PASS,3221,3221,3221,3221,3221.000627,3221.000627,True,True,False,0.000627,0.000627
B_n110_009_a50_026,PASS,4524,4524,4524,4524,4524.0,4524.000000,True,True,False,0.0,0.0
B_n110_009_a75_027,PASS,4696,4696,4696,4696,4696.0,4696.000000,True,True,False,0.0,0.0
B_n110_010_a25_028,PASS,2549,2549,2549,2549,2549.0,2549.000000,True,True,False,0.0,0.0
B_n110_010_a50_029,PASS,3674,3674,3674,3674,3674.0,3674.000000,True,True,False,0.0,0.0
B_n110_010_a75_030,PASS,3853,3853,3853,3853,3853.0,3853.000000,True,True,False,0.0,0.0
B_n120_011_a25_031,PASS,2566,2566,2566,2566,2566.359978,2566.359978,True,True,False,0.359978,0.359978
B_n120_011_a50_032,PASS,3899,3899,3899,3899,3899.0,3899.000000,True,True,False,0.0,0.0
B_n120_011_a75_033,PASS,4074,4074,4074,4074,4074.0,4074.000000,True,True,False,0.0,0.0
B_n120_012_a25_034,PASS,2881,2881,2881,2881,2881.437288,2881.437288,True,True,False,0.437288,0.437288
B_n120_012_a50_035,PASS,4182,4182,4182,4182,4182.0,4182.000000,True,True,False,0.0,0.0
B_n120_012_a75_036,PASS,4222,4222,4222,4222,4222.0,4222.000000,True,True,False,0.0,0.0
B_n120_013_a25_037,PASS,2945,2945,2945,2945,2945.584845,2945.584845,True,True,False,0.584845,0.584845
B_n120_013_a50_038,PASS,4064,4064,4064,4064,4064.0,4064.000000,True,True,False,0.0,0.0
B_n120_013_a75_039,PASS,4147,4147,4147,4147,4147.0,4147.000000,True,True,False,0.0,0.0
B_n120_014_a25_040,PASS,3287,3287,3287,3287,3287.327927,3287.327927,True,True,False,0.327927,0.327927
B_n120_014_a50_041,PASS,4855,4855,4855,4855,4855.0,4855.000000,True,True,False,0.0,0.0
B_n120_014_a75_042,PASS,5038,5038,5038,5038,5038.0,5038.000000,True,True,False,0.0,0.0
B_n120_015_a25_043,PASS,2579,2579,2579,2579,2579.00002,2579.000020,True,True,False,2e-05,2e-05
B_n120_015_a50_044,PASS,4004,4004,4004,4004,4004.0,4004.000000,True,True,False,0.0,0.0
B_n120_015_a75_045,PASS,4282,4282,4282,4282,4282.0,4282.000000,True,True,False,0.0,0.0
B_n130_016_a25_046,PASS,2789,2789,2789,2789,2789.50426,2789.504260,True,True,False,0.50426,0.50426
