instance,mode,status,final_ub_cert,refine_ub_float,ub_strict,ub_with_eps,lag_value,passes_strict,passes_tol,required_eps_safeguard,delta,near_tie_jobs,boundary_processors,max_discrepancy
B_n100_001_a25_001,exact,PASS,2142,2142,2142,2142,2142.003003,True,True,False,0.003003,0,0,0.0
B_n100_002_a25_004,exact,PASS,2364,2364,2364,2364,2364.0,True,True,False,0.0,17,0,0.0
B_n100_003_a25_007,exact,PASS,2312,2312,2312,2312,2312.506562,True,True,False,0.506562,0,0,0.0
B_n100_001_a50_002,exact,PASS,3025,3025,3025,3025,3025.001952,True,True,False,0.001952,2,0,0.0
B_n100_002_a50_005,exact,PASS,3173,3173,3173,3173,3173.0,True,True,False,0.0,15,0,0.0
B_n100_003_a50_008,exact,PASS,3179,3179,3179,3179,3179.0,True,True,False,0.0,15,0,0.0
B_n100_001_a75_003,exact,PASS,3119,3119,3119,3119,3119.0,True,True,False,0.0,4,0,0.0
B_n100_002_a75_006,exact,PASS,3329,3329,3329,3329,3329.0,True,True,False,0.0,1,0,0.0
B_n100_003_a75_009,exact,PASS,3277,3277,3277,3277,3277.0,True,True,False,0.0,8,0,0.0
C_n050_001_a25_001,exact,PASS,735,735,735,735,735.0,True,True,False,0.0,28,0,0.0
C_n050_002_a25_004,exact,PASS,783,783,783,783,783.0,True,True,False,0.0,18,0,0.0
C_n050_003_a25_007,exact,PASS,994,994,994,994,994.0,True,True,False,0.0,16,0,0.0
C_n050_001_a50_002,exact,PASS,1236,1236,1236,1236,1236.0,True,True,False,0.0,15,0,0.0
C_n050_002_a50_005,exact,PASS,1257,1257,1257,1257,1257.0,True,True,False,0.0,17,0,0.0
C_n050_003_a50_008,exact,PASS,1362,1362,1362,1362,1362.0,True,True,False,0.0,10,0,0.0
C_n050_001_a75_003,exact,PASS,1445,1445,1445,1445,1445.0,True,True,False,0.0,13,0,0.0
C_n050_002_a75_006,exact,PASS,1495,1495,1495,1495,1495.0,True,True,False,0.0,3,0,0.0
C_n050_003_a75_009,exact,PASS,1595,1595,1595,1595,1595.0,True,True,False,0.0,2,0,0.0
D_n040_001_a25_001,exact,PASS,715,715,715,715,715.0,True,True,False,0.0,4,0,0.0
D_n040_002_a25_004,exact,PASS,352,352,352,352,352.0,True,True,False,0.0,4,0,0.0
D_n040_003_a25_007,exact,PASS,563,563,563,563,563.0,True,True,False,0.0,12,0,0.0
D_n040_001_a50_002,exact,PASS,970,970,970,970,970.0,True,True,False,0.0,9,0,0.0
D_n040_002_a50_005,exact,PASS,894,894,894,894,894.0,True,True,False,0.0,9,0,0.0
D_n040_003_a50_008,exact,PASS,1023,1023,1023,1023,1023.0,True,True,False,0.0,2,0,0.0
D_n040_001_a75_003,exact,PASS,1203,1203,1203,1203,1203.0,True,True,False,0.0,1,0,0.0
D_n040_002_a75_006,exact,PASS,1137,1137,1137,1137,1137.0,True,True,False,0.0,2,0,0.0
D_n040_003_a75_009,exact,PASS,1149,1149,1149,1149,1149.0,True,True,False,0.0,5,0,0.0
EB_n100_001_a25_001,exact,PASS,1609,1609,1609,1609,1609.003206,True,True,False,0.003206,0,0,0.0
EB_n100_002_a25_004,exact,PASS,1859,1859,1859,1859,1859.0,True,True,False,0.0,23,0,0.0
EB_n100_003_a25_007,exact,PASS,1616,1616,1616,1616,1616.511198,True,True,False,0.511198,0,0,0.0
EB_n100_001_a50_002,exact,PASS,2822,2822,2822,2822,2822.0,True,True,False,0.0,22,0,0.0
EB_n100_002_a50_005,exact,PASS,3053,3053,3053,3053,3053.02455,True,True,False,0.02455,0,0,0.0
EB_n100_003_a50_008,exact,PASS,2948,2948,2948,2948,2948.040053,True,True,False,0.040053,0,0,0.0
EB_n100_001_a75_003,exact,PASS,3115,3115,3115,3115,3115.0,True,True,False,0.0,6,0,0.0
EB_n100_002_a75_006,exact,PASS,3327,3327,3327,3327,3327.0,True,True,False,0.0,2,0,0.0
EB_n100_003_a75_009,exact,PASS,3277,3277,3277,3277,3277.0,True,True,False,0.0,6,0,0.0
EC_n050_001_a25_001,exact,PASS,421,421,421,421,421.0,True,True,False,0.0,40,0,0.0
EC_n050_002_a25_004,exact,PASS,355,355,355,355,355.0,True,True,False,0.0,35,0,0.0
EC_n050_003_a25_007,exact,PASS,773,773,773,773,773.0,True,True,False,0.0,26,0,0.0
EC_n050_001_a50_002,exact,PASS,1103,1103,1103,1103,1103.0,True,True,False,0.0,19,0,0.0
EC_n050_002_a50_005,exact,PASS,1136,1136,1136,1136,1136.0,True,True,False,0.0,12,0,0.0
EC_n050_003_a50_008,exact,PASS,1350,1350,1350,1350,1350.0,True,True,False,0.0,10,0,0.0
