instance,family,n,K,alpha,gap,distance,tier
B_n100_001_a25_001,B,100,2,0.25,1.162791,Line,1-2%
B_n100_001_a50_002,B,100,2,0.5,0.056167,Line,<0.5%
B_n100_001_a75_003,B,100,2,0.75,0.0,Line,exact
B_n100_002_a25_004,B,100,2,0.25,1.89243,Line,1-2%
B_n100_002_a50_005,B,100,2,0.5,1.066351,Line,1-2%
B_n100_002_a75_006,B,100,2,0.75,0.0,Line,exact
B_n100_003_a25_007,B,100,2,0.25,1.654685,Line,1-2%
B_n100_003_a50_008,B,100,2,0.5,0.025159,Line,<0.5%
B_n100_003_a75_009,B,100,2,0.75,0.003051,Line,exact
B_n100_004_a25_010,B,100,2,0.25,1.701389,Line,1-2%
B_n100_004_a50_011,B,100,2,0.5,0.0,Line,exact
B_n100_004_a75_012,B,100,2,0.75,0.0,Line,exact
B_n100_005_a25_013,B,100,2,0.25,1.433849,Line,1-2%
B_n100_005_a50_014,B,100,2,0.5,0.809777,Line,0.5-1%
B_n100_005_a75_015,B,100,2,0.75,0.0,Line,exact
B_n110_006_a25_016,B,110,2,0.25,1.577032,Line,1-2%
B_n110_006_a50_017,B,110,2,0.5,1.033931,Line,1-2%
B_n110_006_a75_018,B,110,2,0.75,0.022131,Line,<0.5%
B_n110_007_a25_019,B,110,2,0.25,1.607213,Line,1-2%
B_n110_007_a50_020,B,110,2,0.5,1.160717,Line,1-2%
B_n110_007_a75_021,B,110,2,0.75,0.0,Line,exact
B_n110_008_a25_022,B,110,2,0.25,0.197161,Line,<0.5%
B_n110_008_a50_023,B,110,2,0.5,0.018915,Line,<0.5%
B_n110_008_a75_024,B,110,2,0.75,0.002626,Line,exact
B_n110_009_a25_025,B,110,2,0.25,0.179745,Line,<0.5%
B_n110_009_a50_026,B,110,2,0.5,0.745941,Line,0.5-1%
B_n110_009_a75_027,B,110,2,0.75,0.0,Line,exact
B_n110_010_a25_028,B,110,2,0.25,0.913508,Line,0.5-1%
B_n110_010_a50_029,B,110,2,0.5,0.761709,Line,0.5-1%
B_n110_010_a75_030,B,110,2,0.75,0.0,Line,exact
