model,predictor,coef,se,z,p,sig,sigma,log_likelihood,r2_mz
M1_main,n_std,0.2528,0.0242,10.451,0.0,***,0.3183,-260.1581,0.2903
M1_main,K_std,0.1895,0.0237,7.983,0.0,***,0.3183,-260.1581,0.2903
M1_main,alpha_std,-0.133,0.0146,-9.119,0.0,***,0.3183,-260.1581,0.2903
M1_main,distance,0.0648,0.0279,2.319,0.020378,*,0.3183,-260.1581,0.2903
M2_full,n_std,0.356,0.04,8.888,0.0,***,0.2971,-212.9822,0.4122
M2_full,K_std,0.2093,0.034,6.149,0.0,***,0.2971,-212.9822,0.4122
M2_full,alpha_std,-0.2334,0.0225,-10.356,0.0,***,0.2971,-212.9822,0.4122
M2_full,distance,0.0962,0.0281,3.426,0.000613,***,0.2971,-212.9822,0.4122
M2_full,n_std:K_std,0.0804,0.0219,3.668,0.000245,***,0.2971,-212.9822,0.4122
M2_full,n_std:alpha_std,-0.0196,0.0238,-0.821,0.411565,,0.2971,-212.9822,0.4122
M2_full,n_std:distance,-0.0596,0.0457,-1.303,0.192557,,0.2971,-212.9822,0.4122
M2_full,K_std:alpha_std,0.054,0.0236,2.293,0.021871,*,0.2971,-212.9822,0.4122
M2_full,K_std:distance,0.0022,0.0451,0.05,0.960209,,0.2971,-212.9822,0.4122
M2_full,alpha_std:distance,0.1887,0.0286,6.586,0.0,***,0.2971,-212.9822,0.4122
M4_pars,n_std,0.3222,0.0316,10.21,0.0,***,0.3098,-241.8608,0.3283
M4_pars,K_std,0.2093,0.0236,8.871,0.0,***,0.3098,-241.8608,0.3283
M4_pars,alpha_std,-0.1301,0.0143,-9.124,0.0,***,0.3098,-241.8608,0.3283
M4_pars,n_std:K_std,0.0797,0.0225,3.542,0.000398,***,0.3098,-241.8608,0.3283
M4_pars,K_std:alpha_std,0.0723,0.0137,5.261,0.0,***,0.3098,-241.8608,0.3283
