instance,family,obj,published_ub,published_gap_pct,lag_raw,lag_ub,new_ub,new_gap_pct,improved,iterations,converged,refine_s,error
ED_n060_022_a50_065,ED,1737.0,1766.0,1.6421,1764.4613307809707,1764,1764,1.530612244897959,1,3000,0,28.2,
B_n120_014_a25_040,B,3242.0,3294.0,1.5786,3287.3279266230547,3287,3287,1.369029510191664,1,3000,0,65.3,
B_n130_019_a25_055,B,3359.0,3410.0,1.4956,3404.0409188374315,3404,3404,1.3219741480611047,1,3000,0,67.8,
B_n110_006_a25_016,B,2434.0,2473.0,1.577,2469.245950434787,2469,2469,1.4175779667881734,1,3000,0,167.9,
ED_n065_027_a50_080,ED,1747.0,1766.0,1.0759,1764.3165177584629,1764,1764,0.9637188208616779,1,3000,0,45.8,
B_n140_024_a25_070,B,4264.0,4315.0,1.1819,4309.329789158626,4309,4309,1.0443258296588536,1,3000,0,120.1,
ED_n040_004_a50_011,ED,1154.0,1165.0,0.9442,1164.2414315035023,1164,1164,0.859106529209622,1,3000,0,6.2,
D_n055_019_a25_055,D,1147.0,1157.0,0.8643,1147.0000165572835,1147,1147,0.0,1,3000,0,22.7,
ED_n060_025_a50_074,ED,2014.0,2034.0,0.9833,2014.7015947959915,2014,2014,0.0,1,3000,0,70.5,
B_n120_011_a25_031,B,2526.0,2574.0,1.8648,2566.3599783601044,2566,2566,1.558846453624318,1,3000,0,366.3,
B_n130_016_a25_046,B,2744.0,2799.0,1.965,2789.504259969735,2789,2789,1.6134815346002152,1,3000,0,437.7,
D_n060_022_a50_065,D,1777.0,1790.0,0.7263,1787.983390099416,1787,1787,0.5595970900951315,1,3000,0,42.6,
D_n070_035_a50_104,D,2350.0,2368.0,0.7601,2354.587022984116,2354,2354,0.16992353440951571,1,3000,0,173.1,
B_n150_026_a25_076,B,3246.0,3307.0,1.8446,3296.6875486948074,3296,3296,1.516990291262136,1,3000,0,495.3,
B_n140_021_a25_061,B,3142.0,3195.0,1.6588,3187.388897934404,3187,3187,1.4119861939127707,1,3000,0,527.3,
D_n065_027_a50_080,D,1788.0,1801.0,0.7218,1798.507187634596,1798,1798,0.5561735261401557,1,3000,0,52.5,
ED_n065_030_a25_088,ED,1478.0,1488.0,0.672,1478.0017822732132,1478,1478,0.0,1,3000,0,130.3,
D_n080_045_a50_134,D,2749.0,2771.0,0.7939,2757.1259490052175,2757,2757,0.29017047515415306,1,3000,0,376.5,
ED_n075_037_a25_109,ED,1273.0,1282.0,0.702,1282.1989635179248,1282,1282.0,0.702028081123245,0,3000,0,190.5,
ED_n070_035_a25_103,ED,1479.0,1489.0,0.6716,1479.43418110535,1479,1479,0.0,1,3000,0,151.6,
D_n080_045_a25_133,D,1910.0,1923.0,0.676,1910.5249186652939,1910,1910,0.0,1,3000,0,266.9,
ED_n070_032_a75_096,ED,2083.0,2096.0,0.6202,2094.184741445128,2094,2094,0.5253104106972302,1,3000,0,95.6,
EB_n150_027_a25_079,EB,2771.0,2792.0,0.7521,2775.723508181588,2775,2775,0.14414414414414414,1,3000,0,437.4,
ED_n065_029_a25_085,ED,1343.0,1351.0,0.5922,1343.0044802303967,1343,1343,0.0,1,3000,0,44.6,
D_n080_044_a50_131,D,3252.0,3272.0,0.6112,3271.493165737662,3271,3271,0.5808621216753286,1,3000,0,131.0,
ED_n050_014_a50_041,ED,1787.0,1797.0,0.5565,1797.175394048697,1797,1797.0,0.5564830272676683,0,3000,0,12.4,
D_n070_032_a50_095,D,1908.0,1919.0,0.5732,1918.2733207423555,1918,1918,0.5213764337851928,1,3000,0,77.3,
ED_n060_024_a25_070,ED,1253.0,1260.0,0.5556,1253.0000001250341,1253,1253,0.0,1,3000,0,48.7,
