instance,family,obj,published_ub,published_gap_pct,lag_raw,lag_ub,new_ub,new_gap_pct,improved,iterations,converged,refine_s,guard
B_n100_001_a25_001,B,2142.0,2144.0,0.0933,2142.0030027709367,2142,2142,0.0,1,3000,0,75.5,
B_n100_001_a50_002,B,3025.0,3026.0,0.033,3025.0019523941824,3025,3025,0.0,1,3000,0,76.6,
B_n100_002_a25_004,B,2364.0,2366.0,0.0845,2364.000000102694,2364,2364,0.0,1,3000,0,25.1,
B_n100_003_a25_007,B,2312.0,2313.0,0.0432,2312.5065619142274,2312,2312,0.0,1,3000,0,24.6,
B_n100_004_a25_010,B,2831.0,2839.0,0.2818,2831.0008004655288,2831,2831,0.0,1,3000,0,15.0,
B_n100_005_a25_013,B,2241.0,2242.0,0.0446,2241.0000001002904,2241,2241,0.0,1,3000,0,13.7,
B_n100_005_a50_014,B,3344.0,3352.0,0.2387,3344.0000000026484,3344,3344,0.0,1,3000,0,14.4,
B_n110_006_a25_016,B,2434.0,2473.0,1.577,2469.245950434787,2469,2469,1.417578,1,3000,0,167.9,
B_n110_006_a50_017,B,3465.0,3475.0,0.2878,3465.007739291603,3465,3465,0.0,1,3000,0,191.2,
B_n110_007_a25_019,B,2510.0,2515.0,0.1988,2510.0055765189627,2510,2510,0.0,1,3000,0,27.4,
B_n110_007_a50_020,B,3603.0,3605.0,0.0555,3603.0000000777595,3603,3603,0.0,1,3000,0,47.1,
B_n110_008_a25_022,B,2531.0,2535.0,0.1578,2531.513142809742,2531,2531,0.0,1,3000,0,41.5,
B_n110_009_a25_025,B,3221.0,3226.0,0.155,3221.0006272715127,3221,3221,0.0,1,3000,0,30.4,
B_n110_009_a50_026,B,4524.0,4526.0,0.0442,4524.00000000105,4524,4524,0.0,1,3000,0,29.5,
B_n110_010_a25_028,B,2549.0,2553.0,0.1567,2549.0000000041537,2549,2549,0.0,1,3000,0,27.2,
B_n110_010_a50_029,B,3674.0,3684.0,0.2714,3674.0000000024265,3674,3674,0.0,1,3000,0,43.2,
B_n120_011_a25_031,B,2526.0,2574.0,1.8648,2566.3599783601044,2566,2566,1.558846,1,3000,0,366.3,
B_n120_011_a50_032,B,3899.0,3909.0,0.2558,3899.0000000785817,3899,3899,0.0,1,3000,0,361.5,
B_n120_012_a25_034,B,2871.0,2883.0,0.4162,2881.43728796472,2881,2881,0.347102,1,3000,0,93.9,
B_n120_013_a25_037,B,2942.0,2949.0,0.2374,2945.5848446823006,2945,2945,0.101868,1,3000,0,72.7,
B_n120_014_a25_040,B,3242.0,3294.0,1.5786,3287.3279266230547,3287,3287,1.36903,1,3000,0,65.3,
B_n120_015_a25_043,B,2579.0,2583.0,0.1549,2579.000019606994,2579,2579,0.0,1,3000,0,54.1,
B_n130_016_a25_046,B,2744.0,2799.0,1.965,2789.504259969735,2789,2789,1.613482,1,3000,0,437.7,
