instance,family,incumbent,greedy,init_ub,init_raw,init_iters,refined_ub,refined_raw,refine_iters,refine_converged,final_ub,binding,final_gap_pct,cert_path,solve_s,error
B_n100_001_a25_001,B,2142.0,2121.0,2146,2146.565653,200,2142,2142.003003,3000,0,2142,refined,0.0,results/certificates/B_n100_001_a25_001.pkl,75.1,
B_n100_001_a50_002,B,3025.0,3023.0,3026,3026.735857,200,3025,3025.001952,3000,0,3025,refined,0.0,results/certificates/B_n100_001_a50_002.pkl,77.1,
B_n100_001_a75_003,B,3119.0,3114.0,3119,3119.276373,200,3119,3119.0,3000,0,3119,initial,0.0,results/certificates/B_n100_001_a75_003.pkl,80.0,
B_n100_002_a25_004,B,2364.0,2247.0,2386,2386.0,200,2364,2364.0,3000,0,2364,refined,0.0,results/certificates/B_n100_002_a25_004.pkl,21.8,
B_n100_002_a50_005,B,3173.0,3172.0,3185,3185.682781,200,3173,3173.0,3000,0,3173,refined,0.0,results/certificates/B_n100_002_a50_005.pkl,44.3,
B_n100_002_a75_006,B,3329.0,3328.0,3329,3329.0,6,3329,3329.0,16,1,3329,initial,0.0,results/certificates/B_n100_002_a75_006.pkl,0.3,
B_n100_003_a25_007,B,2312.0,2311.0,2323,2323.235222,200,2312,2312.506562,3000,0,2312,refined,0.0,results/certificates/B_n100_003_a25_007.pkl,21.8,
B_n100_003_a50_008,B,3179.0,3166.0,3182,3182.456505,200,3179,3179.0,3000,0,3179,refined,0.0,results/certificates/B_n100_003_a50_008.pkl,28.0,
B_n100_003_a75_009,B,3277.0,3267.0,3278,3278.801862,200,3277,3277.0,3000,0,3277,refined,0.0,results/certificates/B_n100_003_a75_009.pkl,31.8,
B_n100_004_a25_010,B,2831.0,2490.0,2852,2852.5,200,2831,2831.0008,3000,0,2831,refined,0.0,results/certificates/B_n100_004_a25_010.pkl,16.5,
B_n100_004_a50_011,B,4102.0,4091.0,4102,4102.007345,200,4102,4102.0,87,1,4102,initial,0.0,results/certificates/B_n100_004_a50_011.pkl,1.5,
B_n100_004_a75_012,B,4174.0,4173.0,4174,4174.160994,200,4174,4174.0,3000,0,4174,initial,0.0,results/certificates/B_n100_004_a75_012.pkl,22.5,
B_n100_005_a25_013,B,2241.0,2130.0,2248,2248.0,200,2241,2241.0,3000,0,2241,refined,0.0,results/certificates/B_n100_005_a25_013.pkl,15.5,
B_n100_005_a50_014,B,3344.0,3334.0,3349,3349.471908,200,3344,3344.0,3000,0,3344,refined,0.0,results/certificates/B_n100_005_a50_014.pkl,16.2,
B_n100_005_a75_015,B,3512.0,3500.0,3512,3512.590869,200,3512,3512.0,3000,0,3512,initial,0.0,results/certificates/B_n100_005_a75_015.pkl,16.3,
B_n110_006_a25_016,B,2434.0,2291.0,2482,2482.5,200,2469,2469.24595,3000,0,2469,refined,1.4175779667881734,results/certificates/B_n110_006_a25_016.pkl,176.7,
B_n110_006_a50_017,B,3465.0,3442.0,3486,3486.382527,200,3465,3465.007739,3000,0,3465,refined,0.0,results/certificates/B_n110_006_a50_017.pkl,170.7,
B_n110_006_a75_018,B,3614.0,3608.0,3614,3614.89258,200,3614,3614.0,3000,0,3614,initial,0.0,results/certificates/B_n110_006_a75_018.pkl,178.8,
B_n110_007_a25_019,B,2510.0,2365.0,2568,2568.0,200,2510,2510.005577,3000,0,2510,refined,0.0,results/certificates/B_n110_007_a25_019.pkl,29.8,
B_n110_007_a50_020,B,3603.0,3590.0,3615,3615.184089,200,3603,3603.0,3000,0,3603,refined,0.0,results/certificates/B_n110_007_a50_020.pkl,51.1,
B_n110_007_a75_021,B,3780.0,3779.0,3780,3780.0,6,3780,3780.0,18,1,3780,initial,0.0,results/certificates/B_n110_007_a75_021.pkl,0.5,
B_n110_008_a25_022,B,2531.0,2530.0,2546,2546.733197,200,2531,2531.513143,3000,0,2531,refined,0.0,results/certificates/B_n110_008_a25_022.pkl,42.9,
B_n110_008_a50_023,B,3700.0,3684.0,3703,3703.674578,200,3700,3700.0,3000,0,3700,refined,0.0,results/certificates/B_n110_008_a50_023.pkl,48.1,
B_n110_008_a75_024,B,3808.0,3795.0,3809,3809.108646,200,3808,3808.0,3000,0,3808,refined,0.0,results/certificates/B_n110_008_a75_024.pkl,47.9,
B_n110_009_a25_025,B,3221.0,2971.0,3259,3259.5,200,3221,3221.000627,3000,0,3221,refined,0.0,results/certificates/B_n110_009_a25_025.pkl,31.5,
