family,n,alpha,bpc_oa_gap_pct,bpc_n_solved,group_count_ours,bpc_class,bpc_class_label,note
A,425,0.25,0.0,5,5,1,optimal,
A,425,0.5,0.0,5,5,1,optimal,
A,425,0.75,0.0,5,5,1,optimal,
A,450,0.25,0.0,5,5,1,optimal,
A,450,0.5,0.0,5,5,1,optimal,
A,450,0.75,0.0,5,5,1,optimal,
A,475,0.25,0.0,5,5,1,optimal,
A,475,0.5,0.0,5,5,1,optimal,
A,475,0.75,0.0,5,5,1,optimal,
A,500,0.25,0.0,5,5,1,optimal,
A,500,0.5,0.0,5,5,1,optimal,
A,500,0.75,0.0,5,5,1,optimal,
B,100,0.25,0.0,4,5,1,optimal,-1 instance(s) may be Class 3
B,100,0.5,0.0,5,5,1,optimal,
B,100,0.75,0.0,5,5,1,optimal,
B,110,0.25,0.0,4,5,1,optimal,-1 instance(s) may be Class 3
B,110,0.5,0.0,5,5,1,optimal,
B,110,0.75,0.0,5,5,1,optimal,
B,120,0.25,0.07,4,5,2,incumbent,-1 instance(s) may be Class 3
B,120,0.5,0.0,5,5,1,optimal,
B,120,0.75,0.0,5,5,1,optimal,
B,130,0.25,0.01,4,5,2,incumbent,-1 instance(s) may be Class 3
B,130,0.5,0.06,3,5,2,incumbent,-2 instance(s) may be Class 3
B,130,0.75,0.61,3,5,2,incumbent,-2 instance(s) may be Class 3
C,55,0.25,0.0,5,5,1,optimal,
C,55,0.5,0.0,5,5,1,optimal,
C,55,0.75,0.0,5,5,1,optimal,
C,60,0.25,0.0,5,5,1,optimal,
C,60,0.5,0.0,5,5,1,optimal,
C,60,0.75,0.0,5,5,1,optimal,
C,65,0.25,0.0,5,5,1,optimal,
C,65,0.5,0.01,4,5,2,incumbent,-1 instance(s) may be Class 3
C,65,0.75,0.0,5,5,1,optimal,
C,70,0.25,0.0,5,5,1,optimal,
C,70,0.5,0.08,4,5,2,incumbent,-1 instance(s) may be Class 3
C,70,0.75,0.0,5,5,1,optimal,
D,45,0.25,0.0,5,5,1,optimal,
D,45,0.5,0.0,5,5,1,optimal,
D,45,0.75,0.0,5,5,1,optimal,
D,50,0.25,0.0,5,5,1,optimal,
D,50,0.5,0.0,5,5,1,optimal,
D,50,0.75,0.0,5,5,1,optimal,
D,55,0.25,0.0,5,5,1,optimal,
D,55,0.5,0.0,5,5,1,optimal,
D,55,0.75,0.0,5,5,1,optimal,
D,60,0.25,0.0,5,5,1,optimal,
D,60,0.5,0.11,3,5,2,incumbent,-2 instance(s) may be Class 3
D,60,0.75,0.12,4,5,2,incumbent,-1 instance(s) may be Class 3
EA,425,0.25,0.0,5,5,1,optimal,
EA,425,0.5,0.0,5,5,1,optimal,
EA,425,0.75,0.0,5,5,1,optimal,
EA,450,0.25,0.0,5,5,1,optimal,
EA,450,0.5,0.0,5,5,1,optimal,
EA,450,0.75,0.0,5,5,1,optimal,
EA,475,0.25,0.0,5,5,1,optimal,
EA,475,0.5,0.0,5,5,1,optimal,
EA,475,0.75,0.0,5,5,1,optimal,
EA,500,0.25,0.0,5,5,1,optimal,
EA,500,0.5,0.0,5,5,1,optimal,
EA,500,0.75,0.0,5,5,1,optimal,
EB,100,0.25,0.0,5,5,1,optimal,
EB,100,0.5,0.0,4,5,1,optimal,-1 instance(s) may be Class 3
EB,100,0.75,0.0,5,5,1,optimal,
EB,110,0.25,0.0,5,5,1,optimal,
EB,110,0.5,0.1,2,5,2,incumbent,-3 instance(s) may be Class 3
EB,110,0.75,0.0,5,5,1,optimal,
EB,120,0.25,0.0,5,5,1,optimal,
EB,120,0.5,0.1,3,5,2,incumbent,-2 instance(s) may be Class 3
EB,120,0.75,0.0,5,5,1,optimal,
EB,130,0.25,0.0,5,5,1,optimal,
EB,130,0.5,0.2,2,5,2,incumbent,-3 instance(s) may be Class 3
EB,130,0.75,0.2,3,5,2,incumbent,-2 instance(s) may be Class 3
EC,55,0.25,0.0,5,5,1,optimal,
EC,55,0.5,0.0,5,5,1,optimal,
EC,55,0.75,0.0,4,5,1,optimal,-1 instance(s) may be Class 3
EC,60,0.25,0.0,5,5,1,optimal,
EC,60,0.5,0.01,5,5,2,incumbent,
EC,60,0.75,0.01,2,5,2,incumbent,-3 instance(s) may be Class 3
EC,65,0.25,0.11,3,5,2,incumbent,-2 instance(s) may be Class 3
EC,65,0.5,0.02,5,5,2,incumbent,
EC,65,0.75,0.0,3,5,1,optimal,-2 instance(s) may be Class 3
EC,70,0.25,0.1,4,5,2,incumbent,-1 instance(s) may be Class 3
EC,70,0.5,0.01,4,5,2,incumbent,-1 instance(s) may be Class 3
EC,70,0.75,0.0,4,5,1,optimal,-1 instance(s) may be Class 3
ED,45,0.25,0.0,5,5,1,optimal,
ED,45,0.5,0.0,5,5,1,optimal,
ED,45,0.75,0.0,5,5,1,optimal,
ED,50,0.25,0.0,5,5,1,optimal,
ED,50,0.5,0.14,3,5,2,incumbent,-2 instance(s) may be Class 3
ED,50,0.75,0.0,5,5,1,optimal,
ED,55,0.25,0.0,5,5,1,optimal,
ED,55,0.5,0.12,2,5,2,incumbent,-3 instance(s) may be Class 3
ED,55,0.75,0.11,3,5,2,incumbent,-2 instance(s) may be Class 3
ED,60,0.25,0.0,5,5,1,optimal,
ED,60,0.5,0.44,4,5,2,incumbent,-1 instance(s) may be Class 3
ED,60,0.75,1.64,1,5,2,incumbent,-4 instance(s) may be Class 3
