instance,family,n,vars,cons,cplex_obj,cplex_bound,cplex_gap_pct,proven_optimal,status,solve_s,alns_z,lag_ub,bound_looseness_pct,primal_subopt_pct,cert_gap_pct
ED_n040_005_a50_014,ED,40,1277,1572,1161.0,1263.0000000000007,8.785529715761575,0,time limit exceeded,180.2,1161.0,1162.0,0.0861,0.0,0.0861
D_n040_005_a50_014,D,40,1277,1572,1351.0,1453.499243570348,7.5869166225270455,0,time limit exceeded,180.2,1351.0,1353.0,0.1478,0.0,0.1478
ED_n040_002_a75_006,ED,40,1240,1532,1026.0,1026.0,0.0,1,integer optimal solution,5.7,1026.0,1029.0,0.2915,0.0,0.2915
ED_n040_004_a50_011,ED,40,1284,1574,1164.0,1164.0,0.0,1,integer optimal solution,8.3,1154.0,1165.0,0.0858,0.8584,0.9442
ED_n045_009_a50_026,ED,45,1543,1863,1487.0,1489.0000000000034,0.1344989912577859,0,time limit exceeded,180.5,1487.0,1488.0,0.0672,0.0,0.0672
D_n045_008_a50_023,D,45,1495,1817,1308.0,1464.0000000000007,11.926605504586297,0,time limit exceeded,180.4,1337.0,1338.0,2.2422,-2.1674,0.0747
ED_n045_007_a50_020,ED,45,1461,1783,914.0,1036.5,13.40262582056746,0,time limit exceeded,180.1,914.0,915.0,0.1093,0.0,0.1093
D_n045_010_a50_029,D,45,1506,1831,1462.0,1567.0000000000007,7.1819425444592,0,time limit exceeded,180.4,1462.0,1464.0,0.1366,0.0,0.1366
D_n045_007_a25_019,D,45,1461,1783,662.0,662.0,0.0,1,integer optimal solution,8.0,662.0,663.0,0.1508,0.0,0.1508
D_n045_009_a25_025,D,45,1543,1863,936.0,938.0000000000011,0.2136752136753123,0,time limit exceeded,180.1,936.0,938.0,0.2132,0.0,0.2132
C_n050_004_a50_011,C,50,1207,1458,2017.0,2017.0,0.0,1,integer optimal solution,6.8,2016.0,2017.0,0.0,0.0496,0.0496
EC_n050_004_a50_011,EC,50,1207,1458,1885.0,1885.0,0.0,1,integer optimal solution,16.4,1885.0,1886.0,0.053,0.0,0.053
EC_n050_001_a75_003,EC,50,1226,1480,1444.0,1454.0000000000002,0.6925207756232366,0,time limit exceeded,180.1,1444.0,1445.0,0.0692,0.0,0.0692
C_n050_003_a50_008,C,50,1220,1470,1361.0,1563.0000000000048,14.842027920645842,0,time limit exceeded,180.2,1362.0,1363.0,0.1467,-0.0734,0.0734
ED_n050_011_a50_032,ED,50,1739,2090,1188.0,1365.0000000000018,14.898989898988798,0,time limit exceeded,182.5,1306.0,1307.0,9.1048,-9.0283,0.0765
C_n050_004_a25_010,C,50,1207,1458,1242.0,1242.0,0.0,1,integer optimal solution,3.9,1242.0,1243.0,0.0805,0.0,0.0805
C_n050_005_a25_013,C,50,1230,1482,1077.0,1081.000000000002,0.37140204271139043,0,time limit exceeded,180.1,1077.0,1078.0,0.0928,0.0,0.0928
ED_n050_012_a50_035,ED,50,1665,2018,1015.0,1184.000000000002,16.65024630541728,0,time limit exceeded,180.2,1014.0,1015.0,0.0,0.0985,0.0985
C_n050_003_a25_007,C,50,1220,1470,994.0,1117.000000000001,12.374245472835868,0,time limit exceeded,180.2,994.0,995.0,0.1005,0.0,0.1005
D_n050_015_a25_043,D,50,1749,2104,959.0,1170.0000000000016,22.002085505733014,0,time limit exceeded,182.3,968.0,969.0,1.032,-0.9288,0.1032
ED_n050_015_a25_043,ED,50,1749,2104,822.0,1222.0,48.66180048661208,0,time limit exceeded,180.4,852.0,853.0,3.6342,-3.517,0.1172
D_n050_012_a25_034,D,50,1665,2018,753.0,753.0,0.0,1,integer optimal solution,78.3,753.0,754.0,0.1326,0.0,0.1326
ED_n050_015_a50_044,ED,50,1749,2104,1391.0,1611.0000000000002,15.815959741192264,0,time limit exceeded,180.6,1482.0,1484.0,6.2668,-6.1321,0.1348
D_n050_014_a25_040,D,50,1757,2108,1136.0,1480.0000000000016,30.281690140842542,0,time limit exceeded,183.1,1136.0,1138.0,0.1757,0.0,0.1757
ED_n050_012_a75_036,ED,50,1665,2018,1378.0,1516.7576772752652,10.069497625199938,0,time limit exceeded,180.4,1378.0,1381.0,0.2172,0.0,0.2172
D_n050_014_a50_041,D,50,1757,2108,1788.0,1966.0,9.955257270692956,0,time limit exceeded,180.0,1809.0,1813.0,1.3789,-1.1583,0.2206
EC_n050_003_a50_008,EC,50,1220,1470,1349.0,1575.0000000000002,16.753150481837174,0,time limit exceeded,180.3,1350.0,1353.0,0.2956,-0.0739,0.2217
D_n050_013_a50_038,D,50,1725,2078,1229.0,1596.0,29.86167615947682,0,time limit exceeded,181.2,1349.0,1352.0,9.0976,-8.8757,0.2219
ED_n050_013_a50_038,ED,50,1725,2078,1230.0,1492.000000000004,21.30081300812868,0,time limit exceeded,180.6,1337.0,1340.0,8.209,-7.9851,0.2239
ED_n050_014_a50_041,ED,50,1757,2108,1787.0,1946.0,8.897593732512092,0,time limit exceeded,180.2,1787.0,1797.0,0.5565,0.0,0.5565
