instance_id,family,n,alpha,final_stop_reason,baseline_cert_gap_percent,runtime_seconds,phases
B_n110_006_a25_016,B,110,0.25,TIERS_EXHAUSTED,1.6023007395234181,902.8,3.0
B_n120_011_a25_031,B,120,0.25,TIERS_EXHAUSTED,1.9002375296912115,905.4,3.0
B_n120_012_a25_034,B,120,0.25,TIERS_EXHAUSTED,0.41797283176593525,903.6,3.0
B_n120_014_a25_040,B,120,0.25,TIERS_EXHAUSTED,1.6039481801357187,902.2,3.0
B_n130_016_a25_046,B,130,0.25,TIERS_EXHAUSTED,2.0043731778425657,903.6,3.0
B_n130_017_a25_049,B,130,0.25,TIERS_EXHAUSTED,0.3592423252775963,904.6,3.0
B_n130_019_a25_055,B,130,0.25,TIERS_EXHAUSTED,1.518309020541828,901.8,3.0
B_n140_021_a25_061,B,140,0.25,TIERS_EXHAUSTED,1.6868236791852325,907.5,3.0
B_n140_023_a25_067,B,140,0.25,TIERS_EXHAUSTED,0.449616503570484,905.1,3.0
B_n140_024_a25_070,B,140,0.25,TIERS_EXHAUSTED,1.1960600375234522,904.7,3.0
B_n150_026_a25_076,B,150,0.25,TIERS_EXHAUSTED,1.8792359827479974,906.3,3.0
B_n150_028_a25_082,B,150,0.25,TIERS_EXHAUSTED,0.43701799485861187,906.2,3.0
C_n070_022_a50_065,C,70,0.5,TIERS_EXHAUSTED,0.3898635477582846,903.8,3.0
C_n070_023_a25_067,C,70,0.25,TIERS_EXHAUSTED,0.3071253071253071,901.6,3.0
D_n055_019_a25_055,D,55,0.25,TIERS_EXHAUSTED,0.8718395815170008,900.9,3.0
D_n060_022_a50_065,D,60,0.5,TIERS_EXHAUSTED,0.7315700619020821,907.0,3.0
D_n065_027_a50_080,D,65,0.5,TIERS_EXHAUSTED,0.727069351230425,1213.7,4.0
D_n065_028_a25_082,D,65,0.25,TIERS_EXHAUSTED,0.3615328994938539,901.1,3.0
D_n065_030_a25_088,D,65,0.25,TIERS_EXHAUSTED,0.5300353356890459,909.4,3.0
D_n065_030_a50_089,D,65,0.5,TIERS_EXHAUSTED,0.5562687205819427,926.9,3.0
D_n070_032_a25_094,D,70,0.25,TIERS_EXHAUSTED,0.5016722408026756,904.4,3.0
D_n070_032_a50_095,D,70,0.5,TIERS_EXHAUSTED,0.5765199161425576,1217.6,4.0
D_n070_032_a75_096,D,70,0.75,TIERS_EXHAUSTED,0.3813155386081983,924.5,3.0
D_n070_035_a25_103,D,70,0.25,TIERS_EXHAUSTED,0.411522633744856,906.6,3.0
D_n070_035_a50_104,D,70,0.5,TIERS_EXHAUSTED,0.7659574468085106,929.4,3.0
D_n075_036_a25_106,D,75,0.25,TIERS_EXHAUSTED,0.36284470246734396,905.7,3.0
D_n075_039_a50_116,D,75,0.5,TIERS_EXHAUSTED,0.35818951481602085,936.3,3.0
D_n075_040_a25_118,D,75,0.25,TIERS_EXHAUSTED,0.43956043956043955,912.2,3.0
D_n075_040_a50_119,D,75,0.5,TIERS_EXHAUSTED,0.661993769470405,940.8,3.0
D_n080_042_a25_124,D,80,0.25,TIERS_EXHAUSTED,0.6506180871828237,910.5,3.0
D_n080_044_a50_131,D,80,0.5,TIERS_EXHAUSTED,0.6150061500615006,949.4,3.0
D_n080_045_a25_133,D,80,0.25,TIERS_EXHAUSTED,0.6806282722513088,1218.2,4.0
D_n080_045_a50_134,D,80,0.5,TIERS_EXHAUSTED,0.8002910149145145,941.5,3.0
EB_n120_014_a25_040,EB,120,0.25,TIERS_EXHAUSTED,0.5171776874769117,1201.8,4.0
EB_n130_017_a50_050,EB,130,0.5,TIERS_EXHAUSTED,0.565482922415743,1209.7,4.0
EB_n130_019_a25_055,EB,130,0.25,TIERS_EXHAUSTED,0.4275026718916993,1201.3,4.0
EB_n140_022_a25_064,EB,140,0.25,TIERS_EXHAUSTED,0.43368268883267075,906.2,3.0
EB_n140_022_a50_065,EB,140,0.5,TIERS_EXHAUSTED,0.5102040816326531,1211.9,4.0
EB_n150_026_a25_076,EB,150,0.25,TIERS_EXHAUSTED,0.39215686274509803,1206.9,4.0
EB_n150_027_a25_079,EB,150,0.25,TIERS_EXHAUSTED,0.7578491519307109,1207.1,4.0
EC_n065_017_a50_050,EC,65,0.5,TIERS_EXHAUSTED,0.4736842105263158,1201.3,4.0
EC_n070_023_a25_067,EC,70,0.25,TIERS_EXHAUSTED,0.3342245989304813,1200.8,4.0
EC_n070_023_a50_068,EC,70,0.5,TIERS_EXHAUSTED,0.4986400725294651,1204.8,4.0
EC_n075_028_a25_082,EC,75,0.25,TIERS_EXHAUSTED,0.3535651149086624,1201.5,4.0
EC_n075_030_a50_089,EC,75,0.5,TIERS_EXHAUSTED,0.36644951140065146,1204.1,4.0
EC_n080_032_a50_095,EC,80,0.5,TIERS_EXHAUSTED,0.4835164835164835,1208.5,4.0
EC_n080_033_a25_097,EC,80,0.25,TIERS_EXHAUSTED,0.33222591362126247,1202.1,4.0
EC_n080_035_a50_104,EC,80,0.5,TIERS_EXHAUSTED,0.4124484439445069,1206.0,4.0
ED_n040_004_a50_011,ED,40,0.5,TIERS_EXHAUSTED,0.9532062391681109,1200.6,4.0
ED_n050_014_a50_041,ED,50,0.5,TIERS_EXHAUSTED,0.5595970900951315,1202.5,4.0
ED_n055_019_a50_056,ED,55,0.5,TIERS_EXHAUSTED,0.5271481286241434,1203.5,4.0
ED_n060_022_a50_065,ED,60,0.5,TIERS_EXHAUSTED,1.6695451928612552,1206.8,4.0
ED_n060_022_a75_066,ED,60,0.75,TIERS_EXHAUSTED,0.51440329218107,1208.8,4.0
ED_n060_024_a25_070,ED,60,0.25,TIERS_EXHAUSTED,0.5586592178770949,1201.4,4.0
ED_n060_025_a50_074,ED,60,0.5,TIERS_EXHAUSTED,0.9930486593843099,1214.5,4.0
ED_n065_027_a50_080,ED,65,0.5,TIERS_EXHAUSTED,1.0875787063537492,1205.6,4.0
ED_n065_027_a75_081,ED,65,0.75,TIERS_EXHAUSTED,0.5070993914807302,1826.9,6.0
ED_n065_028_a25_082,ED,65,0.25,TIERS_EXHAUSTED,0.4340277777777778,1201.7,4.0
ED_n065_029_a25_085,ED,65,0.25,TIERS_EXHAUSTED,0.5956813104988831,1201.6,4.0
ED_n065_030_a25_088,ED,65,0.25,TIERS_EXHAUSTED,0.6765899864682002,1206.1,4.0
ED_n070_032_a50_095,ED,70,0.5,TIERS_EXHAUSTED,0.5356186395286556,1507.5,5.0
ED_n070_032_a75_096,ED,70,0.75,TIERS_EXHAUSTED,0.6240998559769564,1228.8,4.0
ED_n070_035_a25_103,ED,70,0.25,TIERS_EXHAUSTED,0.676132521974307,1207.8,4.0
ED_n075_037_a25_109,ED,75,0.25,TIERS_EXHAUSTED,0.7069913589945012,1203.6,4.0
ED_n075_039_a50_116,ED,75,0.5,TIERS_EXHAUSTED,0.3288391976323578,2136.3,7.0
ED_n075_040_a25_118,ED,75,0.25,TIERS_EXHAUSTED,0.4408060453400504,1211.4,4.0
ED_n075_040_a75_120,ED,75,0.75,TIERS_EXHAUSTED,0.3295496155254486,1246.2,4.0
ED_n080_042_a25_124,ED,80,0.25,TIERS_EXHAUSTED,0.45977011494252873,1209.4,4.0
ED_n080_045_a25_133,ED,80,0.25,TIERS_EXHAUSTED,0.3569303985722784,1511.9,5.0
ED_n080_045_a75_135,ED,80,0.75,TIERS_EXHAUSTED,0.3068530514831231,1252.2,4.0
