instance,family,obj,published_ub,published_gap_pct,lb2_floor,min_ub,new_gap_pct
B_n100_001_a25_001,B,2142.0,2144.0,0.0933,2710,2144.0,0.09328358208955223
B_n100_001_a50_002,B,3025.0,3026.0,0.033,3098,3026.0,0.033046926635822864
B_n100_001_a75_003,B,3119.0,3119.0,0.0,3123,3119.0,0.0
B_n100_002_a25_004,B,2364.0,2366.0,0.0845,2808,2366.0,0.08453085376162299
B_n100_002_a50_005,B,3173.0,3173.0,0.0,3318,3173.0,0.0
B_n100_002_a75_006,B,3329.0,3329.0,0.0,3331,3329.0,0.0
B_n100_003_a25_007,B,2312.0,2313.0,0.0432,2778,2313.0,0.043233895373973194
B_n100_003_a50_008,B,3179.0,3179.0,0.0,3269,3179.0,0.0
B_n100_003_a75_009,B,3277.0,3277.0,0.0,3294,3277.0,0.0
B_n100_004_a25_010,B,2831.0,2839.0,0.2818,3558,2839.0,0.28178936245156744
B_n100_004_a50_011,B,4102.0,4102.0,0.0,4172,4102.0,0.0
B_n100_004_a75_012,B,4174.0,4174.0,0.0,4176,4174.0,0.0
B_n100_005_a25_013,B,2241.0,2242.0,0.0446,2710,2242.0,0.04460303300624443
B_n100_005_a50_014,B,3344.0,3352.0,0.2387,3485,3352.0,0.23866348448687352
B_n100_005_a75_015,B,3512.0,3512.0,0.0,3520,3512.0,0.0
B_n110_006_a25_016,B,2434.0,2473.0,1.577,3305,2473.0,1.5770319450060657
B_n110_006_a50_017,B,3465.0,3475.0,0.2878,3605,3475.0,0.28776978417266186
B_n110_006_a75_018,B,3614.0,3614.0,0.0,3628,3614.0,0.0
B_n110_007_a25_019,B,2510.0,2515.0,0.1988,3207,2515.0,0.19880715705765406
B_n110_007_a50_020,B,3603.0,3605.0,0.0555,3769,3605.0,0.055478502080443824
B_n110_007_a75_021,B,3780.0,3780.0,0.0,3782,3780.0,0.0
B_n110_008_a25_022,B,2531.0,2535.0,0.1578,3128,2535.0,0.15779092702169625
B_n110_008_a50_023,B,3700.0,3700.0,0.0,3791,3700.0,0.0
B_n110_008_a75_024,B,3808.0,3808.0,0.0,3826,3808.0,0.0
B_n110_009_a25_025,B,3221.0,3226.0,0.155,4059,3226.0,0.15499070055796654
B_n110_009_a50_026,B,4524.0,4526.0,0.0442,4694,4526.0,0.04418912947414936
B_n110_009_a75_027,B,4696.0,4696.0,0.0,4699,4696.0,0.0
B_n110_010_a25_028,B,2549.0,2553.0,0.1567,3029,2553.0,0.15667841754798276
B_n110_010_a50_029,B,3674.0,3684.0,0.2714,3826,3684.0,0.2714440825190011
B_n110_010_a75_030,B,3853.0,3853.0,0.0,3863,3853.0,0.0
B_n120_011_a25_031,B,2526.0,2574.0,1.8648,3527,2574.0,1.8648018648018647
B_n120_011_a50_032,B,3899.0,3909.0,0.2558,4055,3909.0,0.25581990278843697
B_n120_011_a75_033,B,4074.0,4074.0,0.0,4088,4074.0,0.0
B_n120_012_a25_034,B,2871.0,2883.0,0.4162,3841,2883.0,0.41623309053069724
B_n120_012_a50_035,B,4182.0,4182.0,0.0,4223,4182.0,0.0
B_n120_012_a75_036,B,4222.0,4222.0,0.0,4224,4222.0,0.0
B_n120_013_a25_037,B,2942.0,2949.0,0.2374,3670,2949.0,0.23736859952526282
B_n120_013_a50_038,B,4064.0,4064.0,0.0,4145,4064.0,0.0
B_n120_013_a75_039,B,4147.0,4147.0,0.0,4170,4147.0,0.0
B_n120_014_a25_040,B,3242.0,3294.0,1.5786,4280,3294.0,1.5786278081360048
B_n120_014_a50_041,B,4855.0,4855.0,0.0,5036,4855.0,0.0
B_n120_014_a75_042,B,5038.0,5038.0,0.0,5041,5038.0,0.0
B_n120_015_a25_043,B,2579.0,2583.0,0.1549,3149,2583.0,0.15485869144405728
B_n120_015_a50_044,B,4004.0,4004.0,0.0,4048,4004.0,0.0
B_n120_015_a75_045,B,4282.0,4282.0,0.0,4304,4282.0,0.0
B_n130_016_a25_046,B,2744.0,2799.0,1.965,3766,2799.0,1.9649874955341193
B_n130_016_a50_047,B,4156.0,4163.0,0.1681,4317,4163.0,0.16814797021378813
B_n130_016_a75_048,B,4333.0,4334.0,0.0231,4350,4334.0,0.023073373327180433
B_n130_017_a25_049,B,3062.0,3073.0,0.358,4045,3073.0,0.35795639440286364
B_n130_017_a50_050,B,4594.0,4595.0,0.0218,4647,4595.0,0.02176278563656148
B_n130_017_a75_051,B,4646.0,4646.0,0.0,4648,4646.0,0.0
B_n130_018_a25_052,B,3192.0,3197.0,0.1564,3932,3197.0,0.15639662183296843
B_n130_018_a50_053,B,4497.0,4497.0,0.0,4572,4497.0,0.0
B_n130_018_a75_054,B,4578.0,4578.0,0.0,4594,4578.0,0.0
B_n130_019_a25_055,B,3359.0,3410.0,1.4956,4387,3410.0,1.4956011730205279
B_n130_019_a50_056,B,5093.0,5093.0,0.0,5296,5093.0,0.0
B_n130_019_a75_057,B,5307.0,5307.0,0.0,5312,5307.0,0.0
B_n130_020_a25_058,B,2680.0,2684.0,0.149,3451,2684.0,0.14903129657228018
B_n130_020_a50_059,B,4306.0,4306.0,0.0,4372,4306.0,0.0
B_n130_020_a75_060,B,4596.0,4597.0,0.0218,4629,4597.0,0.021753317380900587
B_n140_021_a25_061,B,3142.0,3195.0,1.6588,4254,3195.0,1.6588419405320816
B_n140_021_a50_062,B,4654.0,4660.0,0.1288,4837,4660.0,0.12875536480686695
B_n140_021_a75_063,B,4850.0,4853.0,0.0618,4873,4853.0,0.0618174325159695
B_n140_022_a25_064,B,3392.0,3395.0,0.0884,4425,3395.0,0.08836524300441827
B_n140_022_a50_065,B,5080.0,5081.0,0.0197,5178,5081.0,0.0196811651249754
B_n140_022_a75_066,B,5178.0,5178.0,0.0,5180,5178.0,0.0
B_n140_023_a25_067,B,3781.0,3798.0,0.4476,4456,3798.0,0.44760400210637175
B_n140_023_a50_068,B,4942.0,4949.0,0.1414,5102,4949.0,0.14144271570014144
B_n140_023_a75_069,B,5095.0,5095.0,0.0,5117,5095.0,0.0
B_n140_024_a25_070,B,4264.0,4315.0,1.1819,5103,4315.0,1.1819235225955969
B_n140_024_a50_071,B,5577.0,5578.0,0.0179,5661,5578.0,0.017927572606669058
B_n140_024_a75_072,B,5663.0,5663.0,0.0,5666,5663.0,0.0
B_n140_025_a25_073,B,3331.0,3335.0,0.1199,3867,3335.0,0.11994002998500748
B_n140_025_a50_074,B,4639.0,4642.0,0.0646,4818,4642.0,0.06462731581214994
B_n140_025_a75_075,B,4941.0,4941.0,0.0,4954,4941.0,0.0
B_n150_026_a25_076,B,3246.0,3307.0,1.8446,4483,3307.0,1.8445721197459932
B_n150_026_a50_077,B,4973.0,4982.0,0.1807,5179,4982.0,0.1806503412284223
B_n150_026_a75_078,B,5191.0,5194.0,0.0578,5216,5194.0,0.05775895263765884
B_n150_027_a25_079,B,3500.0,3510.0,0.2849,4646,3510.0,0.2849002849002849
B_n150_027_a50_080,B,5275.0,5288.0,0.2458,5421,5288.0,0.24583963691376703
B_n150_027_a75_081,B,5420.0,5421.0,0.0184,5424,5421.0,0.018446781036709093
B_n150_028_a25_082,B,3890.0,3907.0,0.4351,4586,3907.0,0.43511645764013307
B_n150_028_a50_083,B,5073.0,5086.0,0.2556,5336,5086.0,0.2556036177742823
B_n150_028_a75_084,B,5330.0,5330.0,0.0,5352,5330.0,0.0
B_n150_029_a25_085,B,4595.0,4607.0,0.2605,5536,4607.0,0.2604731929672238
B_n150_029_a50_086,B,6102.0,6102.0,0.0,6184,6102.0,0.0
B_n150_029_a75_087,B,6185.0,6185.0,0.0,6189,6185.0,0.0
B_n150_030_a25_088,B,3550.0,3553.0,0.0844,4195,3553.0,0.08443568815085843
B_n150_030_a50_089,B,4973.0,4980.0,0.1406,5159,4980.0,0.14056224899598393
B_n150_030_a75_090,B,5281.0,5286.0,0.0946,5297,5286.0,0.09458948164964057
C_n050_001_a25_001,C,735.0,735.0,0.0,877,735.0,0.0
C_n050_001_a50_002,C,1236.0,1236.0,0.0,1466,1236.0,0.0
C_n050_001_a75_003,C,1445.0,1445.0,0.0,1480,1445.0,0.0
C_n050_002_a25_004,C,783.0,783.0,0.0,1147,783.0,0.0
C_n050_002_a50_005,C,1257.0,1257.0,0.0,1495,1257.0,0.0
C_n050_002_a75_006,C,1495.0,1495.0,0.0,1498,1495.0,0.0
