instance_id,family,n,budget_level,seed_set,best_primal_profit,lagrangian_upper_bound_raw,lagrangian_upper_bound_reported,certificate_gap_percent,stop_reason,runtime_seconds,proven_optimal_by_lagrangian_match,matches_bpc_optimum,improves_published_bks,published_bks
B_n100_001_a25_001,B,100,0.25,42;123;456;789;1337;2024,2142.0,2144.0,2144.0,0.0934,GAP<0.3%,300.6,False,True,False,2142.0
B_n100_001_a50_002,B,100,0.5,42;123;456;789;1337;2024,3025.0,3026.0,3026.0,0.0331,GAP<0.3%,301.2,False,True,False,3025.0
B_n100_001_a75_003,B,100,0.75,42;123;456;789;1337;2024,3119.0,3119.0,3119.0,0.0,UB,0.4,True,True,False,3119.0
B_n100_002_a25_004,B,100,0.25,42;123;456;789;1337;2024,2364.0,2366.0,2366.0,0.0846,GAP<0.3%,600.8,False,True,False,2364.0
B_n100_002_a50_005,B,100,0.5,42;123;456;789;1337;2024,3173.0,3173.0,3173.0,0.0,GAP<0.3%,601.3,True,True,False,3173.0
B_n100_002_a75_006,B,100,0.75,42;123;456;789;1337;2024,3329.0,3329.0,3329.0,0.0,UB,0.2,True,True,False,3329.0
B_n100_003_a25_007,B,100,0.25,42;123;456;789;1337;2024,2312.0,2313.0,2313.0,0.0433,GAP<0.3%,600.8,False,True,False,2312.0
B_n100_003_a50_008,B,100,0.5,42;123;456;789;1337;2024,3179.0,3179.0,3179.0,0.0,UB,0.5,True,True,False,3179.0
B_n100_003_a75_009,B,100,0.75,42;123;456;789;1337;2024,3277.0,3277.0,3277.0,0.0,UB,0.7,True,True,False,3277.0
B_n100_004_a25_010,B,100,0.25,42;123;456;789;1337;2024,2831.0,2839.0,2839.0,0.2826,GAP<0.3%,600.9,False,True,False,2831.0
B_n100_004_a50_011,B,100,0.5,42;123;456;789;1337;2024,4102.0,4102.0,4102.0,0.0,UB,0.7,True,True,False,4102.0
B_n100_004_a75_012,B,100,0.75,42;123;456;789;1337;2024,4174.0,4174.0,4174.0,0.0,UB,0.2,True,True,False,4174.0
B_n100_005_a25_013,B,100,0.25,42;123;456;789;1337;2024,2241.0,2242.0,2242.0,0.0446,GAP<0.3%,600.6,False,True,False,2241.0
B_n100_005_a50_014,B,100,0.5,42;123;456;789;1337;2024,3344.0,3352.0,3352.0,0.2392,GAP<0.3%,301.8,False,True,False,3344.0
B_n100_005_a75_015,B,100,0.75,42;123;456;789;1337;2024,3512.0,3512.0,3512.0,0.0,UB,0.5,True,True,False,3512.0
B_n110_006_a25_016,B,110,0.25,42;123;456;789;1337;2024,2434.0,2473.0,2473.0,1.6023,TIERS_EXHAUSTED,902.8,False,True,False,2434.0
B_n110_006_a50_017,B,110,0.5,42;123;456;789;1337;2024,3465.0,3475.0,3475.0,0.2886,GAP<0.3%,603.2,False,True,False,3465.0
B_n110_006_a75_018,B,110,0.75,42;123;456;789;1337;2024,3614.0,3614.0,3614.0,0.0,UB,0.7,True,True,False,3614.0
B_n110_007_a25_019,B,110,0.25,42;123;456;789;1337;2024,2510.0,2515.0,2515.0,0.1992,GAP<0.3%,901.3,False,True,False,2510.0
B_n110_007_a50_020,B,110,0.5,42;123;456;789;1337;2024,3603.0,3605.0,3605.0,0.0555,GAP<0.3%,601.9,False,True,False,3603.0
B_n110_007_a75_021,B,110,0.75,42;123;456;789;1337;2024,3780.0,3780.0,3780.0,0.0,UB,0.3,True,True,False,3780.0
B_n110_008_a25_022,B,110,0.25,42;123;456;789;1337;2024,2531.0,2535.0,2535.0,0.158,GAP<0.3%,601.0,False,True,False,2531.0
B_n110_008_a50_023,B,110,0.5,42;123;456;789;1337;2024,3700.0,3700.0,3700.0,0.0,UB,0.7,True,True,False,3700.0
B_n110_008_a75_024,B,110,0.75,42;123;456;789;1337;2024,3808.0,3808.0,3808.0,0.0,UB,0.8,True,True,False,3808.0
B_n110_009_a25_025,B,110,0.25,42;123;456;789;1337;2024,3221.0,3226.0,3226.0,0.1552,GAP<0.3%,600.8,False,True,False,3221.0
B_n110_009_a50_026,B,110,0.5,42;123;456;789;1337;2024,4524.0,4526.0,4526.0,0.0442,GAP<0.3%,601.9,False,True,False,4524.0
B_n110_009_a75_027,B,110,0.75,42;123;456;789;1337;2024,4696.0,4696.0,4696.0,0.0,UB,0.5,True,True,False,4696.0
B_n110_010_a25_028,B,110,0.25,42;123;456;789;1337;2024,2549.0,2553.0,2553.0,0.1569,GAP<0.3%,300.5,False,True,False,2549.0
B_n110_010_a50_029,B,110,0.5,42;123;456;789;1337;2024,3674.0,3684.0,3684.0,0.2722,GAP<0.3%,301.7,False,True,False,3674.0
B_n110_010_a75_030,B,110,0.75,42;123;456;789;1337;2024,3853.0,3853.0,3853.0,0.0,UB,0.8,True,True,False,3853.0
B_n120_011_a25_031,B,120,0.25,42;123;456;789;1337;2024,2526.0,2574.0,2574.0,1.9002,TIERS_EXHAUSTED,905.4,False,False,False,2526.0
B_n120_011_a50_032,B,120,0.5,42;123;456;789;1337;2024,3899.0,3909.0,3909.0,0.2565,GAP<0.3%,603.1,False,True,False,3899.0
B_n120_011_a75_033,B,120,0.75,42;123;456;789;1337;2024,4074.0,4074.0,4074.0,0.0,UB,0.7,True,True,False,4074.0
B_n120_012_a25_034,B,120,0.25,42;123;456;789;1337;2024,2871.0,2883.0,2883.0,0.418,TIERS_EXHAUSTED,903.6,False,False,False,2871.0
B_n120_012_a50_035,B,120,0.5,42;123;456;789;1337;2024,4182.0,4182.0,4182.0,0.0,UB,1.1,True,True,False,4182.0
B_n120_012_a75_036,B,120,0.75,42;123;456;789;1337;2024,4222.0,4222.0,4222.0,0.0,UB,0.2,True,True,False,4222.0
B_n120_013_a25_037,B,120,0.25,42;123;456;789;1337;2024,2942.0,2949.0,2949.0,0.2379,GAP<0.3%,601.5,False,False,False,2942.0
B_n120_013_a50_038,B,120,0.5,42;123;456;789;1337;2024,4064.0,4064.0,4064.0,0.0,GAP<0.3%,301.0,True,True,False,4064.0
B_n120_013_a75_039,B,120,0.75,42;123;456;789;1337;2024,4147.0,4147.0,4147.0,0.0,UB,0.6,True,True,False,4147.0
B_n120_014_a25_040,B,120,0.25,42;123;456;789;1337;2024,3242.0,3294.0,3294.0,1.6039,TIERS_EXHAUSTED,902.2,False,False,False,3242.0
B_n120_014_a50_041,B,120,0.5,42;123;456;789;1337;2024,4855.0,4855.0,4855.0,0.0,UB,1.4,True,True,False,4855.0
B_n120_014_a75_042,B,120,0.75,42;123;456;789;1337;2024,5038.0,5038.0,5038.0,0.0,UB,0.7,True,True,False,5038.0
B_n120_015_a25_043,B,120,0.25,42;123;456;789;1337;2024,2579.0,2583.0,2583.0,0.1551,GAP<0.3%,601.3,False,False,False,2579.0
B_n120_015_a50_044,B,120,0.5,42;123;456;789;1337;2024,4004.0,4004.0,4004.0,0.0,UB,0.9,True,True,False,4004.0
B_n120_015_a75_045,B,120,0.75,42;123;456;789;1337;2024,4282.0,4282.0,4282.0,0.0,UB,1.3,True,True,False,4282.0
B_n130_016_a25_046,B,130,0.25,42;123;456;789;1337;2024,2744.0,2799.0,2799.0,2.0044,TIERS_EXHAUSTED,903.6,False,False,False,2744.0
B_n130_016_a50_047,B,130,0.5,42;123;456;789;1337;2024,4156.0,4163.0,4163.0,0.1684,GAP<0.3%,606.1,False,False,False,4157.0
B_n130_016_a75_048,B,130,0.75,42;123;456;789;1337;2024,4333.0,4334.0,4334.0,0.0231,GAP<0.3%,304.8,False,False,True,4216.0
B_n130_017_a25_049,B,130,0.25,42;123;456;789;1337;2024,3062.0,3073.0,3073.0,0.3592,TIERS_EXHAUSTED,904.6,False,False,False,3062.0
B_n130_017_a50_050,B,130,0.5,42;123;456;789;1337;2024,4594.0,4595.0,4595.0,0.0218,GAP<0.3%,303.8,False,False,False,4594.0
B_n130_017_a75_051,B,130,0.75,42;123;456;789;1337;2024,4646.0,4646.0,4646.0,0.0,UB,0.2,True,False,True,4635.0
B_n130_018_a25_052,B,130,0.25,42;123;456;789;1337;2024,3192.0,3197.0,3197.0,0.1566,GAP<0.3%,602.1,False,False,False,3192.0
B_n130_018_a50_053,B,130,0.5,42;123;456;789;1337;2024,4497.0,4497.0,4497.0,0.0,GAP<0.3%,305.9,True,False,False,4497.0
B_n130_018_a75_054,B,130,0.75,42;123;456;789;1337;2024,4578.0,4578.0,4578.0,0.0,GAP<0.3%,303.9,True,False,False,4578.0
B_n130_019_a25_055,B,130,0.25,42;123;456;789;1337;2024,3359.0,3410.0,3410.0,1.5183,TIERS_EXHAUSTED,901.8,False,False,False,3359.0
B_n130_019_a50_056,B,130,0.5,42;123;456;789;1337;2024,5093.0,5093.0,5093.0,0.0,GAP<0.3%,302.9,True,False,False,5093.0
B_n130_019_a75_057,B,130,0.75,42;123;456;789;1337;2024,5307.0,5307.0,5307.0,0.0,GAP<0.3%,301.7,True,False,False,5307.0
B_n130_020_a25_058,B,130,0.25,42;123;456;789;1337;2024,2680.0,2684.0,2684.0,0.1493,GAP<0.3%,902.0,False,False,False,2680.0
B_n130_020_a50_059,B,130,0.5,42;123;456;789;1337;2024,4306.0,4306.0,4306.0,0.0,GAP<0.3%,302.2,True,False,True,4294.0
B_n130_020_a75_060,B,130,0.75,42;123;456;789;1337;2024,4596.0,4597.0,4597.0,0.0218,GAP<0.3%,302.8,False,False,False,4597.0
B_n140_021_a25_061,B,140,0.25,42;123;456;789;1337;2024,3142.0,3195.0,3195.0,1.6868,TIERS_EXHAUSTED,907.5,False,False,False,3142.0
B_n140_021_a50_062,B,140,0.5,42;123;456;789;1337;2024,4654.0,4660.0,4660.0,0.1289,GAP<0.3%,606.6,False,False,False,4655.0
B_n140_021_a75_063,B,140,0.75,42;123;456;789;1337;2024,4850.0,4853.0,4853.0,0.0619,GAP<0.3%,308.5,False,False,False,4852.0
B_n140_022_a25_064,B,140,0.25,42;123;456;789;1337;2024,3392.0,3395.0,3395.0,0.0884,GAP<0.3%,604.8,False,False,False,3392.0
B_n140_022_a50_065,B,140,0.5,42;123;456;789;1337;2024,5080.0,5081.0,5081.0,0.0197,GAP<0.3%,304.9,False,False,True,5034.0
B_n140_022_a75_066,B,140,0.75,42;123;456;789;1337;2024,5178.0,5178.0,5178.0,0.0,UB,0.2,True,False,False,5178.0
B_n140_023_a25_067,B,140,0.25,42;123;456;789;1337;2024,3781.0,3798.0,3798.0,0.4496,TIERS_EXHAUSTED,905.1,False,False,False,3781.0
B_n140_023_a50_068,B,140,0.5,42;123;456;789;1337;2024,4942.0,4949.0,4949.0,0.1416,GAP<0.3%,608.2,False,False,True,4815.0
B_n140_023_a75_069,B,140,0.75,42;123;456;789;1337;2024,5095.0,5095.0,5095.0,0.0,GAP<0.3%,303.0,True,False,False,5095.0
B_n140_024_a25_070,B,140,0.25,42;123;456;789;1337;2024,4264.0,4315.0,4315.0,1.1961,TIERS_EXHAUSTED,904.7,False,False,False,4264.0
B_n140_024_a50_071,B,140,0.5,42;123;456;789;1337;2024,5577.0,5578.0,5578.0,0.0179,GAP<0.3%,304.0,False,False,False,5578.0
B_n140_024_a75_072,B,140,0.75,42;123;456;789;1337;2024,5663.0,5663.0,5663.0,0.0,UB,0.6,True,False,False,5663.0
B_n140_025_a25_073,B,140,0.25,42;123;456;789;1337;2024,3331.0,3335.0,3335.0,0.1201,GAP<0.3%,601.5,False,False,False,3331.0
B_n140_025_a50_074,B,140,0.5,42;123;456;789;1337;2024,4639.0,4642.0,4642.0,0.0647,GAP<0.3%,905.0,False,False,False,4639.0
B_n140_025_a75_075,B,140,0.75,42;123;456;789;1337;2024,4941.0,4941.0,4941.0,0.0,GAP<0.3%,307.4,True,False,False,4941.0
B_n150_026_a25_076,B,150,0.25,42;123;456;789;1337;2024,3246.0,3307.0,3307.0,1.8792,TIERS_EXHAUSTED,906.3,False,False,False,
B_n150_026_a50_077,B,150,0.5,42;123;456;789;1337;2024,4973.0,4982.0,4982.0,0.181,GAP<0.3%,908.2,False,False,False,
B_n150_026_a75_078,B,150,0.75,42;123;456;789;1337;2024,5191.0,5194.0,5194.0,0.0578,GAP<0.3%,307.1,False,False,False,
B_n150_027_a25_079,B,150,0.25,42;123;456;789;1337;2024,3500.0,3510.0,3510.0,0.2857,GAP<0.3%,905.3,False,False,False,
B_n150_027_a50_080,B,150,0.5,42;123;456;789;1337;2024,5275.0,5288.0,5288.0,0.2464,GAP<0.3%,605.6,False,False,False,
B_n150_027_a75_081,B,150,0.75,42;123;456;789;1337;2024,5420.0,5421.0,5421.0,0.0185,GAP<0.3%,302.4,False,False,False,
B_n150_028_a25_082,B,150,0.25,42;123;456;789;1337;2024,3890.0,3907.0,3907.0,0.437,TIERS_EXHAUSTED,906.2,False,False,False,
B_n150_028_a50_083,B,150,0.5,42;123;456;789;1337;2024,5073.0,5086.0,5086.0,0.2563,GAP<0.3%,605.7,False,False,False,
B_n150_028_a75_084,B,150,0.75,42;123;456;789;1337;2024,5330.0,5330.0,5330.0,0.0,GAP<0.3%,303.1,True,False,False,
B_n150_029_a25_085,B,150,0.25,42;123;456;789;1337;2024,4595.0,4607.0,4607.0,0.2612,GAP<0.3%,607.2,False,False,False,
B_n150_029_a50_086,B,150,0.5,42;123;456;789;1337;2024,6102.0,6102.0,6102.0,0.0,GAP<0.3%,305.6,True,False,False,
B_n150_029_a75_087,B,150,0.75,42;123;456;789;1337;2024,6185.0,6185.0,6185.0,0.0,GAP<0.3%,302.3,True,False,False,
B_n150_030_a25_088,B,150,0.25,42;123;456;789;1337;2024,3550.0,3553.0,3553.0,0.0845,GAP<0.3%,602.4,False,False,False,
B_n150_030_a50_089,B,150,0.5,42;123;456;789;1337;2024,4973.0,4980.0,4980.0,0.1408,GAP<0.3%,605.9,False,False,False,
B_n150_030_a75_090,B,150,0.75,42;123;456;789;1337;2024,5281.0,5286.0,5286.0,0.0947,GAP<0.3%,304.0,False,False,False,
C_n050_001_a25_001,C,50,0.25,42;123;456;789;1337;2024,735.0,735.0,735.0,0.0,GAP<0.3%,299.9,True,False,False,735.0
C_n050_001_a50_002,C,50,0.5,42;123;456;789;1337;2024,1236.0,1236.0,1236.0,0.0,UB,0.1,True,False,False,1236.0
C_n050_001_a75_003,C,50,0.75,42;123;456;789;1337;2024,1445.0,1445.0,1445.0,0.0,GAP<0.3%,300.7,True,False,False,1445.0
C_n050_002_a25_004,C,50,0.25,42;123;456;789;1337;2024,783.0,783.0,783.0,0.0,GAP<0.3%,300.1,True,False,False,783.0
C_n050_002_a50_005,C,50,0.5,42;123;456;789;1337;2024,1257.0,1257.0,1257.0,0.0,UB,0.2,True,False,False,1257.0
C_n050_002_a75_006,C,50,0.75,42;123;456;789;1337;2024,1495.0,1495.0,1495.0,0.0,UB,0.3,True,False,False,1495.0
C_n050_003_a25_007,C,50,0.25,42;123;456;789;1337;2024,994.0,995.0,995.0,0.1006,GAP<0.3%,300.1,False,False,False,994.0
C_n050_003_a50_008,C,50,0.5,42;123;456;789;1337;2024,1362.0,1363.0,1363.0,0.0734,GAP<0.3%,601.1,False,False,False,1362.0
C_n050_003_a75_009,C,50,0.75,42;123;456;789;1337;2024,1595.0,1595.0,1595.0,0.0,UB,0.6,True,False,False,1595.0
C_n050_004_a25_010,C,50,0.25,42;123;456;789;1337;2024,1242.0,1243.0,1243.0,0.0805,GAP<0.3%,299.4,False,False,False,1242.0
C_n050_004_a50_011,C,50,0.5,42;123;456;789;1337;2024,2016.0,2017.0,2017.0,0.0496,GAP<0.3%,300.5,False,False,False,2016.0
C_n050_004_a75_012,C,50,0.75,42;123;456;789;1337;2024,2062.0,2062.0,2062.0,0.0,UB,0.5,True,False,False,2062.0
C_n050_005_a25_013,C,50,0.25,42;123;456;789;1337;2024,1077.0,1078.0,1078.0,0.0929,GAP<0.3%,300.2,False,False,False,1077.0
C_n050_005_a50_014,C,50,0.5,42;123;456;789;1337;2024,1684.0,1684.0,1684.0,0.0,UB,0.4,True,False,False,1684.0
C_n050_005_a75_015,C,50,0.75,42;123;456;789;1337;2024,1737.0,1737.0,1737.0,0.0,UB,0.6,True,False,False,1737.0
C_n055_006_a25_016,C,55,0.25,42;123;456;789;1337;2024,975.0,975.0,975.0,0.0,UB,0.0,True,True,False,975.0
C_n055_006_a50_017,C,55,0.5,42;123;456;789;1337;2024,1540.0,1540.0,1540.0,0.0,UB,0.4,True,True,False,1540.0
C_n055_006_a75_018,C,55,0.75,42;123;456;789;1337;2024,1589.0,1589.0,1589.0,0.0,UB,0.8,True,True,False,1589.0
