instance,family,n,alpha,group_id,bks,alns_obj,alns_runtime_s,lb1_ub,lb1_cert_pct,lb1_ub_runtime_s,lb2_ub,lb2_cert_pct,lb2_runtime_s,best_ub,final_cert_gap_pct,alns_lag_proven_optimal,alns_lag_cert_tier,bks_gap_pct,alns_status,bpc_oa_gap_pct,bpc_n_solved,bpc_group_count,bpc_class,bpc_class_label,bpc_note
A_n425_056_a25_166,A,425,0.25,056,12047,12047,1125.0,12047.0,0.0,350.5,NA,NA,NA,12047.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_056_a50_167,A,425,0.5,056,15049,15049,630.6,15049.0,0.0,370.8,NA,NA,NA,15049.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_056_a75_168,A,425,0.75,056,15210,15210,1.4,15210.0,0.0,325.0,NA,NA,NA,15210.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_057_a25_169,A,425,0.25,057,12897,12897,6665.5,12897.0,0.0,503.2,NA,NA,NA,12897.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_057_a50_170,A,425,0.5,057,14855,14855,1901.5,14855.0,0.0,510.5,NA,NA,NA,14855.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_057_a75_171,A,425,0.75,057,14997,14997,221.1,14997.0,0.0,502.2,NA,NA,NA,14997.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_058_a25_172,A,425,0.25,058,13999,13999,5516.6,13999.0,0.0,514.0,NA,NA,NA,13999.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_058_a50_173,A,425,0.5,058,16010,16009,5441.7,16010.0,0.01,1133.0,NA,NA,NA,16010.0,0.006246,False,<0.5%,-0.01%,GAP,0.0,5,5,1,optimal,
A_n425_058_a75_174,A,425,0.75,058,16098,16098,1.4,16098.0,0.0,607.9,NA,NA,NA,16098.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_059_a25_175,A,425,0.25,059,13213,13212,5420.4,13213.0,0.01,544.1,NA,NA,NA,13213.0,0.007568,False,<0.5%,-0.01%,GAP,0.0,5,5,1,optimal,
A_n425_059_a50_176,A,425,0.5,059,16550,16550,4174.2,16550.0,0.0,254.8,NA,NA,NA,16550.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_059_a75_177,A,425,0.75,059,16946,16946,60.5,16946.0,0.0,306.9,NA,NA,NA,16946.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_060_a25_178,A,425,0.25,060,13381,13381,1348.7,13381.0,0.0,502.8,NA,NA,NA,13381.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_060_a50_179,A,425,0.5,060,15846,15846,2160.6,15846.0,0.0,501.0,NA,NA,NA,15846.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n425_060_a75_180,A,425,0.75,060,15986,15986,27.5,15986.0,0.0,500.2,NA,NA,NA,15986.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_061_a25_181,A,450,0.25,061,12348,12348,3715.1,12348.0,0.0,346.3,NA,NA,NA,12348.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_061_a50_182,A,450,0.5,061,15595,15595,1402.6,15595.0,0.0,365.3,NA,NA,NA,15595.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_061_a75_183,A,450,0.75,061,15887,15887,1.9,15887.0,0.0,245.5,NA,NA,NA,15887.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_062_a25_184,A,450,0.25,062,13554,13552,4748.9,13554.0,0.01,1007.4,NA,NA,NA,13554.0,0.014756,False,<0.5%,-0.01%,GAP,0.0,5,5,1,optimal,
A_n450_062_a50_185,A,450,0.5,062,15441,15441,750.3,15441.0,0.0,507.0,NA,NA,NA,15441.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_062_a75_186,A,450,0.75,062,15581,15581,115.1,15581.0,0.0,503.3,NA,NA,NA,15581.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_063_a25_187,A,450,0.25,063,14829,14828,5946.7,14829.0,0.01,1164.0,NA,NA,NA,14829.0,0.006744,False,<0.5%,-0.01%,GAP,0.0,5,5,1,optimal,
A_n450_063_a50_188,A,450,0.5,063,16622,16622,2482.2,16622.0,0.0,549.3,NA,NA,NA,16622.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_063_a75_189,A,450,0.75,063,16716,16716,0.9,16716.0,0.0,549.5,NA,NA,NA,16716.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_064_a25_190,A,450,0.25,064,14214,14204,4119.1,14214.0,0.07,535.7,NA,NA,NA,14214.0,0.070353,False,<0.5%,-0.07%,GAP,0.0,5,5,1,optimal,
A_n450_064_a50_191,A,450,0.5,064,17486,17486,1342.3,17486.0,0.0,258.4,NA,NA,NA,17486.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_064_a75_192,A,450,0.75,064,17827,17827,1.0,17827.0,0.0,257.9,NA,NA,NA,17827.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_065_a25_193,A,450,0.25,065,14057,14057,814.9,14057.0,0.0,510.3,NA,NA,NA,14057.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_065_a50_194,A,450,0.5,065,16906,16906,1121.3,16906.0,0.0,504.9,NA,NA,NA,16906.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n450_065_a75_195,A,450,0.75,065,17161,17161,20.0,17161.0,0.0,504.1,NA,NA,NA,17161.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_066_a25_196,A,475,0.25,066,12925,12925,2256.1,12925.0,0.0,307.2,NA,NA,NA,12925.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_066_a50_197,A,475,0.5,066,16545,16545,1211.3,16545.0,0.0,318.6,NA,NA,NA,16545.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_066_a75_198,A,475,0.75,066,16982,16982,696.2,16982.0,0.0,322.0,NA,NA,NA,16982.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_067_a25_199,A,475,0.25,067,14318,14316,4197.2,14318.0,0.01,1004.3,NA,NA,NA,14318.0,0.013968,False,<0.5%,-0.01%,GAP,0.0,5,5,1,optimal,
A_n475_067_a50_200,A,475,0.5,067,16582,16582,875.0,16582.0,0.0,504.4,NA,NA,NA,16582.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_067_a75_201,A,475,0.75,067,16749,16749,308.9,16749.0,0.0,512.2,NA,NA,NA,16749.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_068_a25_202,A,475,0.25,068,15602,15592,4686.6,15602.0,0.06,1156.8,NA,NA,NA,15602.0,0.064094,False,<0.5%,-0.06%,GAP,0.0,5,5,1,optimal,
A_n475_068_a50_203,A,475,0.5,068,17696,17696,1294.6,17696.0,0.0,555.9,NA,NA,NA,17696.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_068_a75_204,A,475,0.75,068,17803,17803,1.0,17803.0,0.0,553.3,NA,NA,NA,17803.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_069_a25_205,A,475,0.25,069,14575,14565,4253.7,14575.0,0.07,729.5,NA,NA,NA,14575.0,0.068611,False,<0.5%,-0.07%,GAP,0.0,5,5,1,optimal,
A_n475_069_a50_206,A,475,0.5,069,18283,18283,759.0,18283.0,0.0,440.6,NA,NA,NA,18283.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_069_a75_207,A,475,0.75,069,18651,18651,1.0,18651.0,0.0,441.8,NA,NA,NA,18651.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_070_a25_208,A,475,0.25,070,14964,14964,1065.1,14964.0,0.0,500.4,NA,NA,NA,14964.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_070_a50_209,A,475,0.5,070,18072,18072,556.0,18072.0,0.0,502.0,NA,NA,NA,18072.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
A_n475_070_a75_210,A,475,0.75,070,18337,18337,26.6,18337.0,0.0,503.3,NA,NA,NA,18337.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
