instance,family,z,published_ub,fresh_raw,fresh_ub,verdict,iterations,converged,secs,error
B_n130_020_a50_059,B,4306.0,4306.0,4306.000000001446,4306,CONFIRMED,3000,0,64.9,
B_n130_019_a50_056,B,5093.0,5093.0,5093.507923761573,5093,CONFIRMED,3000,0,88.4,
B_n130_019_a75_057,B,5307.0,5307.0,5307.000000045772,5307,CONFIRMED,3000,0,93.8,
B_n140_024_a75_072,B,5663.0,5663.0,5662.999999999998,5663,CONFIRMED,10,1,0.5,
B_n130_018_a50_053,B,4497.0,4497.0,4497.000000009382,4497,CONFIRMED,3000,0,123.4,
B_n130_018_a75_054,B,4578.0,4578.0,4578.000000057642,4578,CONFIRMED,3000,0,139.1,
B_n140_025_a75_075,B,4941.0,4941.0,4941.000000008207,4941,CONFIRMED,3000,0,129.5,
B_n140_023_a75_069,B,5095.0,5095.0,5095.000000002293,5095,CONFIRMED,3000,0,249.1,
C_n050_001_a25_001,C,735.0,735.0,735.0000000007906,735,CONFIRMED,3000,0,5.8,
B_n150_029_a50_086,B,6102.0,6102.0,6102.000000106861,6102,CONFIRMED,3000,0,208.1,
C_n050_001_a50_002,C,1236.0,1236.0,1236.000000071571,1236,CONFIRMED,3000,0,5.6,
C_n050_002_a25_004,C,783.0,783.0,783.000000000782,783,CONFIRMED,3000,0,4.5,
C_n050_001_a75_003,C,1445.0,1445.0,1445.0000000032087,1445,CONFIRMED,3000,0,6.3,
C_n050_002_a50_005,C,1257.0,1257.0,1257.000000004095,1257,CONFIRMED,3000,0,4.2,
C_n050_003_a75_009,C,1595.0,1595.0,1595.000000000001,1595,CONFIRMED,30,1,0.1,
C_n050_002_a75_006,C,1495.0,1495.0,1495.000000000211,1495,CONFIRMED,3000,0,4.7,
C_n050_004_a75_012,C,2062.0,2062.0,2062.0000000008113,2062,CONFIRMED,3000,0,5.0,
C_n050_005_a50_014,C,1684.0,1684.0,1684.0000000008124,1684,CONFIRMED,3000,0,5.0,
C_n050_005_a75_015,C,1737.0,1737.0,1737.0000000025807,1737,CONFIRMED,3000,0,6.0,
B_n150_028_a75_084,B,5330.0,5330.0,5330.0000000037435,5330,CONFIRMED,3000,0,254.2,
C_n065_016_a50_047,C,1863.0,1863.0,1863.0000000005894,1863,CONFIRMED,3000,0,17.8,
C_n065_017_a50_050,C,1930.0,1930.0,1930.5084368307346,1930,CONFIRMED,3000,0,20.0,
C_n070_024_a50_071,C,2863.0,2863.0,2863.000000002727,2863,CONFIRMED,3000,0,16.4,
B_n130_017_a75_051,B,4646.0,4646.0,4646.0,4646,CONFIRMED,3000,0,403.3,
C_n070_023_a50_068,C,2305.0,2305.0,2305.510912499091,2305,CONFIRMED,3000,0,40.1,
C_n075_026_a75_078,C,2055.0,2055.0,2055.0000001302533,2055,CONFIRMED,3000,0,42.2,
B_n150_029_a75_087,B,6185.0,6185.0,6185.000000000322,6185,CONFIRMED,3000,0,212.2,
C_n075_029_a75_087,C,3223.0,3223.0,3222.9999999999995,3223,CONFIRMED,9,1,0.1,
C_n075_027_a25_079,C,1618.0,1618.0,1618.000000172876,1618,CONFIRMED,3000,0,82.9,
C_n075_030_a25_088,C,1777.0,1777.0,1777.219378844064,1777,CONFIRMED,3000,0,47.0,
C_n075_027_a75_081,C,2232.0,2232.0,2232.00000000024,2232,CONFIRMED,3000,0,80.9,
B_n140_022_a75_066,B,5178.0,5178.0,5178.0,5178,CONFIRMED,3000,0,420.1,
C_n075_028_a50_083,C,2538.0,2538.0,2538.0000000020123,2538,CONFIRMED,3000,0,91.0,
C_n075_030_a75_090,C,2722.0,2722.0,2722.0000000262194,2722,CONFIRMED,3000,0,41.0,
C_n080_031_a75_093,C,2365.0,2365.0,2365.0000001935477,2365,CONFIRMED,3000,0,44.5,
C_n080_034_a75_102,C,3425.0,3425.0,3425.9999999999995,3426,UNCONFIRMED,4,1,0.1,
C_n075_028_a75_084,C,2582.0,2582.0,2582.0,2582,CONFIRMED,3000,0,109.3,
D_n040_001_a25_001,D,715.0,715.0,715.0000000009231,715,CONFIRMED,3000,0,5.2,
D_n040_001_a50_002,D,970.0,970.0,970.0000000249397,970,CONFIRMED,3000,0,5.5,
D_n040_001_a75_003,D,1203.0,1203.0,1202.9999999999995,1203,CONFIRMED,44,1,0.1,
D_n040_002_a25_004,D,352.0,352.0,352.0000000009796,352,CONFIRMED,3000,0,4.5,
D_n040_002_a50_005,D,894.0,894.0,894.00000000519,894,CONFIRMED,3000,0,4.1,
D_n040_002_a75_006,D,1137.0,1137.0,1137.0000000010025,1137,CONFIRMED,3000,0,4.2,
D_n040_003_a25_007,D,563.0,563.0,563.0000001332972,563,CONFIRMED,3000,0,4.8,
C_n080_032_a25_094,C,1747.0,1747.0,1747.0000000060363,1747,CONFIRMED,3000,0,87.3,
D_n040_003_a50_008,D,1023.0,1023.0,1023.0000000009372,1023,CONFIRMED,3000,0,4.2,
C_n080_035_a75_105,C,2934.0,2934.0,2934.0000000937052,2934,CONFIRMED,3000,0,47.7,
C_n080_032_a75_096,C,2461.0,2461.0,2461.000000005788,2461,CONFIRMED,3000,0,91.0,
D_n040_004_a75_012,D,1537.0,1537.0,1536.9999999999993,1537,CONFIRMED,12,1,0.0,
D_n040_003_a75_009,D,1149.0,1149.0,1149.000000001212,1149,CONFIRMED,3000,0,5.1,
D_n040_004_a25_010,D,723.0,723.0,723.0000000066441,723,CONFIRMED,3000,0,5.8,
D_n040_004_a50_011,D,1374.0,1374.0,1374.0000000036086,1374,CONFIRMED,3000,0,5.0,
D_n040_005_a75_015,D,1467.0,1467.0,1467.0000000011607,1467,CONFIRMED,3000,0,5.5,
D_n040_005_a25_013,D,837.0,837.0,837.0000000172364,837,CONFIRMED,3000,0,6.1,
C_n080_033_a50_098,C,2748.0,2748.0,2748.0000000061896,2748,CONFIRMED,3000,0,97.3,
D_n060_024_a50_071,D,2249.0,2249.0,2249.000000002074,2249,CONFIRMED,3000,0,37.2,
D_n060_022_a75_066,D,1956.0,1956.0,1956.0000000008113,1956,CONFIRMED,3000,0,40.5,
D_n060_021_a50_062,D,1646.0,1646.0,1646.0000000154955,1646,CONFIRMED,3000,0,45.9,
D_n060_021_a75_063,D,1700.0,1700.0,1700.0000000029365,1700,CONFIRMED,3000,0,48.7,
C_n080_033_a75_099,C,2803.0,2803.0,2803.000000000456,2803,CONFIRMED,3000,0,113.0,
D_n065_028_a75_084,D,2146.0,2146.0,2147.0,2147,UNCONFIRMED,57,1,1.2,
D_n060_025_a50_074,D,2114.0,2114.0,2114.0000000036266,2114,CONFIRMED,3000,0,46.2,
D_n065_030_a75_090,D,2507.0,2507.0,2507.000000000001,2507,CONFIRMED,22,1,1.3,
D_n060_024_a75_072,D,2387.0,2387.0,2387.0000000200002,2387,CONFIRMED,3000,0,62.5,
D_n065_026_a50_077,D,1848.0,1848.0,1848.0000050945534,1848,CONFIRMED,3000,0,52.0,
D_n065_026_a75_078,D,1902.0,1902.0,1902.0000000059642,1902,CONFIRMED,3000,0,56.5,
D_n060_025_a75_075,D,2269.0,2269.0,2269.000000029896,2269,CONFIRMED,3000,0,78.0,
D_n070_035_a75_105,D,2529.0,2529.0,2529.9999999999995,2530,UNCONFIRMED,7,1,0.5,
D_n065_029_a75_087,D,2598.0,2598.0,2598.000000047721,2598,CONFIRMED,3000,0,66.5,
D_n070_033_a50_098,D,2301.0,2301.0,2301.000000001903,2301,CONFIRMED,3000,0,70.4,
D_n070_034_a25_100,D,1845.0,1845.0,1845.0000000016294,1845,CONFIRMED,3000,0,56.9,
D_n070_031_a25_091,D,1276.0,1276.0,1276.5136548251292,1276,CONFIRMED,3000,0,93.5,
