instance,family,z,iterations_run,last_improvement_iter,floor_final_at_iter,final_floor,converged,secs,error
C_n070_022_a50_065,C,2052.0,3000,2313,269,2060,0,35.7,
C_n065_018_a50_053,C,1905.0,3000,2155,428,1906,0,30.0,
C_n060_011_a25_031,C,1212.0,3000,2748,246,1212,0,10.9,
B_n130_018_a25_052,B,3192.0,3000,2704,626,3196,0,77.5,
C_n060_014_a25_040,C,1544.0,3000,2776,439,1544,0,7.5,
C_n065_019_a50_056,C,2464.0,3000,2126,217,2464,0,13.0,
D_n055_019_a25_055,D,1147.0,3000,2998,871,1147,0,19.2,
B_n140_025_a50_074,B,4639.0,3000,3000,644,4639,0,118.5,
B_n140_024_a50_071,B,5577.0,3000,2858,178,5578,0,123.5,
D_n065_028_a25_082,D,1383.0,3000,2686,486,1387,0,36.6,
D_n075_040_a75_120,D,2749.0,43,12,4,2751,1,5.4,
D_n060_023_a75_069,D,2015.0,3000,2664,53,2016,0,43.5,
B_n150_027_a25_079,B,3500.0,3000,2988,1074,3500,0,169.2,
EB_n100_003_a50_008,EB,2947.0,3000,2576,408,2948,0,25.1,
D_n080_044_a75_132,D,3323.0,3000,2994,152,3325,0,190.0,
EC_n070_023_a50_068,EC,2206.0,3000,2739,652,2216,0,31.4,
EC_n065_018_a25_052,EC,1183.0,3000,1835,325,1183,0,18.1,
EC_n070_021_a25_061,EC,868.0,3000,2880,752,868,0,22.8,
EC_n055_006_a50_017,EC,1508.0,3000,2885,38,1509,0,7.8,
EB_n140_023_a75_069,EB,5093.0,3000,2994,40,5094,0,256.1,
EB_n150_029_a75_087,EB,6185.0,3000,1851,7,6185,0,222.2,
EC_n080_034_a75_102,EC,3424.0,3000,2211,4,3424,0,37.9,
B_n130_016_a25_046,B,2744.0,3000,2808,2139,2789,0,428.8,
ED_n060_022_a50_065,ED,1737.0,3000,2990,1025,1764,0,35.8,
ED_n070_035_a75_105,ED,2518.0,246,246,56,2519,1,13.4,
ED_n065_028_a75_084,ED,2143.0,3000,2461,31,2144,0,50.7,
EB_n150_027_a25_079,EB,2771.0,3000,2929,1504,2775,0,415.3,
ED_n075_036_a25_106,ED,1076.0,3000,2989,464,1077,0,114.0,
EB_n130_016_a75_048,EB,4329.0,3000,1822,138,4332,0,436.5,
ED_n080_045_a50_134,ED,2666.0,3000,2553,669,2673,0,195.5,
