instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_stop_at_stall,beta_lag_max_iter,beta_lag_max_time,beta_vs_master,beta_vs_bks,beta_status
B_n130_016_a25_046,B,130,0.25,016,2744.0,2744.0,311.0,1.8598,TIE,2744.0,2800,2.0,0,2,STALL_STOP_2,651.6951888001058,2799.2509,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n130_017_a25_049,B,130,0.25,017,3062.0,3061.0,462.0,0.409943,GAP,3062.0,3074,0.3903708523096942,0,2,STALL_STOP_2,639.2547865000088,3073.8712,2,600,0,3,200,60.0,1.0,0.0,TIE
B_n130_019_a25_055,B,130,0.25,019,3359.0,3359.0,401.0,1.521593,TIE,3359.0,3413,1.5821857603281568,0,2,STALL_STOP_2,609.0306114999112,3410.8117,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n140_021_a25_061,B,140,0.25,021,3142.0,3142.0,1258.0,1.649607,TIE,3142.0,3197,1.7203628401626525,0,2,STALL_STOP_2,659.0363004000392,3195.9311,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n140_023_a25_067,B,140,0.25,023,3781.0,3781.0,2103.0,0.630749,TIE,3781.0,3804,0.6046267087276551,0,2,STALL_STOP_2,633.9103218000382,3798.2270,2,600,0,3,200,60.0,0.0,0.0,TIE
C_n070_022_a50_065,C,70,0.5,022,,2052.0,698.0,1.203659,NA,2052.0,2060,0.3883495145631068,0,2,STALL_STOP_2,608.3911776000168,2060.6269,2,600,0,3,200,60.0,0.0,,NA
D_n055_019_a25_055,D,55,0.25,019,1147.0,1147.0,513.0,1.256887,TIE,1147.0,1164,1.4604810996563573,0,2,STALL_STOP_2,602.608989499975,1157.4316,2,600,0,3,200,60.0,0.0,0.0,TIE
D_n060_022_a50_065,D,60,0.5,022,1778.0,1777.0,944.0,0.914464,GAP,1777.0,1792,0.8370535714285714,0,2,STALL_STOP_2,608.600425099954,1790.6440,2,600,0,3,200,60.0,0.0,-1.0,GAP
D_n065_030_a50_089,D,65,0.5,030,,2337.0,1399.0,0.890585,NA,2337.0,2365,1.1839323467230445,0,2,STALL_STOP_2,620.4297672000248,2348.9960,2,600,0,3,200,60.0,0.0,,NA
D_n070_032_a75_096,D,70,0.75,032,,2105.0,1713.0,0.142315,NA,2098.0,2106,0.3798670465337132,0,2,STALL_STOP_2,637.7359524001367,2106.2402,1,600,0,3,200,60.0,-7.0,,NA
D_n075_039_a50_116,D,75,0.5,039,,3071.0,2795.0,0.711284,NA,3071.0,3082,0.3569110966904607,0,2,STALL_STOP_2,619.5799179000314,3082.1909,1,600,0,3,200,60.0,0.0,,NA
D_n075_040_a25_118,D,75,0.25,040,,1820.0,1581.0,1.097707,NA,1820.0,1835,0.8174386920980926,0,2,STALL_STOP_2,643.9711824001279,1828.1919,2,600,0,3,200,60.0,0.0,,NA
D_n080_044_a50_131,D,80,0.5,044,,3261.0,2652.0,0.760803,NA,3252.0,3272,0.6112469437652812,0,2,STALL_STOP_2,618.4430271999445,3272.6514,2,600,0,3,200,60.0,-9.0,,NA
D_n080_045_a25_133,D,80,0.25,045,,1910.0,1564.0,1.200083,NA,1910.0,1932,1.1387163561076603,0,2,STALL_STOP_2,642.7361111000646,1923.6036,2,600,0,3,200,60.0,0.0,,NA
EB_n140_022_a50_065,EB,140,0.5,022,4503.0,4898.0,3926.0,1.75509,BEAT,4900.0,4926,0.5278116118554608,0,2,STALL_STOP_2,656.2399118000176,4925.3699,3,600,0,3,200,60.0,2.0,397.0,BEAT
EB_n150_026_a25_076,EB,150,0.25,026,2550.0,2550.0,890.0,0.747314,TIE,2550.0,2570,0.7782101167315175,0,2,STALL_STOP_2,662.9890351002105,2560.7120,2,600,0,3,200,60.0,0.0,0.0,TIE
EB_n150_027_a25_079,EB,150,0.25,027,,2770.0,990.0,1.060828,NA,2771.0,2802,1.1063526052819415,0,2,STALL_STOP_2,655.9676671000198,2792.1164,2,600,0,3,200,60.0,1.0,,NA
EC_n070_023_a50_068,EC,70,0.5,023,2206.0,2206.0,532.0,0.545512,TIE,2206.0,2218,0.5410279531109108,0,2,STALL_STOP_2,607.9402471999638,2217.3209,2,600,0,3,200,60.0,0.0,0.0,TIE
EC_n075_030_a50_089,EC,75,0.5,030,,2456.0,412.0,0.437814,NA,2456.0,2468,0.48622366288492713,0,2,STALL_STOP_2,606.591403399827,2465.4618,2,600,0,3,200,60.0,0.0,,NA
EC_n080_033_a25_097,EC,80,0.25,033,,1806.0,773.0,0.430036,NA,1806.0,1813,0.3861003861003861,0,2,STALL_STOP_2,610.0401302999817,1812.5036,2,600,0,3,200,60.0,0.0,,NA
ED_n050_014_a50_041,ED,50,0.5,014,1787.0,1787.0,767.0,1.139633,TIE,1787.0,1797,0.5564830272676683,0,2,STALL_STOP_2,602.8146685000975,1797.6412,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n055_019_a50_056,ED,55,0.5,019,1897.0,1897.0,1104.0,0.877835,TIE,1897.0,1907,0.5243838489774515,0,2,STALL_STOP_2,602.9083390000742,1907.3690,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n060_022_a50_065,ED,60,0.5,022,1728.0,1737.0,775.0,1.764506,BEAT,1737.0,1768,1.753393665158371,0,2,STALL_STOP_2,605.8812883000355,1766.6233,2,600,0,3,200,60.0,0.0,9.0,BEAT
ED_n060_025_a50_074,ED,60,0.5,025,2014.0,2014.0,1900.0,1.40983,TIE,2014.0,2043,1.4194811551639746,0,2,STALL_STOP_2,608.1440110998228,2033.7361,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n065_027_a75_081,ED,65,0.75,027,1972.0,1972.0,718.0,0.714933,TIE,1972.0,1982,0.5045408678102926,0,2,STALL_STOP_2,606.4643578999676,1982.9815,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n065_030_a25_088,ED,65,0.25,030,,1478.0,1018.0,1.117281,NA,1478.0,1492,0.938337801608579,0,2,STALL_STOP_2,613.6074822000228,1489.5799,2,600,0,3,200,60.0,0.0,,NA
ED_n070_032_a75_096,ED,70,0.75,032,,2083.0,2033.0,0.941602,NA,2083.0,2096,0.6202290076335878,0,2,STALL_STOP_2,613.7940857999492,2094.8742,3,600,0,3,200,60.0,0.0,,NA
ED_n075_040_a25_118,ED,75,0.25,040,,1588.0,1207.0,0.929565,NA,1588.0,1601,0.8119925046845722,0,2,STALL_STOP_2,629.6440359000117,1597.3100,2,600,0,3,200,60.0,0.0,,NA
ED_n075_040_a75_120,ED,75,0.75,040,,2730.0,2649.0,0.745319,NA,2731.0,2740,0.3284671532846715,0,2,STALL_STOP_2,656.9397501000203,2740.4875,2,600,0,3,200,60.0,1.0,,NA
ED_n080_045_a75_135,ED,80,0.75,045,,2932.0,2703.0,0.704416,NA,2933.0,2942,0.30591434398368456,0,2,STALL_STOP_2,641.090735899983,2942.7119,2,600,0,3,200,60.0,1.0,,NA
