instance,family,ref_obj,final_obj,delta_ref,final_gap_pct,ec_gain,phases,stop_reason,total_rt_s
C_n050_001_a25_001,C,735.0,735.0,0.0,0.0,0,1,UB,0.3
C_n060_011_a50_032,C,1664.0,1664.0,0.0,0.0,0,1,UB,60.0
C_n065_016_a75_048,C,1924.0,1924.0,0.0,0.0,0,1,UB,215.5
D_n040_001_a25_001,D,715.0,715.0,0.0,0.0,0,1,UB,0.2
D_n050_011_a50_032,D,1418.0,1418.0,0.0,0.0,0,1,UB,47.9
B_n120_011_a75_033,B,4074.0,4074.0,0.0,0.0,0,1,UB,327.3
B_n100_001_a25_001,B,2142.0,2142.0,0.0,0.093284,0,1,GAP<threshold,450.6
C_n070_021_a25_061,C,1314.0,1314.0,0.0,0.22779,0,1,GAP<threshold,450.5
B_n110_006_a50_017,B,3465.0,3465.0,0.0,0.28777,0,1,GAP<threshold,454.9
B_n150_026_a50_077,B,4973.0,4971.0,-2.0,0.220795,1,1,GAP<threshold,465.9
C_n080_031_a50_092,C,2287.0,2287.0,0.0,0.043706,0,1,GAP<threshold,459.6
D_n070_031_a25_091,D,1276.0,1276.0,0.0,0.0,0,1,UB,266.8
D_n060_021_a75_063,D,1700.0,1699.0,-1.0,0.058824,0,1,GAP<threshold,481.5
EC_n050_001_a25_001,EC,421.0,421.0,0.0,0.0,0,1,UB,0.1
EC_n060_011_a50_032,EC,1662.0,1662.0,0.0,0.0,0,1,UB,38.6
EB_n100_001_a25_001,EB,1609.0,1609.0,0.0,0.124146,0,1,GAP<threshold,450.4
EB_n110_006_a50_017,EB,3252.0,3252.0,0.0,0.21479,0,1,GAP<threshold,454.7
EB_n120_011_a75_033,EB,4071.0,4071.0,0.0,0.024558,0,1,GAP<threshold,455.6
ED_n040_001_a25_001,ED,412.0,412.0,0.0,0.0,0,1,UB,0.0
EB_n140_021_a25_061,EB,2538.0,2538.0,0.0,0.235849,0,1,GAP<threshold,451.3
EB_n150_026_a50_077,EB,4811.0,4811.0,0.0,0.228121,0,1,GAP<threshold,458.5
ED_n070_031_a25_091,ED,878.0,878.0,0.0,0.0,0,1,UB,121.4
EC_n065_016_a75_048,EC,1921.0,1921.0,0.0,0.052029,0,1,GAP<threshold,454.9
EC_n070_021_a25_061,EC,868.0,868.0,0.0,0.115075,0,1,GAP<threshold,450.3
EC_n080_031_a50_092,EC,2180.0,2180.0,0.0,0.045851,0,1,GAP<threshold,461.0
ED_n050_011_a50_032,ED,1306.0,1306.0,0.0,0.076511,0,1,GAP<threshold,458.5
D_n080_041_a50_122,D,2229.0,2231.0,2.0,0.178971,1,2,GAP<threshold,1004.5
ED_n060_021_a75_063,ED,1698.0,1698.0,0.0,0.058858,0,1,GAP<threshold,487.7
B_n140_021_a25_061,B,3142.0,3142.0,0.0,1.658842,0,4,TIERS_EXHAUSTED,1844.9
ED_n080_041_a50_122,ED,2227.0,2227.0,0.0,0.224014,0,3,GAP<threshold,1429.7
