instance,family,mode,csv_obj,primal_obj,csv_obj_match,csv_ub,recomputed_ub,lagrangian_value,csv_gap_pct,recomputed_gap_pct,pass_primal,pass_bound,pass_ub_match,pass_gap,pass_all,note
B_n100_001_a25_001,B,rederive,2142.0,2142.0,match,2144.0,2143,2143.2984,0.0933,0.0467,True,True,,,True,
B_n100_001_a50_002,B,rederive,3025.0,3025.0,match,3026.0,3026,3026.0124,0.033,0.033,True,True,,,True,
B_n100_001_a75_003,B,rederive,3119.0,3119.0,match,3119.0,3119,3119.0,0.0,0.0,True,True,,,True,
B_n100_002_a25_004,B,rederive,2364.0,2364.0,match,2366.0,2371,2371.2733,0.0845,0.2952,True,True,,,True,
B_n100_002_a50_005,B,rederive,3173.0,3173.0,match,3173.0,3175,3175.8575,0.0,0.063,True,True,,,True,
B_n100_002_a75_006,B,rederive,3329.0,3329.0,match,3329.0,3329,3329.0,0.0,0.0,True,True,,,True,
B_n100_003_a25_007,B,rederive,2312.0,2312.0,match,2313.0,2316,2316.9776,0.0432,0.1727,True,True,,,True,
B_n100_003_a50_008,B,rederive,3179.0,3179.0,match,3179.0,3179,3179.0541,0.0,0.0,True,True,,,True,
B_n100_003_a75_009,B,rederive,3277.0,3277.0,match,3277.0,3277,3277.0005,0.0,0.0,True,True,,,True,
B_n100_004_a25_010,B,rederive,2831.0,2831.0,match,2839.0,2846,2846.7362,0.2818,0.5271,True,True,,,True,
B_n100_004_a50_011,B,rederive,4102.0,4102.0,match,4102.0,4102,4102.0,0.0,0.0,True,True,,,True,
B_n100_004_a75_012,B,rederive,4174.0,4174.0,match,4174.0,4174,4174.0,0.0,0.0,True,True,,,True,
B_n100_005_a25_013,B,rederive,2241.0,2241.0,match,2242.0,2244,2244.603,0.0446,0.1337,True,True,,,True,
B_n100_005_a50_014,B,rederive,3344.0,3344.0,match,3352.0,3345,3345.9442,0.2387,0.0299,True,True,,,True,
B_n100_005_a75_015,B,rederive,3512.0,3512.0,match,3512.0,3512,3512.0,0.0,0.0,True,True,,,True,
B_n110_006_a25_016,B,rederive,2434.0,2434.0,match,2473.0,2475,2475.7599,1.577,1.6566,True,True,,,True,
B_n110_006_a50_017,B,rederive,3465.0,3465.0,match,3475.0,3477,3477.9961,0.2878,0.3451,True,True,,,True,
B_n110_006_a75_018,B,rederive,3614.0,3614.0,match,3614.0,3614,3614.0146,0.0,0.0,True,True,,,True,
B_n110_007_a25_019,B,rederive,2510.0,2510.0,match,2515.0,2523,2523.5055,0.1988,0.5153,True,True,,,True,
B_n110_007_a50_020,B,rederive,3603.0,3603.0,match,3605.0,3612,3612.1999,0.0555,0.2492,True,True,,,True,
B_n110_007_a75_021,B,rederive,3780.0,3780.0,match,3780.0,3779,3780.0,0.0,-0.0265,True,True,,,True,
B_n110_008_a25_022,B,rederive,2531.0,2531.0,match,2535.0,2539,2539.0624,0.1578,0.3151,True,True,,,True,
B_n110_008_a50_023,B,rederive,3700.0,3700.0,match,3700.0,3700,3700.011,0.0,0.0,True,True,,,True,
B_n110_008_a75_024,B,rederive,3808.0,3808.0,match,3808.0,3808,3808.0,0.0,0.0,True,True,,,True,
B_n110_009_a25_025,B,rederive,3221.0,3221.0,match,3226.0,3234,3234.3752,0.155,0.402,True,True,,,True,
B_n110_009_a50_026,B,rederive,4524.0,4524.0,match,4526.0,4531,4531.6683,0.0442,0.1545,True,True,,,True,
B_n110_009_a75_027,B,rederive,4696.0,4696.0,match,4696.0,4696,4696.0002,0.0,0.0,True,True,,,True,
B_n110_010_a25_028,B,rederive,2549.0,2549.0,match,2553.0,2550,2550.4209,0.1567,0.0392,True,True,,,True,
B_n110_010_a50_029,B,rederive,3674.0,3674.0,match,3684.0,3676,3676.3817,0.2714,0.0544,True,True,,,True,
B_n110_010_a75_030,B,rederive,3853.0,3853.0,match,3853.0,3853,3853.0,0.0,0.0,True,True,,,True,
B_n120_011_a25_031,B,rederive,2526.0,2526.0,match,2574.0,2575,2575.4027,1.8648,1.9029,True,True,,,True,
B_n120_011_a50_032,B,rederive,3899.0,3899.0,match,3909.0,3921,3921.207,0.2558,0.5611,True,True,,,True,
B_n120_011_a75_033,B,rederive,4074.0,4074.0,match,4074.0,4074,4074.0003,0.0,0.0,True,True,,,True,
B_n120_012_a25_034,B,rederive,2871.0,2871.0,match,2883.0,2891,2891.0671,0.4162,0.6918,True,True,,,True,
B_n120_012_a50_035,B,rederive,4182.0,4182.0,match,4182.0,4182,4182.0852,0.0,0.0,True,True,,,True,
B_n120_012_a75_036,B,rederive,4222.0,4222.0,match,4222.0,4222,4222.0,0.0,0.0,True,True,,,True,
B_n120_013_a25_037,B,rederive,2942.0,2942.0,match,2949.0,2956,2956.1295,0.2374,0.4736,True,True,,,True,
B_n120_013_a50_038,B,rederive,4064.0,4064.0,match,4064.0,4064,4064.1151,0.0,0.0,True,True,,,True,
B_n120_013_a75_039,B,rederive,4147.0,4147.0,match,4147.0,4147,4147.0007,0.0,0.0,True,True,,,True,
B_n120_014_a25_040,B,rederive,3242.0,3242.0,match,3294.0,3305,3305.1347,1.5786,1.9062,True,True,,,True,
B_n120_014_a50_041,B,rederive,4855.0,4855.0,match,4855.0,4855,4855.0183,0.0,0.0,True,True,,,True,
B_n120_014_a75_042,B,rederive,5038.0,5038.0,match,5038.0,5038,5038.0,0.0,0.0,True,True,,,True,
B_n120_015_a25_043,B,rederive,2579.0,2579.0,match,2583.0,2587,2587.6108,0.1549,0.3092,True,True,,,True,
B_n120_015_a50_044,B,rederive,4004.0,4004.0,match,4004.0,4004,4004.0,0.0,0.0,True,True,,,True,
B_n120_015_a75_045,B,rederive,4282.0,4282.0,match,4282.0,4282,4282.0002,0.0,0.0,True,True,,,True,
B_n130_016_a25_046,B,rederive,2744.0,2744.0,match,2799.0,2797,2797.7559,1.965,1.8949,True,True,,,True,
B_n130_016_a50_047,B,rederive,4156.0,4156.0,match,4163.0,4171,4171.6272,0.1681,0.3596,True,True,,,True,
B_n130_016_a75_048,B,rederive,4333.0,4333.0,match,4334.0,4334,4334.1148,0.0231,0.0231,True,True,,,True,
B_n130_017_a25_049,B,rederive,3062.0,3062.0,match,3073.0,3080,3080.0733,0.358,0.5844,True,True,,,True,
B_n130_017_a50_050,B,rederive,4594.0,4594.0,match,4595.0,4595,4595.1313,0.0218,0.0218,True,True,,,True,
B_n130_017_a75_051,B,rederive,4646.0,4646.0,match,4646.0,4646,4646.0,0.0,0.0,True,True,,,True,
B_n130_018_a25_052,B,rederive,3192.0,3192.0,match,3197.0,3200,3200.472,0.1564,0.25,True,True,,,True,
B_n130_018_a50_053,B,rederive,4497.0,4497.0,match,4497.0,4497,4497.007,0.0,0.0,True,True,,,True,
B_n130_018_a75_054,B,rederive,4578.0,4578.0,match,4578.0,4578,4578.0007,0.0,0.0,True,True,,,True,
B_n130_019_a25_055,B,rederive,3359.0,3359.0,match,3410.0,3419,3419.5945,1.4956,1.7549,True,True,,,True,
B_n130_019_a50_056,B,rederive,5093.0,5093.0,match,5093.0,5093,5093.6236,0.0,0.0,True,True,,,True,
B_n130_019_a75_057,B,rederive,5307.0,5307.0,match,5307.0,5307,5307.0,0.0,0.0,True,True,,,True,
B_n130_020_a25_058,B,rederive,2680.0,2680.0,match,2684.0,2697,2697.4877,0.149,0.6303,True,True,,,True,
B_n130_020_a50_059,B,rederive,4306.0,4306.0,match,4306.0,4306,4306.013,0.0,0.0,True,True,,,True,
B_n130_020_a75_060,B,rederive,4596.0,4596.0,match,4597.0,4597,4597.1034,0.0218,0.0218,True,True,,,True,
B_n140_021_a25_061,B,rederive,3142.0,3142.0,match,3195.0,3200,3200.6712,1.6588,1.8125,True,True,,,True,
B_n140_021_a50_062,B,rederive,4654.0,4654.0,match,4660.0,4665,4665.9939,0.1288,0.2358,True,True,,,True,
B_n140_021_a75_063,B,rederive,4850.0,4850.0,match,4853.0,4852,4852.8454,0.0618,0.0412,True,True,,,True,
B_n140_022_a25_064,B,rederive,3392.0,3392.0,match,3395.0,3399,3399.836,0.0884,0.2059,True,True,,,True,
B_n140_022_a50_065,B,rederive,5080.0,5080.0,match,5081.0,5081,5081.1669,0.0197,0.0197,True,True,,,True,
B_n140_022_a75_066,B,rederive,5178.0,5178.0,match,5178.0,5178,5178.0,0.0,0.0,True,True,,,True,
B_n140_023_a25_067,B,rederive,3781.0,3781.0,match,3798.0,3815,3815.2711,0.4476,0.8912,True,True,,,True,
B_n140_023_a50_068,B,rederive,4942.0,4942.0,match,4949.0,4959,4959.3059,0.1414,0.3428,True,True,,,True,
B_n140_023_a75_069,B,rederive,5095.0,5095.0,match,5095.0,5095,5095.0001,0.0,0.0,True,True,,,True,
B_n140_024_a25_070,B,rederive,4264.0,4264.0,match,4315.0,4314,4314.994,1.1819,1.159,True,True,,,True,
B_n140_024_a50_071,B,rederive,5577.0,5577.0,match,5578.0,5578,5578.4069,0.0179,0.0179,True,True,,,True,
B_n140_024_a75_072,B,rederive,5663.0,5663.0,match,5663.0,5662,5663.0,0.0,-0.0177,True,True,,,True,
B_n140_025_a25_073,B,rederive,3331.0,3331.0,match,3335.0,3337,3337.9529,0.1199,0.1798,True,True,,,True,
B_n140_025_a50_074,B,rederive,4639.0,4639.0,match,4642.0,4645,4645.2395,0.0646,0.1292,True,True,,,True,
B_n140_025_a75_075,B,rederive,4941.0,4941.0,match,4941.0,4941,4941.0054,0.0,0.0,True,True,,,True,
B_n150_026_a25_076,B,rederive,3246.0,3246.0,match,3307.0,3331,3331.5875,1.8446,2.5518,True,True,,,True,
B_n150_026_a50_077,B,rederive,4973.0,4973.0,match,4982.0,4989,4989.083,0.1807,0.3207,True,True,,,True,
B_n150_026_a75_078,B,rederive,5191.0,5191.0,match,5194.0,5194,5194.0023,0.0578,0.0578,True,True,,,True,
B_n150_027_a25_079,B,rederive,3500.0,3500.0,match,3510.0,3525,3525.2113,0.2849,0.7092,True,True,,,True,
B_n150_027_a50_080,B,rederive,5275.0,5275.0,match,5288.0,5287,5287.6506,0.2458,0.227,True,True,,,True,
B_n150_027_a75_081,B,rederive,5420.0,5420.0,match,5421.0,5421,5421.0152,0.0184,0.0184,True,True,,,True,
B_n150_028_a25_082,B,rederive,3890.0,3890.0,match,3907.0,3923,3923.3771,0.4351,0.8412,True,True,,,True,
B_n150_028_a50_083,B,rederive,5073.0,5073.0,match,5086.0,5096,5096.3703,0.2556,0.4513,True,True,,,True,
B_n150_028_a75_084,B,rederive,5330.0,5330.0,match,5330.0,5330,5330.0,0.0,0.0,True,True,,,True,
B_n150_029_a25_085,B,rederive,4595.0,4595.0,match,4607.0,4613,4613.3645,0.2605,0.3902,True,True,,,True,
B_n150_029_a50_086,B,rederive,6102.0,6102.0,match,6102.0,6102,6102.0058,0.0,0.0,True,True,,,True,
B_n150_029_a75_087,B,rederive,6185.0,6185.0,match,6185.0,6185,6185.0,0.0,0.0,True,True,,,True,
B_n150_030_a25_088,B,rederive,3550.0,3550.0,match,3553.0,3556,3556.2688,0.0844,0.1687,True,True,,,True,
B_n150_030_a50_089,B,rederive,4973.0,4973.0,match,4980.0,4984,4984.2361,0.1406,0.2207,True,True,,,True,
B_n150_030_a75_090,B,rederive,5281.0,5281.0,match,5286.0,5282,5282.1969,0.0946,0.0189,True,True,,,True,
C_n050_001_a25_001,C,rederive,735.0,735.0,match,735.0,735,735.0004,0.0,0.0,True,True,,,True,
C_n050_001_a50_002,C,rederive,1236.0,1236.0,match,1236.0,1237,1237.3167,0.0,0.0808,True,True,,,True,
C_n050_001_a75_003,C,rederive,1445.0,1445.0,match,1445.0,1445,1445.0622,0.0,0.0,True,True,,,True,
C_n050_002_a25_004,C,rederive,783.0,783.0,match,783.0,783,783.0,0.0,0.0,True,True,,,True,
C_n050_002_a50_005,C,rederive,1257.0,1257.0,match,1257.0,1258,1258.7694,0.0,0.0795,True,True,,,True,
C_n050_002_a75_006,C,rederive,1495.0,1495.0,match,1495.0,1495,1495.0,0.0,0.0,True,True,,,True,
C_n050_003_a25_007,C,rederive,994.0,994.0,match,995.0,994,994.2065,0.1005,0.0,True,True,,,True,
C_n050_003_a50_008,C,rederive,1362.0,1362.0,match,1363.0,1367,1367.9075,0.0734,0.3658,True,True,,,True,
C_n050_003_a75_009,C,rederive,1595.0,1595.0,match,1595.0,1595,1595.0,0.0,0.0,True,True,,,True,
C_n050_004_a25_010,C,rederive,1242.0,1242.0,match,1243.0,1242,1242.3649,0.0805,0.0,True,True,,,True,
C_n050_004_a50_011,C,rederive,2016.0,2016.0,match,2017.0,2017,2017.1357,0.0496,0.0496,True,True,,,True,
C_n050_004_a75_012,C,rederive,2062.0,2062.0,match,2062.0,2062,2062.0,0.0,0.0,True,True,,,True,
C_n050_005_a25_013,C,rederive,1077.0,1077.0,match,1078.0,1077,1077.5115,0.0928,0.0,True,True,,,True,
C_n050_005_a50_014,C,rederive,1684.0,1684.0,match,1684.0,1684,1684.0001,0.0,0.0,True,True,,,True,
C_n050_005_a75_015,C,rederive,1737.0,1737.0,match,1737.0,1737,1737.0,0.0,0.0,True,True,,,True,
C_n055_006_a25_016,C,rederive,975.0,975.0,match,975.0,975,975.0,0.0,0.0,True,True,,,True,
C_n055_006_a50_017,C,rederive,1540.0,1540.0,match,1540.0,1540,1540.0,0.0,0.0,True,True,,,True,
C_n055_006_a75_018,C,rederive,1589.0,1589.0,match,1589.0,1589,1589.0094,0.0,0.0,True,True,,,True,
C_n055_007_a25_019,C,rederive,804.0,804.0,match,804.0,804,804.0817,0.0,0.0,True,True,,,True,
